member |member |Member |Members |members,2014100223,8580,12,0.0013986013986013986
member |member |Member |Members |members,2014100222,12009,14,0.001165792322424848
member |member |Member |Members |members,2014100221,14828,54,0.003641758834637173
member |member |Member |Members |members,2014100220,15090,12,7.952286282306163E-4
member |member |Member |Members |members,2014093023,7216,10,0.001385809312638581
member |member |Member |Members |members,2014093020,2478,6,0.002421307506053269
member |member |Member |Members |members,2014093022,2524,7,0.0027733755942947703
member |member |Member |Members |members,2014093021,2547,2,7.852375343541421E-4
member |member |Member |Members |members,2014100321,9080,9,9.911894273127754E-4
member |member |Member |Members |members,2014100322,8671,9,0.0010379425671779494
member |member |Member |Members |members,2014100320,9381,17,0.001812173542266283
member |member |Member |Members |members,2014100323,6929,5,7.216048491845865E-4
member |member |Member |Members |members,2014100123,8836,10,0.0011317338162064282
member |member |Member |Members |members,2014100122,10378,13,0.0012526498361919445
member |member |Member |Members |members,2014100121,12311,30,0.0024368450978799446
member |member |Member |Members |members,2014100200,11724,12,0.0010235414534288639
member |member |Member |Members |members,2014100201,6861,5,7.287567409998542E-4
member |member |Member |Members |members,2014100309,9997,12,0.0012003601080324098
member |member |Member |Members |members,2014100307,6926,7,0.0010106843777071904
member |member |Member |Members |members,2014100204,8387,1,1.192321449862883E-4
member |member |Member |Members |members,2014100308,8532,14,0.0016408813877168307
member |member |Member |Members |members,2014100205,14882,0,0.0
member |member |Member |Members |members,2014100305,3838,2,5.211047420531526E-4
member |member |Member |Members |members,2014100202,5853,3,5.125576627370579E-4
member |member |Member |Members |members,2014100306,5526,3,5.428881650380022E-4
member |member |Member |Members |members,2014100203,5613,2,3.563156957063959E-4
member |member |Member |Members |members,2014100303,5043,5,9.9147332936744E-4
member |member |Member |Members |members,2014100208,9640,19,0.001970954356846473
member |member |Member |Members |members,2014100304,4725,0,0.0
member |member |Member |Members |members,2014100209,12321,16,0.0012985958931904878
member |member |Member |Members |members,2014100301,4480,0,0.0
member |member |Member |Members |members,2014100206,9203,2,2.1732043898728675E-4
member |member |Member |Members |members,2014100302,8095,3,3.705991352686844E-4
member |member |Member |Members |members,2014100207,9445,4,4.2350449973530967E-4
member |member |Member |Members |members,2014100300,6707,2,2.981959147159684E-4
member |member |Member |Members |members,2014100106,45483,3,6.595870984763538E-5
member |member |Member |Members |members,2014100105,7742,0,0.0
member |member |Member |Members |members,2014100104,8731,12,0.0013744130111098384
member |member |Member |Members |members,2014100103,1127,1,8.873114463176575E-4
member |member |Member |Members |members,2014100102,2940,1,3.401360544217687E-4
member |member |Member |Members |members,2014100101,3598,2,5.558643690939411E-4
member |member |Member |Members |members,2014100100,1816,4,0.0022026431718061676
member |member |Member |Members |members,2014100109,10999,18,0.0016365124102191108
member |member |Member |Members |members,2014100108,14670,16,0.0010906612133606
member |member |Member |Members |members,2014100107,32104,9,2.8033889857961624E-4
member |member |Member |Members |members,2014100210,10300,10,9.70873786407767E-4
member |member |Member |Members |members,2014100211,11008,34,0.0030886627906976743
member |member |Member |Members |members,2014100212,11567,37,0.0031987550791043487
member |member |Member |Members |members,2014100316,10537,11,0.0010439404004934992
member |member |Member |Members |members,2014100213,10976,23,0.0020954810495626822
member |member |Member |Members |members,2014100317,9832,6,6.102522375915378E-4
member |member |Member |Members |members,2014100214,12210,28,0.002293202293202293
member |member |Member |Members |members,2014100318,9075,9,9.917355371900827E-4
member |member |Member |Members |members,2014100215,11832,21,0.0017748478701825558
member |member |Member |Members |members,2014100319,8645,10,0.001156737998843262
member |member |Member |Members |members,2014100216,10725,27,0.0025174825174825175
member |member |Member |Members |members,2014100312,10661,18,0.0016883969608854704
member |member |Member |Members |members,2014100217,9835,36,0.0036603965429588205
member |member |Member |Members |members,2014100313,9887,6,6.068574896328512E-4
member |member |Member |Members |members,2014100218,9907,21,0.002119713334006258
member |member |Member |Members |members,2014100314,9820,12,0.0012219959266802445
member |member |Member |Members |members,2014100219,11100,20,0.0018018018018018018
member |member |Member |Members |members,2014100420,8163,6,7.35023888276369E-4
member |member |Member |Members |members,2014100315,10271,9,8.762535293544932E-4
member |member |Member |Members |members,2014100120,12122,60,0.0049496782709123905
member |member |Member |Members |members,2014100421,8099,9,0.0011112483022595382
member |member |Member |Members |members,2014100422,8432,4,4.743833017077799E-4
member |member |Member |Members |members,2014100423,6306,5,7.92895654931811E-4
member |member |Member |Members |members,2014100310,10343,16,0.001546939959392826
member |member |Member |Members |members,2014100311,11400,22,0.0019298245614035089
member |member |Member |Members |members,2014100115,14152,69,0.004875635952515545
member |member |Member |Members |members,2014100114,11535,133,0.01153012570437798
member |member |Member |Members |members,2014100117,11365,36,0.0031676198856137264
member |member |Member |Members |members,2014100116,10904,42,0.003851797505502568
member |member |Member |Members |members,2014100111,9571,188,0.019642670567338837
member |member |Member |Members |members,2014100110,9126,16,0.0017532325224632918
member |member |Member |Members |members,2014100823,5727,7,0.0012222804260520342
member |member |Member |Members |members,2014100113,11543,42,0.0036385688295936932
member |member |Member |Members |members,2014100822,900,0,0.0
member |member |Member |Members |members,2014100112,11651,94,0.008067976997682602
member |member |Member |Members |members,2014100119,11403,67,0.00587564675962466
member |member |Member |Members |members,2014100118,10294,27,0.002622887118709928
member |member |Member |Members |members,2014100604,4638,3,6.46830530401035E-4
member |member |Member |Members |members,2014100605,8675,2,2.3054755043227666E-4
member |member |Member |Members |members,2014100700,5207,5,9.602458229306702E-4
member |member |Member |Members |members,2014100914,3191,9,0.002820432466311501
member |member |Member |Members |members,2014100602,8176,1,1.223091976516634E-4
member |member |Member |Members |members,2014100915,1000,2,0.002
member |member |Member |Members |members,2014100603,9384,2,2.1312872975277067E-4
member |member |Member |Members |members,2014100912,2545,6,0.002357563850687623
member |member |Member |Members |members,2014100608,13680,9,6.578947368421052E-4
