syria |Syria,2014100223,8580,0,0.0
syria |Syria,2014100222,12009,0,0.0
syria |Syria,2014100221,14828,0,0.0
syria |Syria,2014100220,15090,1,6.626905235255136E-5
syria |Syria,2014093023,7216,0,0.0
syria |Syria,2014093020,2478,1,4.035512510088781E-4
syria |Syria,2014093022,2524,0,0.0
syria |Syria,2014093021,2547,0,0.0
syria |Syria,2014100321,9080,0,0.0
syria |Syria,2014100322,8671,0,0.0
syria |Syria,2014100320,9381,1,1.0659844366272253E-4
syria |Syria,2014100323,6929,0,0.0
syria |Syria,2014100123,8836,1,1.1317338162064282E-4
syria |Syria,2014100122,10378,0,0.0
syria |Syria,2014100121,12311,1,8.122816992933149E-5
syria |Syria,2014100200,11724,1,8.5295121119072E-5
syria |Syria,2014100201,6861,0,0.0
syria |Syria,2014100309,9997,3,3.0009002700810244E-4
syria |Syria,2014100307,6926,1,1.4438348252959862E-4
syria |Syria,2014100204,8387,0,0.0
syria |Syria,2014100308,8532,0,0.0
syria |Syria,2014100205,14882,1,6.719526945303051E-5
syria |Syria,2014100305,3838,1,2.605523710265763E-4
syria |Syria,2014100202,5853,0,0.0
syria |Syria,2014100306,5526,0,0.0
syria |Syria,2014100203,5613,0,0.0
syria |Syria,2014100303,5043,2,3.96589331746976E-4
syria |Syria,2014100208,9640,2,2.074688796680498E-4
syria |Syria,2014100304,4725,0,0.0
syria |Syria,2014100209,12321,1,8.116224332440549E-5
syria |Syria,2014100301,4480,0,0.0
syria |Syria,2014100206,9203,0,0.0
syria |Syria,2014100302,8095,0,0.0
syria |Syria,2014100207,9445,1,1.0587612493382742E-4
syria |Syria,2014100300,6707,0,0.0
syria |Syria,2014100106,45483,0,0.0
syria |Syria,2014100105,7742,0,0.0
syria |Syria,2014100104,8731,0,0.0
syria |Syria,2014100103,1127,0,0.0
syria |Syria,2014100102,2940,0,0.0
syria |Syria,2014100101,3598,0,0.0
syria |Syria,2014100100,1816,0,0.0
syria |Syria,2014100109,10999,2,1.8183471224656787E-4
syria |Syria,2014100108,14670,0,0.0
syria |Syria,2014100107,32104,0,0.0
syria |Syria,2014100210,10300,0,0.0
syria |Syria,2014100211,11008,1,9.084302325581395E-5
syria |Syria,2014100212,11567,3,2.5935851992737964E-4
syria |Syria,2014100316,10537,0,0.0
syria |Syria,2014100213,10976,0,0.0
syria |Syria,2014100317,9832,1,1.017087062652563E-4
syria |Syria,2014100214,12210,0,0.0
syria |Syria,2014100318,9075,3,3.3057851239669424E-4
syria |Syria,2014100215,11832,1,8.451656524678837E-5
syria |Syria,2014100319,8645,0,0.0
syria |Syria,2014100216,10725,0,0.0
syria |Syria,2014100312,10661,0,0.0
syria |Syria,2014100217,9835,1,1.0167768174885612E-4
syria |Syria,2014100313,9887,0,0.0
syria |Syria,2014100218,9907,1,1.009387301907742E-4
syria |Syria,2014100314,9820,0,0.0
syria |Syria,2014100219,11100,0,0.0
