apartment |apartment |apartments,2014100223,8580,2,2.331002331002331E-4
apartment |apartment |apartments,2014100222,12009,3,2.498126405196103E-4
apartment |apartment |apartments,2014100221,14828,4,2.697599136768276E-4
apartment |apartment |apartments,2014100220,15090,1,6.626905235255136E-5
apartment |apartment |apartments,2014093023,7216,0,0.0
apartment |apartment |apartments,2014093020,2478,0,0.0
apartment |apartment |apartments,2014093022,2524,0,0.0
apartment |apartment |apartments,2014093021,2547,2,7.852375343541421E-4
apartment |apartment |apartments,2014100321,9080,2,2.2026431718061675E-4
apartment |apartment |apartments,2014100322,8671,0,0.0
apartment |apartment |apartments,2014100320,9381,0,0.0
apartment |apartment |apartments,2014100323,6929,1,1.443209698369173E-4
apartment |apartment |apartments,2014100123,8836,1,1.1317338162064282E-4
apartment |apartment |apartments,2014100122,10378,0,0.0
apartment |apartment |apartments,2014100121,12311,2,1.6245633985866297E-4
apartment |apartment |apartments,2014100200,11724,0,0.0
apartment |apartment |apartments,2014100201,6861,0,0.0
apartment |apartment |apartments,2014100309,9997,4,4.0012003601080324E-4
apartment |apartment |apartments,2014100307,6926,1,1.4438348252959862E-4
apartment |apartment |apartments,2014100204,8387,1,1.192321449862883E-4
apartment |apartment |apartments,2014100308,8532,3,3.5161744022503517E-4
apartment |apartment |apartments,2014100205,14882,7,4.7036688617121356E-4
apartment |apartment |apartments,2014100305,3838,2,5.211047420531526E-4
apartment |apartment |apartments,2014100202,5853,0,0.0
apartment |apartment |apartments,2014100306,5526,3,5.428881650380022E-4
apartment |apartment |apartments,2014100203,5613,0,0.0
apartment |apartment |apartments,2014100303,5043,0,0.0
apartment |apartment |apartments,2014100208,9640,1,1.037344398340249E-4
apartment |apartment |apartments,2014100304,4725,0,0.0
apartment |apartment |apartments,2014100209,12321,1,8.116224332440549E-5
apartment |apartment |apartments,2014100301,4480,0,0.0
apartment |apartment |apartments,2014100206,9203,0,0.0
apartment |apartment |apartments,2014100302,8095,1,1.2353304508956145E-4
apartment |apartment |apartments,2014100207,9445,1,1.0587612493382742E-4
apartment |apartment |apartments,2014100300,6707,2,2.981959147159684E-4
apartment |apartment |apartments,2014100106,45483,0,0.0
apartment |apartment |apartments,2014100105,7742,0,0.0
apartment |apartment |apartments,2014100104,8731,0,0.0
apartment |apartment |apartments,2014100103,1127,0,0.0
apartment |apartment |apartments,2014100102,2940,0,0.0
apartment |apartment |apartments,2014100101,3598,0,0.0
apartment |apartment |apartments,2014100100,1816,0,0.0
apartment |apartment |apartments,2014100109,10999,3,2.727520683698518E-4
apartment |apartment |apartments,2014100108,14670,2,1.36332651670075E-4
apartment |apartment |apartments,2014100107,32104,2,6.22975330176925E-5
apartment |apartment |apartments,2014100210,10300,2,1.941747572815534E-4
apartment |apartment |apartments,2014100211,11008,2,1.816860465116279E-4
apartment |apartment |apartments,2014100212,11567,3,2.5935851992737964E-4
apartment |apartment |apartments,2014100316,10537,2,1.8980734554427256E-4
apartment |apartment |apartments,2014100213,10976,2,1.8221574344023323E-4
apartment |apartment |apartments,2014100317,9832,1,1.017087062652563E-4
apartment |apartment |apartments,2014100214,12210,3,2.457002457002457E-4
apartment |apartment |apartments,2014100318,9075,2,2.2038567493112948E-4
apartment |apartment |apartments,2014100215,11832,3,2.535496957403651E-4
apartment |apartment |apartments,2014100319,8645,3,3.470213996529786E-4
apartment |apartment |apartments,2014100216,10725,0,0.0
apartment |apartment |apartments,2014100312,10661,3,2.813994934809117E-4
apartment |apartment |apartments,2014100217,9835,0,0.0
apartment |apartment |apartments,2014100313,9887,2,2.0228582987761708E-4
apartment |apartment |apartments,2014100218,9907,3,3.028161905723226E-4
apartment |apartment |apartments,2014100314,9820,3,3.054989816700611E-4
apartment |apartment |apartments,2014100219,11100,2,1.8018018018018018E-4
apartment |apartment |apartments,2014100420,8163,1,1.2250398137939484E-4
apartment |apartment |apartments,2014100315,10271,1,9.736150326161036E-5
apartment |apartment |apartments,2014100120,12122,2,1.6498927569707968E-4
apartment |apartment |apartments,2014100421,8099,1,1.2347203358439315E-4
apartment |apartment |apartments,2014100422,8432,1,1.1859582542694497E-4
apartment |apartment |apartments,2014100423,6306,5,7.92895654931811E-4
apartment |apartment |apartments,2014100310,10343,0,0.0
apartment |apartment |apartments,2014100311,11400,4,3.508771929824561E-4
apartment |apartment |apartments,2014100115,14152,0,0.0
apartment |apartment |apartments,2014100114,11535,1,8.669267446900737E-5
apartment |apartment |apartments,2014100117,11365,3,2.639683238011439E-4
apartment |apartment |apartments,2014100116,10904,3,2.751283932501834E-4
apartment |apartment |apartments,2014100111,9571,12,0.0012537874830216278
apartment |apartment |apartments,2014100110,9126,4,4.3830813061582295E-4
apartment |apartment |apartments,2014100823,5727,1,1.7461148943600488E-4
apartment |apartment |apartments,2014100113,11543,2,1.7326518236160444E-4
apartment |apartment |apartments,2014100822,900,0,0.0
apartment |apartment |apartments,2014100112,11651,1,8.582954252853832E-5
apartment |apartment |apartments,2014100119,11403,4,3.507848811716215E-4
apartment |apartment |apartments,2014100118,10294,0,0.0
apartment |apartment |apartments,2014100604,4638,0,0.0
apartment |apartment |apartments,2014100605,8675,1,1.1527377521613833E-4
apartment |apartment |apartments,2014100700,5207,0,0.0
apartment |apartment |apartments,2014100914,3191,0,0.0
apartment |apartment |apartments,2014100602,8176,0,0.0
apartment |apartment |apartments,2014100915,1000,0,0.0
apartment |apartment |apartments,2014100603,9384,1,1.0656436487638534E-4
apartment |apartment |apartments,2014100912,2545,1,3.929273084479371E-4
apartment |apartment |apartments,2014100608,13680,1,7.309941520467836E-5
apartment |apartment |apartments,2014100913,6771,1,1.476886722788362E-4
apartment |apartment |apartments,2014100609,13287,2,1.5052306766011892E-4
apartment |apartment |apartments,2014100810,6053,6,9.912440112340988E-4
apartment |apartment |apartments,2014100606,4334,2,4.6146746654360867E-4
apartment |apartment |apartments,2014100607,6194,0,0.0
apartment |apartment |apartments,2014100707,4802,2,4.1649312786339027E-4
apartment |apartment |apartments,2014100813,7061,0,0.0
apartment |apartment |apartments,2014100708,5400,0,0.0
apartment |apartment |apartments,2014100814,6011,1,1.6636167027116953E-4
apartment |apartment |apartments,2014100705,2740,0,0.0
apartment |apartment |apartments,2014100811,6604,2,3.028467595396729E-4
apartment |apartment |apartments,2014100706,3398,0,0.0
apartment |apartment |apartments,2014100812,5896,1,1.6960651289009497E-4
apartment |apartment |apartments,2014100817,6743,5,7.415097137772505E-4
apartment |apartment |apartments,2014100600,15771,3,1.9022256039566293E-4
apartment |apartment |apartments,2014100703,5792,0,0.0
apartment |apartment |apartments,2014100818,7400,0,0.0
apartment |apartment |apartments,2014100601,8669,0,0.0
apartment |apartment |apartments,2014100704,3010,0,0.0
apartment |apartment |apartments,2014100815,5628,2,3.5536602700781805E-4
apartment |apartment |apartments,2014100701,13455,0,0.0
apartment |apartment |apartments,2014100816,7857,3,3.8182512409316535E-4
apartment |apartment |apartments,2014100702,8524,0,0.0
apartment |apartment |apartments,2014100509,9287,2,2.153547970281038E-4
apartment |apartment |apartments,2014100508,6498,0,0.0
apartment |apartment |apartments,2014100819,4300,0,0.0
apartment |apartment |apartments,2014100507,16911,1,5.913310862752055E-5
apartment |apartment |apartments,2014100403,6749,0,0.0
apartment |apartment |apartments,2014100506,11836,0,0.0
apartment |apartment |apartments,2014100402,6613,1,1.5121729925903524E-4
apartment |apartment |apartments,2014100505,6487,1,1.5415446277169725E-4
apartment |apartment |apartments,2014100401,4570,0,0.0
apartment |apartment |apartments,2014100504,3861,1,2.59000259000259E-4
apartment |apartment |apartments,2014100400,5285,1,1.892147587511826E-4
apartment |apartment |apartments,2014100503,4540,0,0.0
apartment |apartment |apartments,2014100709,5572,1,1.7946877243359656E-4
apartment |apartment |apartments,2014100407,7111,0,0.0
apartment |apartment |apartments,2014100406,10763,1,9.2910898448388E-5
apartment |apartment |apartments,2014100501,6148,0,0.0
apartment |apartment |apartments,2014100405,10366,0,0.0
apartment |apartment |apartments,2014100500,11540,2,1.733102253032929E-4
apartment |apartment |apartments,2014100404,3086,0,0.0
apartment |apartment |apartments,2014100409,9932,3,3.0205396697543293E-4
apartment |apartment |apartments,2014100408,10458,1,9.562057754828839E-5
apartment |apartment |apartments,2014100903,4141,0,0.0
apartment |apartment |apartments,2014100613,12260,3,2.4469820554649265E-4
apartment |apartment |apartments,2014100904,4854,0,0.0
apartment |apartment |apartments,2014100614,10247,1,9.758953840148337E-5
apartment |apartment |apartments,2014100905,7777,0,0.0
apartment |apartment |apartments,2014100615,8801,1,1.1362345188046812E-4
apartment |apartment |apartments,2014100710,7431,2,2.6914278024491994E-4
apartment |apartment |apartments,2014100906,3505,0,0.0
apartment |apartment |apartments,2014100616,10833,1,9.231053263177328E-5
apartment |apartment |apartments,2014100711,13474,3,2.226510316164465E-4
apartment |apartment |apartments,2014100617,11523,5,4.339147791373774E-4
apartment |apartment |apartments,2014100900,3864,0,0.0
apartment |apartment |apartments,2014100618,10834,4,3.6920804873546244E-4
apartment |apartment |apartments,2014100901,3052,1,3.27653997378768E-4
apartment |apartment |apartments,2014100619,10472,2,1.9098548510313216E-4
apartment |apartment |apartments,2014100902,4916,0,0.0
apartment |apartment |apartments,2014100716,9756,1,1.025010250102501E-4
apartment |apartment |apartments,2014100800,3418,0,0.0
apartment |apartment |apartments,2014100717,12018,1,8.320852055250458E-5
apartment |apartment |apartments,2014100801,4912,1,2.0358306188925082E-4
apartment |apartment |apartments,2014100718,9824,0,0.0
apartment |apartment |apartments,2014100802,4582,1,2.1824530772588389E-4
apartment |apartment |apartments,2014100719,8904,3,3.3692722371967657E-4
apartment |apartment |apartments,2014100803,4750,0,0.0
apartment |apartment |apartments,2014100712,10146,1,9.856100926473487E-5
apartment |apartment |apartments,2014100804,8238,0,0.0
apartment |apartment |apartments,2014100610,8565,2,2.335084646818447E-4
apartment |apartment |apartments,2014100713,7382,1,1.35464643727987E-4
apartment |apartment |apartments,2014100805,6904,0,0.0
apartment |apartment |apartments,2014100611,8676,4,4.610419548178884E-4
apartment |apartment |apartments,2014100714,9294,2,2.1519259737465033E-4
apartment |apartment |apartments,2014100806,7696,1,1.2993762993762994E-4
apartment |apartment |apartments,2014100612,7761,2,2.5769875016106174E-4
apartment |apartment |apartments,2014100715,8494,7,8.241111372733694E-4
apartment |apartment |apartments,2014100807,6298,2,3.1756113051762465E-4
apartment |apartment |apartments,2014100519,13547,7,5.167195689082454E-4
apartment |apartment |apartments,2014100809,5933,0,0.0
apartment |apartment |apartments,2014100518,12589,2,1.588688537612201E-4
apartment |apartment |apartments,2014100808,7916,0,0.0
apartment |apartment |apartments,2014100410,8297,4,4.821019645655056E-4
apartment |apartment |apartments,2014100412,8252,5,6.059137178865729E-4
apartment |apartment |apartments,2014100515,6526,3,4.5969966288691386E-4
apartment |apartment |apartments,2014100411,8736,3,3.4340659340659343E-4
apartment |apartment |apartments,2014100514,7337,3,4.088864658579801E-4
apartment |apartment |apartments,2014100414,8029,3,3.736455349358575E-4
apartment |apartment |apartments,2014100517,16635,0,0.0
apartment |apartment |apartments,2014100413,7649,6,7.844162635638645E-4
apartment |apartment |apartments,2014100516,7164,5,6.979341150195422E-4
apartment |apartment |apartments,2014100416,8535,2,2.3432923257176333E-4
apartment |apartment |apartments,2014100511,8203,1,1.2190661952944045E-4
apartment |apartment |apartments,2014100415,9288,2,2.153316106804479E-4
apartment |apartment |apartments,2014100510,7389,0,0.0
apartment |apartment |apartments,2014100418,8794,4,4.5485558335228563E-4
apartment |apartment |apartments,2014100513,8653,3,3.467005662775916E-4
apartment |apartment |apartments,2014100417,9001,2,2.2219753360737697E-4
apartment |apartment |apartments,2014100512,7658,0,0.0
apartment |apartment |apartments,2014100908,14247,0,0.0
