cent |cent,2014100223,8580,1,1.1655011655011655E-4
cent |cent,2014100222,12009,0,0.0
cent |cent,2014100221,14828,2,1.348799568384138E-4
cent |cent,2014100220,15090,1,6.626905235255136E-5
cent |cent,2014093023,7216,4,5.543237250554324E-4
cent |cent,2014093020,2478,0,0.0
cent |cent,2014093022,2524,2,7.92393026941363E-4
cent |cent,2014093021,2547,0,0.0
cent |cent,2014100321,9080,0,0.0
cent |cent,2014100322,8671,4,4.613078076346442E-4
cent |cent,2014100320,9381,0,0.0
cent |cent,2014100323,6929,0,0.0
cent |cent,2014100123,8836,2,2.2634676324128565E-4
cent |cent,2014100122,10378,1,9.635767970707265E-5
cent |cent,2014100121,12311,1,8.122816992933149E-5
cent |cent,2014100200,11724,0,0.0
cent |cent,2014100201,6861,0,0.0
cent |cent,2014100309,9997,7,7.002100630189057E-4
cent |cent,2014100307,6926,0,0.0
cent |cent,2014100204,8387,0,0.0
cent |cent,2014100308,8532,1,1.1720581340834506E-4
cent |cent,2014100205,14882,0,0.0
cent |cent,2014100305,3838,0,0.0
cent |cent,2014100202,5853,0,0.0
cent |cent,2014100306,5526,0,0.0
cent |cent,2014100203,5613,0,0.0
cent |cent,2014100303,5043,0,0.0
cent |cent,2014100208,9640,1,1.037344398340249E-4
cent |cent,2014100304,4725,0,0.0
cent |cent,2014100209,12321,0,0.0
cent |cent,2014100301,4480,0,0.0
cent |cent,2014100206,9203,2,2.1732043898728675E-4
cent |cent,2014100302,8095,2,2.470660901791229E-4
cent |cent,2014100207,9445,2,2.1175224986765483E-4
cent |cent,2014100300,6707,0,0.0
cent |cent,2014100106,45483,0,0.0
cent |cent,2014100105,7742,0,0.0
cent |cent,2014100104,8731,0,0.0
cent |cent,2014100103,1127,0,0.0
cent |cent,2014100102,2940,1,3.401360544217687E-4
cent |cent,2014100101,3598,1,2.7793218454697053E-4
cent |cent,2014100100,1816,0,0.0
cent |cent,2014100109,10999,0,0.0
cent |cent,2014100108,14670,1,6.81663258350375E-5
cent |cent,2014100107,32104,0,0.0
cent |cent,2014100210,10300,1,9.70873786407767E-5
