trade |Trade |trade |trades,2014100223,8580,4,4.662004662004662E-4
trade |Trade |trade |trades,2014100222,12009,10,8.327088017320343E-4
trade |Trade |trade |trades,2014100221,14828,8,5.395198273536552E-4
trade |Trade |trade |trades,2014100220,15090,6,3.9761431411530816E-4
trade |Trade |trade |trades,2014093023,7216,7,9.700665188470067E-4
trade |Trade |trade |trades,2014093020,2478,2,8.071025020177562E-4
trade |Trade |trade |trades,2014093022,2524,1,3.961965134706815E-4
trade |Trade |trade |trades,2014093021,2547,1,3.9261876717707107E-4
trade |Trade |trade |trades,2014100321,9080,4,4.405286343612335E-4
trade |Trade |trade |trades,2014100322,8671,7,8.072886633606274E-4
trade |Trade |trade |trades,2014100320,9381,2,2.1319688732544505E-4
trade |Trade |trade |trades,2014100323,6929,3,4.3296290951075193E-4
trade |Trade |trade |trades,2014100123,8836,4,4.526935264825713E-4
trade |Trade |trade |trades,2014100122,10378,6,5.781460782424359E-4
trade |Trade |trade |trades,2014100121,12311,14,0.0011371943790106408
trade |Trade |trade |trades,2014100200,11724,2,1.70590242238144E-4
trade |Trade |trade |trades,2014100201,6861,1,1.4575134819997084E-4
trade |Trade |trade |trades,2014100309,9997,26,0.002600780234070221
trade |Trade |trade |trades,2014100307,6926,2,2.8876696505919725E-4
trade |Trade |trade |trades,2014100204,8387,0,0.0
trade |Trade |trade |trades,2014100308,8532,8,9.376465072667605E-4
trade |Trade |trade |trades,2014100205,14882,0,0.0
trade |Trade |trade |trades,2014100305,3838,0,0.0
trade |Trade |trade |trades,2014100202,5853,0,0.0
trade |Trade |trade |trades,2014100306,5526,0,0.0
trade |Trade |trade |trades,2014100203,5613,1,1.7815784785319794E-4
trade |Trade |trade |trades,2014100303,5043,1,1.98294665873488E-4
trade |Trade |trade |trades,2014100208,9640,6,6.224066390041493E-4
trade |Trade |trade |trades,2014100304,4725,2,4.232804232804233E-4
trade |Trade |trade |trades,2014100209,12321,9,7.304601899196494E-4
trade |Trade |trade |trades,2014100301,4480,0,0.0
trade |Trade |trade |trades,2014100206,9203,2,2.1732043898728675E-4
trade |Trade |trade |trades,2014100302,8095,0,0.0
trade |Trade |trade |trades,2014100207,9445,1,1.0587612493382742E-4
trade |Trade |trade |trades,2014100300,6707,3,4.472938720739526E-4
trade |Trade |trade |trades,2014100106,45483,2,4.397247323175692E-5
trade |Trade |trade |trades,2014100105,7742,0,0.0
trade |Trade |trade |trades,2014100104,8731,0,0.0
trade |Trade |trade |trades,2014100103,1127,0,0.0
trade |Trade |trade |trades,2014100102,2940,0,0.0
trade |Trade |trade |trades,2014100101,3598,0,0.0
trade |Trade |trade |trades,2014100100,1816,5,0.0027533039647577094
trade |Trade |trade |trades,2014100109,10999,9,8.182562051095554E-4
trade |Trade |trade |trades,2014100108,14670,7,4.7716428084526244E-4
trade |Trade |trade |trades,2014100107,32104,6,1.868925990530775E-4
trade |Trade |trade |trades,2014100210,10300,4,3.883495145631068E-4
trade |Trade |trade |trades,2014100211,11008,38,0.0034520348837209303
trade |Trade |trade |trades,2014100212,11567,20,0.0017290567995158642
trade |Trade |trade |trades,2014100316,10537,14,0.001328651418809908
trade |Trade |trade |trades,2014100213,10976,27,0.002459912536443149
trade |Trade |trade |trades,2014100317,9832,11,0.0011187957689178193
trade |Trade |trade |trades,2014100214,12210,10,8.19000819000819E-4
trade |Trade |trade |trades,2014100318,9075,13,0.0014325068870523416
trade |Trade |trade |trades,2014100215,11832,14,0.0011832319134550372
trade |Trade |trade |trades,2014100319,8645,11,0.0012724117987275882
trade |Trade |trade |trades,2014100216,10725,17,0.001585081585081585
trade |Trade |trade |trades,2014100312,10661,14,0.0013131976362442547
trade |Trade |trade |trades,2014100217,9835,15,0.001525165226232842
trade |Trade |trade |trades,2014100313,9887,16,0.0016182866390209367
trade |Trade |trade |trades,2014100218,9907,7,7.065711113354194E-4
trade |Trade |trade |trades,2014100314,9820,9,9.164969450101833E-4
trade |Trade |trade |trades,2014100219,11100,9,8.108108108108108E-4
trade |Trade |trade |trades,2014100420,8163,3,3.675119441381845E-4
trade |Trade |trade |trades,2014100315,10271,13,0.0012656995424009346
trade |Trade |trade |trades,2014100120,12122,14,0.0011549249298795578
trade |Trade |trade |trades,2014100421,8099,3,3.704161007531794E-4
trade |Trade |trade |trades,2014100422,8432,2,2.3719165085388995E-4
trade |Trade |trade |trades,2014100423,6306,4,6.343165239454488E-4
trade |Trade |trade |trades,2014100310,10343,30,0.0029005124238615488
trade |Trade |trade |trades,2014100311,11400,17,0.0014912280701754386
trade |Trade |trade |trades,2014100115,14152,8,5.652911249293386E-4
trade |Trade |trade |trades,2014100114,11535,10,8.669267446900737E-4
trade |Trade |trade |trades,2014100117,11365,3,2.639683238011439E-4
trade |Trade |trade |trades,2014100116,10904,12,0.0011005135730007337
trade |Trade |trade |trades,2014100111,9571,22,0.002298610385539651
trade |Trade |trade |trades,2014100110,9126,6,6.574621959237344E-4
trade |Trade |trade |trades,2014100823,5727,6,0.0010476689366160294
trade |Trade |trade |trades,2014100113,11543,17,0.0014727540500736377
trade |Trade |trade |trades,2014100822,900,5,0.005555555555555556
trade |Trade |trade |trades,2014100112,11651,18,0.0015449317655136898
trade |Trade |trade |trades,2014100119,11403,12,0.0010523546435148646
trade |Trade |trade |trades,2014100118,10294,14,0.0013600155430347775
trade |Trade |trade |trades,2014100604,4638,0,0.0
trade |Trade |trade |trades,2014100605,8675,0,0.0
trade |Trade |trade |trades,2014100700,5207,3,5.761474937584022E-4
trade |Trade |trade |trades,2014100914,3191,99,0.03102475712942651
trade |Trade |trade |trades,2014100602,8176,1,1.223091976516634E-4
trade |Trade |trade |trades,2014100915,1000,6,0.006
trade |Trade |trade |trades,2014100603,9384,0,0.0
