parliament |parliament |Parliament,2014100223,8580,13,0.0015151515151515152
parliament |parliament |Parliament,2014100222,12009,47,0.003913731368140562
parliament |parliament |Parliament,2014100221,14828,51,0.003439438899379552
parliament |parliament |Parliament,2014100220,15090,163,0.010801855533465871
parliament |parliament |Parliament,2014093023,7216,12,0.0016629711751662971
parliament |parliament |Parliament,2014093020,2478,1,4.035512510088781E-4
parliament |parliament |Parliament,2014093022,2524,0,0.0
parliament |parliament |Parliament,2014093021,2547,0,0.0
parliament |parliament |Parliament,2014100321,9080,5,5.506607929515419E-4
parliament |parliament |Parliament,2014100322,8671,16,0.0018452312305385769
parliament |parliament |Parliament,2014100320,9381,10,0.0010659844366272253
parliament |parliament |Parliament,2014100323,6929,2,2.886419396738346E-4
parliament |parliament |Parliament,2014100123,8836,1,1.1317338162064282E-4
parliament |parliament |Parliament,2014100122,10378,4,3.854307188282906E-4
parliament |parliament |Parliament,2014100121,12311,4,3.2491267971732594E-4
parliament |parliament |Parliament,2014100200,11724,2,1.70590242238144E-4
parliament |parliament |Parliament,2014100201,6861,0,0.0
parliament |parliament |Parliament,2014100309,9997,21,0.002100630189056717
parliament |parliament |Parliament,2014100307,6926,34,0.004909038406006353
parliament |parliament |Parliament,2014100204,8387,0,0.0
parliament |parliament |Parliament,2014100308,8532,59,0.006915142991092358
parliament |parliament |Parliament,2014100205,14882,0,0.0
parliament |parliament |Parliament,2014100305,3838,4,0.0010422094841063053
parliament |parliament |Parliament,2014100202,5853,1,1.7085255424568598E-4
parliament |parliament |Parliament,2014100306,5526,6,0.0010857763300760044
parliament |parliament |Parliament,2014100203,5613,0,0.0
parliament |parliament |Parliament,2014100303,5043,2,3.96589331746976E-4
parliament |parliament |Parliament,2014100208,9640,15,0.0015560165975103733
parliament |parliament |Parliament,2014100304,4725,0,0.0
parliament |parliament |Parliament,2014100209,12321,3,2.4348672997321646E-4
parliament |parliament |Parliament,2014100301,4480,0,0.0
parliament |parliament |Parliament,2014100206,9203,2,2.1732043898728675E-4
parliament |parliament |Parliament,2014100302,8095,1,1.2353304508956145E-4
parliament |parliament |Parliament,2014100207,9445,15,0.0015881418740074113
parliament |parliament |Parliament,2014100300,6707,7,0.0010436857015058893
parliament |parliament |Parliament,2014100106,45483,2,4.397247323175692E-5
parliament |parliament |Parliament,2014100105,7742,0,0.0
parliament |parliament |Parliament,2014100104,8731,0,0.0
parliament |parliament |Parliament,2014100103,1127,0,0.0
