people |People |people,2014100223,8580,127,0.014801864801864802
people |People |people,2014100222,12009,215,0.017903239237238737
people |People |people,2014100221,14828,161,0.010857836525492312
people |People |people,2014100220,15090,129,0.008548707753479125
people |People |people,2014093023,7216,131,0.01815410199556541
people |People |people,2014093020,2478,56,0.022598870056497175
people |People |people,2014093022,2524,48,0.01901743264659271
people |People |people,2014093021,2547,48,0.01884570082449941
people |People |people,2014100321,9080,137,0.015088105726872247
people |People |people,2014100322,8671,127,0.014646522892399955
people |People |people,2014100320,9381,145,0.015456774331094766
people |People |people,2014100323,6929,128,0.018473084139125413
people |People |people,2014100123,8836,132,0.014938886373924853
people |People |people,2014100122,10378,235,0.022644054731162072
people |People |people,2014100121,12311,225,0.018276338234099587
people |People |people,2014100200,11724,116,0.00989423404981235
people |People |people,2014100201,6861,98,0.014283632123597144
people |People |people,2014100309,9997,189,0.018905671701510453
people |People |people,2014100307,6926,95,0.013716430840311869
people |People |people,2014100204,8387,52,0.0062000715392869915
people |People |people,2014100308,8532,148,0.017346460384435068
people |People |people,2014100205,14882,71,0.004770864131165166
people |People |people,2014100305,3838,37,0.009640437727983325
people |People |people,2014100202,5853,78,0.013326499231163505
people |People |people,2014100306,5526,57,0.01031487513572204
people |People |people,2014100203,5613,54,0.009620523784072688
people |People |people,2014100303,5043,42,0.008328375966686495
people |People |people,2014100208,9640,152,0.015767634854771784
people |People |people,2014100304,4725,27,0.005714285714285714
people |People |people,2014100209,12321,134,0.010875740605470335
people |People |people,2014100301,4480,40,0.008928571428571428
people |People |people,2014100206,9203,62,0.006736933608605889
people |People |people,2014100302,8095,55,0.0067943174799258805
people |People |people,2014100207,9445,120,0.01270513499205929
people |People |people,2014100300,6707,83,0.012375130460712688
people |People |people,2014100106,45483,218,0.004792999582261505
people |People |people,2014100105,7742,50,0.006458279514337381
people |People |people,2014100104,8731,32,0.0036651013629595696
people |People |people,2014100103,1127,1,8.873114463176575E-4
people |People |people,2014100102,2940,40,0.013605442176870748
people |People |people,2014100101,3598,89,0.024735964424680377
people |People |people,2014100100,1816,33,0.01817180616740088
people |People |people,2014100109,10999,186,0.016910628238930813
people |People |people,2014100108,14670,190,0.012951601908657124
people |People |people,2014100107,32104,313,0.009749563917268876
people |People |people,2014100210,10300,151,0.014660194174757281
people |People |people,2014100211,11008,155,0.014080668604651164
people |People |people,2014100212,11567,188,0.016253133915449122
people |People |people,2014100316,10537,151,0.014330454588592579
people |People |people,2014100213,10976,158,0.014395043731778426
people |People |people,2014100317,9832,114,0.011594792514239219
people |People |people,2014100214,12210,186,0.015233415233415233
people |People |people,2014100318,9075,151,0.016639118457300275
people |People |people,2014100215,11832,162,0.013691683569979716
people |People |people,2014100319,8645,147,0.01700404858299595
people |People |people,2014100216,10725,181,0.016876456876456877
people |People |people,2014100312,10661,158,0.014820373323328018
people |People |people,2014100217,9835,233,0.023690899847483477
people |People |people,2014100313,9887,132,0.013350864771922728
people |People |people,2014100218,9907,177,0.017866155243767032
people |People |people,2014100314,9820,136,0.01384928716904277
people |People |people,2014100219,11100,169,0.015225225225225226
people |People |people,2014100420,8163,168,0.02058066887173833
people |People |people,2014100315,10271,125,0.012170187907701295
people |People |people,2014100120,12122,210,0.017323873948193368
people |People |people,2014100421,8099,111,0.013705395727867638
people |People |people,2014100422,8432,138,0.016366223908918405
people |People |people,2014100423,6306,118,0.01871233745639074
people |People |people,2014100310,10343,234,0.022623996906120082
people |People |people,2014100311,11400,152,0.013333333333333334
people |People |people,2014100115,14152,198,0.01399095534200113
people |People |people,2014100114,11535,165,0.014304291287386216
people |People |people,2014100117,11365,154,0.013550373955125384
people |People |people,2014100116,10904,154,0.014123257520176083
people |People |people,2014100111,9571,205,0.021418869501619475
people |People |people,2014100110,9126,155,0.016984440061363137
people |People |people,2014100823,5727,85,0.014841976602060415
people |People |people,2014100113,11543,182,0.015767131594906003
people |People |people,2014100822,900,15,0.016666666666666666
people |People |people,2014100112,11651,243,0.020856578834434814
people |People |people,2014100119,11403,143,0.012540559501885469
people |People |people,2014100118,10294,152,0.014765883038663299
people |People |people,2014100604,4638,142,0.030616645105648987
people |People |people,2014100605,8675,105,0.012103746397694525
people |People |people,2014100700,5207,103,0.019781063952371808
people |People |people,2014100914,3191,48,0.015042306486994672
people |People |people,2014100602,8176,170,0.020792563600782778
people |People |people,2014100915,1000,12,0.012
people |People |people,2014100603,9384,150,0.0159846547314578
people |People |people,2014100912,2545,95,0.03732809430255403
people |People |people,2014100608,13680,180,0.013157894736842105
people |People |people,2014100913,6771,170,0.025107074287402158
people |People |people,2014100609,13287,216,0.016256491307292842
people |People |people,2014100810,6053,113,0.018668428878242195
people |People |people,2014100606,4334,90,0.02076603599446239
people |People |people,2014100607,6194,167,0.026961575718437197
people |People |people,2014100707,4802,101,0.021032902957101206
people |People |people,2014100813,7061,121,0.01713638294859085
people |People |people,2014100708,5400,100,0.018518518518518517
people |People |people,2014100814,6011,129,0.02146065546498087
people |People |people,2014100705,2740,40,0.014598540145985401
people |People |people,2014100811,6604,91,0.013779527559055118
