job |jobs |job,2014100223,8580,15,0.0017482517482517483
job |jobs |job,2014100222,12009,22,0.0018319593638104754
job |jobs |job,2014100221,14828,27,0.0018208794173185864
job |jobs |job,2014100220,15090,36,0.002385685884691849
job |jobs |job,2014093023,7216,51,0.007067627494456763
job |jobs |job,2014093020,2478,27,0.010895883777239709
job |jobs |job,2014093022,2524,24,0.009508716323296355
job |jobs |job,2014093021,2547,21,0.008244994110718492
job |jobs |job,2014100321,9080,27,0.002973568281938326
job |jobs |job,2014100322,8671,58,0.006688963210702341
job |jobs |job,2014100320,9381,23,0.002451764204242618
job |jobs |job,2014100323,6929,25,0.0036080242459229327
job |jobs |job,2014100123,8836,19,0.0021502942507922135
job |jobs |job,2014100122,10378,43,0.0041433802274041245
job |jobs |job,2014100121,12311,73,0.005929656404841199
job |jobs |job,2014100200,11724,20,0.0017059024223814397
job |jobs |job,2014100201,6861,19,0.002769275615799446
job |jobs |job,2014100309,9997,50,0.00500150045013504
job |jobs |job,2014100307,6926,17,0.0024545192030031764
job |jobs |job,2014100204,8387,13,0.0015500178848217479
job |jobs |job,2014100308,8532,28,0.0032817627754336614
job |jobs |job,2014100205,14882,17,0.0011423195807015187
job |jobs |job,2014100305,3838,3,7.81657113079729E-4
job |jobs |job,2014100202,5853,11,0.0018793780967025456
job |jobs |job,2014100306,5526,14,0.0025334781035106766
job |jobs |job,2014100203,5613,8,0.0014252627828255835
job |jobs |job,2014100303,5043,9,0.001784651992861392
job |jobs |job,2014100208,9640,36,0.0037344398340248964
job |jobs |job,2014100304,4725,2,4.232804232804233E-4
job |jobs |job,2014100209,12321,55,0.004463923382842302
job |jobs |job,2014100301,4480,9,0.0020089285714285712
job |jobs |job,2014100206,9203,19,0.0020645441703792244
job |jobs |job,2014100302,8095,4,4.941321803582458E-4
job |jobs |job,2014100207,9445,23,0.002435150873478031
job |jobs |job,2014100300,6707,22,0.0032801550618756525
job |jobs |job,2014100106,45483,51,0.0011212980674098014
job |jobs |job,2014100105,7742,30,0.0038749677086024285
job |jobs |job,2014100104,8731,45,0.0051540487916618945
job |jobs |job,2014100103,1127,10,0.008873114463176575
job |jobs |job,2014100102,2940,59,0.020068027210884354
job |jobs |job,2014100101,3598,72,0.020011117287381877
job |jobs |job,2014100100,1816,27,0.01486784140969163
job |jobs |job,2014100109,10999,60,0.005455041367397036
job |jobs |job,2014100108,14670,33,0.0022494887525562374
job |jobs |job,2014100107,32104,135,0.004205083478694244
job |jobs |job,2014100210,10300,35,0.0033980582524271844
job |jobs |job,2014100211,11008,34,0.0030886627906976743
job |jobs |job,2014100212,11567,35,0.0030258493991527622
job |jobs |job,2014100316,10537,34,0.0032267248742526337
job |jobs |job,2014100213,10976,35,0.0031887755102040817
job |jobs |job,2014100317,9832,25,0.0025427176566314076
job |jobs |job,2014100214,12210,27,0.0022113022113022115
job |jobs |job,2014100318,9075,18,0.0019834710743801653
job |jobs |job,2014100215,11832,37,0.0031271129141311697
job |jobs |job,2014100319,8645,29,0.00335454019664546
job |jobs |job,2014100216,10725,33,0.003076923076923077
job |jobs |job,2014100312,10661,27,0.0025325954413282056
job |jobs |job,2014100217,9835,37,0.0037620742247076767
job |jobs |job,2014100313,9887,31,0.003135430363103065
job |jobs |job,2014100218,9907,20,0.002018774603815484
job |jobs |job,2014100314,9820,27,0.0027494908350305497
job |jobs |job,2014100219,11100,35,0.003153153153153153
job |jobs |job,2014100420,8163,19,0.0023275756462085018
job |jobs |job,2014100315,10271,25,0.002434037581540259
job |jobs |job,2014100120,12122,55,0.004537205081669692
job |jobs |job,2014100421,8099,12,0.0014816644030127175
job |jobs |job,2014100422,8432,16,0.0018975332068311196
job |jobs |job,2014100423,6306,8,0.0012686330478908975
job |jobs |job,2014100310,10343,42,0.004060717393406168
job |jobs |job,2014100311,11400,52,0.004561403508771929
job |jobs |job,2014100115,14152,54,0.0038157150932730355
job |jobs |job,2014100114,11535,42,0.0036410923276983093
job |jobs |job,2014100117,11365,32,0.0028156621205455345
job |jobs |job,2014100116,10904,46,0.004218635363169479
job |jobs |job,2014100111,9571,35,0.003656880158813081
job |jobs |job,2014100110,9126,32,0.0035064650449265836
job |jobs |job,2014100823,5727,51,0.00890518596123625
job |jobs |job,2014100113,11543,37,0.003205405873689682
job |jobs |job,2014100822,900,14,0.015555555555555555
job |jobs |job,2014100112,11651,51,0.0043773066689554545
job |jobs |job,2014100119,11403,66,0.005787950539331755
job |jobs |job,2014100118,10294,54,0.005245774237419856
job |jobs |job,2014100604,4638,9,0.0019404915912031048
job |jobs |job,2014100605,8675,3,3.45821325648415E-4
job |jobs |job,2014100700,5207,10,0.0019204916458613404
job |jobs |job,2014100914,3191,17,0.00532748354747728
job |jobs |job,2014100602,8176,7,8.561643835616438E-4
job |jobs |job,2014100915,1000,6,0.006
job |jobs |job,2014100603,9384,4,4.2625745950554135E-4
job |jobs |job,2014100912,2545,18,0.007072691552062868
job |jobs |job,2014100608,13680,29,0.0021198830409356723
job |jobs |job,2014100913,6771,32,0.004726037512922759
job |jobs |job,2014100609,13287,79,0.005945661172574697
job |jobs |job,2014100810,6053,40,0.0066082934082273255
job |jobs |job,2014100606,4334,6,0.0013844023996308261
job |jobs |job,2014100607,6194,14,0.0022602518566354536
job |jobs |job,2014100707,4802,25,0.005206164098292378
job |jobs |job,2014100813,7061,44,0.006231411981305764
job |jobs |job,2014100708,5400,59,0.010925925925925926
job |jobs |job,2014100814,6011,35,0.005822658459490934
job |jobs |job,2014100705,2740,4,0.00145985401459854
job |jobs |job,2014100811,6604,36,0.005451241671714113
job |jobs |job,2014100706,3398,7,0.0020600353148911123
job |jobs |job,2014100812,5896,23,0.0039009497964721846
job |jobs |job,2014100817,6743,33,0.004893964110929853
job |jobs |job,2014100600,15771,10,6.340752013188764E-4
job |jobs |job,2014100703,5792,4,6.906077348066298E-4
job |jobs |job,2014100818,7400,25,0.0033783783783783786
job |jobs |job,2014100601,8669,17,0.0019610104971738377
job |jobs |job,2014100704,3010,3,9.966777408637873E-4
job |jobs |job,2014100815,5628,32,0.005685856432125089
job |jobs |job,2014100701,13455,8,5.945745076179859E-4
job |jobs |job,2014100816,7857,42,0.005345551737304314
job |jobs |job,2014100702,8524,7,8.212106992022525E-4
job |jobs |job,2014100509,9287,9,9.690965866264671E-4
job |jobs |job,2014100508,6498,8,0.0012311480455524776
job |jobs |job,2014100819,4300,17,0.003953488372093023
job |jobs |job,2014100507,16911,5,2.9566554313760273E-4
job |jobs |job,2014100403,6749,13,0.0019262112905615648
job |jobs |job,2014100506,11836,7,5.914160189253126E-4
job |jobs |job,2014100402,6613,12,0.0018146075911084228
job |jobs |job,2014100505,6487,1,1.5415446277169725E-4
job |jobs |job,2014100401,4570,8,0.00175054704595186
job |jobs |job,2014100504,3861,3,7.77000777000777E-4
job |jobs |job,2014100400,5285,15,0.002838221381267739
job |jobs |job,2014100503,4540,3,6.607929515418502E-4
job |jobs |job,2014100709,5572,79,0.014178033022254127
job |jobs |job,2014100407,7111,19,0.0026719167486991984
job |jobs |job,2014100406,10763,8,7.43287187587104E-4
job |jobs |job,2014100501,6148,7,0.0011385816525699415
job |jobs |job,2014100405,10366,494,0.04765579780050164
job |jobs |job,2014100500,11540,5,4.332755632582322E-4
job |jobs |job,2014100404,3086,7,0.002268308489954634
job |jobs |job,2014100409,9932,29,0.002919855014095852
job |jobs |job,2014100408,10458,11,0.0010518263530311723
job |jobs |job,2014100903,4141,6,0.0014489253803429123
job |jobs |job,2014100613,12260,77,0.006280587275693312
job |jobs |job,2014100904,4854,4,8.240626287597857E-4
job |jobs |job,2014100614,10247,61,0.005952961842490485
job |jobs |job,2014100905,7777,4,5.143371480005143E-4
job |jobs |job,2014100615,8801,43,0.00488580843086013
job |jobs |job,2014100710,7431,32,0.004306284483918719
job |jobs |job,2014100906,3505,13,0.003708987161198288
job |jobs |job,2014100616,10833,61,0.005630942490538171
job |jobs |job,2014100711,13474,35,0.0025975953688585425
job |jobs |job,2014100617,11523,49,0.004252364835546299
job |jobs |job,2014100900,3864,24,0.006211180124223602
job |jobs |job,2014100618,10834,64,0.005907328779767399
job |jobs |job,2014100901,3052,13,0.004259501965923985
job |jobs |job,2014100619,10472,40,0.0038197097020626434
job |jobs |job,2014100902,4916,9,0.0018307567127746134
job |jobs |job,2014100716,9756,76,0.007790077900779008
job |jobs |job,2014100800,3418,8,0.0023405500292568754
job |jobs |job,2014100717,12018,56,0.004659677150940256
job |jobs |job,2014100801,4912,12,0.0024429967426710096
job |jobs |job,2014100718,9824,55,0.005598534201954397
job |jobs |job,2014100802,4582,8,0.001745962461807071
job |jobs |job,2014100719,8904,27,0.003032345013477089
job |jobs |job,2014100803,4750,5,0.0010526315789473684
job |jobs |job,2014100712,10146,146,0.01438990735265129
job |jobs |job,2014100804,8238,2,2.4277737314882253E-4
job |jobs |job,2014100610,8565,65,0.007589025102159953
job |jobs |job,2014100713,7382,92,0.012462747222974803
job |jobs |job,2014100805,6904,9,0.0013035921205098494
job |jobs |job,2014100611,8676,67,0.0077224527431996315
job |jobs |job,2014100714,9294,50,0.005379814934366258
job |jobs |job,2014100806,7696,8,0.0010395010395010396
job |jobs |job,2014100612,7761,54,0.006957866254348666
job |jobs |job,2014100715,8494,112,0.01318577819637391
job |jobs |job,2014100807,6298,16,0.0025404890441409972
job |jobs |job,2014100519,13547,26,0.0019192441130877686
job |jobs |job,2014100809,5933,50,0.008427439743805831
job |jobs |job,2014100518,12589,25,0.0019858606720152515
job |jobs |job,2014100808,7916,34,0.004295098534613441
job |jobs |job,2014100410,8297,19,0.0022899843316861518
job |jobs |job,2014100412,8252,34,0.004120213281628696
job |jobs |job,2014100515,6526,14,0.0021452650934722646
job |jobs |job,2014100411,8736,39,0.004464285714285714
job |jobs |job,2014100514,7337,18,0.0024533187951478806
job |jobs |job,2014100414,8029,18,0.0022418732096151452
job |jobs |job,2014100517,16635,28,0.0016831980763450556
job |jobs |job,2014100413,7649,27,0.0035298731860373906
job |jobs |job,2014100516,7164,16,0.002233389168062535
job |jobs |job,2014100416,8535,13,0.0015231400117164617
job |jobs |job,2014100511,8203,27,0.0032914787272948923
job |jobs |job,2014100415,9288,16,0.0017226528854435831
job |jobs |job,2014100510,7389,29,0.0039247530112329135
