air |air |Air,2014100223,8580,3,3.4965034965034965E-4
air |air |Air,2014100222,12009,6,4.996252810392206E-4
air |air |Air,2014100221,14828,13,8.767197194496898E-4
air |air |Air,2014100220,15090,139,0.009211398277004639
air |air |Air,2014093023,7216,5,6.929046563192905E-4
air |air |Air,2014093020,2478,2,8.071025020177562E-4
air |air |Air,2014093022,2524,4,0.001584786053882726
air |air |Air,2014093021,2547,2,7.852375343541421E-4
air |air |Air,2014100321,9080,10,0.0011013215859030838
air |air |Air,2014100322,8671,7,8.072886633606274E-4
air |air |Air,2014100320,9381,6,6.395906619763352E-4
air |air |Air,2014100323,6929,2,2.886419396738346E-4
air |air |Air,2014100123,8836,13,0.0014712539610683567
air |air |Air,2014100122,10378,18,0.0017344382347273077
air |air |Air,2014100121,12311,13,0.0010559662090813093
air |air |Air,2014100200,11724,10,8.529512111907199E-4
air |air |Air,2014100201,6861,4,5.830053927998834E-4
air |air |Air,2014100309,9997,12,0.0012003601080324098
air |air |Air,2014100307,6926,14,0.0020213687554143807
air |air |Air,2014100204,8387,3,3.576964349588649E-4
air |air |Air,2014100308,8532,16,0.001875293014533521
air |air |Air,2014100205,14882,3,2.0158580835909153E-4
air |air |Air,2014100305,3838,9,0.002344971339239187
air |air |Air,2014100202,5853,6,0.0010251153254741158
air |air |Air,2014100306,5526,9,0.0016286644951140066
air |air |Air,2014100203,5613,7,0.0012471049349723855
air |air |Air,2014100303,5043,15,0.00297441998810232
air |air |Air,2014100208,9640,22,0.002282157676348548
air |air |Air,2014100304,4725,9,0.0019047619047619048
air |air |Air,2014100209,12321,16,0.0012985958931904878
air |air |Air,2014100301,4480,7,0.0015625
air |air |Air,2014100206,9203,8,8.69281755949147E-4
air |air |Air,2014100302,8095,2,2.470660901791229E-4
air |air |Air,2014100207,9445,11,0.0011646373742721016
air |air |Air,2014100300,6707,7,0.0010436857015058893
air |air |Air,2014100106,45483,18,3.957522590858123E-4
air |air |Air,2014100105,7742,10,0.0012916559028674762
air |air |Air,2014100104,8731,1,1.1453441759248655E-4
air |air |Air,2014100103,1127,0,0.0
air |air |Air,2014100102,2940,3,0.0010204081632653062
air |air |Air,2014100101,3598,1,2.7793218454697053E-4
air |air |Air,2014100100,1816,1,5.506607929515419E-4
air |air |Air,2014100109,10999,19,0.0017274297663423949
air |air |Air,2014100108,14670,16,0.0010906612133606
air |air |Air,2014100107,32104,17,5.295290306503862E-4
air |air |Air,2014100210,10300,11,0.0010679611650485437
air |air |Air,2014100211,11008,16,0.0014534883720930232
air |air |Air,2014100212,11567,92,0.007953661277772976
air |air |Air,2014100316,10537,28,0.002657302837619816
air |air |Air,2014100213,10976,32,0.0029154518950437317
air |air |Air,2014100317,9832,24,0.0024410089503661514
air |air |Air,2014100214,12210,16,0.0013104013104013104
air |air |Air,2014100318,9075,23,0.002534435261707989
air |air |Air,2014100215,11832,12,0.0010141987829614604
air |air |Air,2014100319,8645,15,0.001735106998264893
air |air |Air,2014100216,10725,15,0.0013986013986013986
air |air |Air,2014100312,10661,47,0.0044085920645342835
air |air |Air,2014100217,9835,8,8.13421453990849E-4
air |air |Air,2014100313,9887,20,0.0020228582987761707
air |air |Air,2014100218,9907,15,0.001514080952861613
air |air |Air,2014100314,9820,16,0.001629327902240326
air |air |Air,2014100219,11100,4,3.6036036036036037E-4
air |air |Air,2014100420,8163,3,3.675119441381845E-4
air |air |Air,2014100315,10271,7,6.815305228312725E-4
air |air |Air,2014100120,12122,21,0.0017323873948193367
air |air |Air,2014100421,8099,12,0.0014816644030127175
air |air |Air,2014100422,8432,4,4.743833017077799E-4
air |air |Air,2014100423,6306,5,7.92895654931811E-4
air |air |Air,2014100310,10343,21,0.002030358696703084
air |air |Air,2014100311,11400,32,0.002807017543859649
air |air |Air,2014100115,14152,27,0.0019078575466365177
air |air |Air,2014100114,11535,16,0.0013870827915041179
air |air |Air,2014100117,11365,14,0.0012318521777386713
air |air |Air,2014100116,10904,11,0.0010088041085840058
air |air |Air,2014100111,9571,10,0.0010448229025180231
air |air |Air,2014100110,9126,9,9.861932938856016E-4
air |air |Air,2014100823,5727,5,8.730574471800245E-4
air |air |Air,2014100113,11543,9,7.7969332062722E-4
air |air |Air,2014100822,900,1,0.0011111111111111111
air |air |Air,2014100112,11651,18,0.0015449317655136898
air |air |Air,2014100119,11403,9,7.892659826361484E-4
air |air |Air,2014100118,10294,23,0.0022343112492714205
air |air |Air,2014100604,4638,2,4.3122035360068997E-4
air |air |Air,2014100605,8675,4,4.610951008645533E-4
air |air |Air,2014100700,5207,2,3.840983291722681E-4
air |air |Air,2014100914,3191,3,9.40144155437167E-4
air |air |Air,2014100602,8176,2,2.446183953033268E-4
air |air |Air,2014100915,1000,2,0.002
air |air |Air,2014100603,9384,3,3.1969309462915604E-4
air |air |Air,2014100912,2545,3,0.0011787819253438114
air |air |Air,2014100608,13680,5,3.654970760233918E-4
air |air |Air,2014100913,6771,8,0.0011815093782306897
air |air |Air,2014100609,13287,6,4.515692029803567E-4
air |air |Air,2014100810,6053,6,9.912440112340988E-4
air |air |Air,2014100606,4334,6,0.0013844023996308261
air |air |Air,2014100607,6194,17,0.002744591540200194
air |air |Air,2014100707,4802,11,0.0022907122032486465
air |air |Air,2014100813,7061,7,9.91360997025917E-4
air |air |Air,2014100708,5400,18,0.0033333333333333335
air |air |Air,2014100814,6011,8,0.0013308933621693562
air |air |Air,2014100705,2740,1,3.64963503649635E-4
air |air |Air,2014100811,6604,9,0.0013628104179285283
air |air |Air,2014100706,3398,8,0.002354326074161271
air |air |Air,2014100812,5896,10,0.0016960651289009499
air |air |Air,2014100817,6743,6,8.898116565327006E-4
air |air |Air,2014100600,15771,8,5.072601610551012E-4
air |air |Air,2014100703,5792,1,1.7265193370165745E-4
air |air |Air,2014100818,7400,3,4.054054054054054E-4
air |air |Air,2014100601,8669,0,0.0
air |air |Air,2014100704,3010,1,3.322259136212625E-4
air |air |Air,2014100815,5628,8,0.0014214641080312722
air |air |Air,2014100701,13455,2,1.4864362690449647E-4
air |air |Air,2014100816,7857,7,8.909252895507191E-4
