university |university |University,2014100223,8580,1,1.1655011655011655E-4
university |university |University,2014100222,12009,3,2.498126405196103E-4
university |university |University,2014100221,14828,4,2.697599136768276E-4
university |university |University,2014100220,15090,7,4.6388336646785953E-4
university |university |University,2014093023,7216,3,4.157427937915743E-4
university |university |University,2014093020,2478,1,4.035512510088781E-4
university |university |University,2014093022,2524,1,3.961965134706815E-4
university |university |University,2014093021,2547,0,0.0
university |university |University,2014100321,9080,2,2.2026431718061675E-4
university |university |University,2014100322,8671,2,2.306539038173221E-4
university |university |University,2014100320,9381,11,0.0011725828802899478
university |university |University,2014100323,6929,4,5.772838793476692E-4
university |university |University,2014100123,8836,1,1.1317338162064282E-4
university |university |University,2014100122,10378,1,9.635767970707265E-5
university |university |University,2014100121,12311,4,3.2491267971732594E-4
university |university |University,2014100200,11724,3,2.5588536335721597E-4
university |university |University,2014100201,6861,0,0.0
university |university |University,2014100309,9997,7,7.002100630189057E-4
university |university |University,2014100307,6926,3,4.331504475887958E-4
university |university |University,2014100204,8387,0,0.0
university |university |University,2014100308,8532,10,0.0011720581340834506
university |university |University,2014100205,14882,2,1.3439053890606102E-4
university |university |University,2014100305,3838,2,5.211047420531526E-4
university |university |University,2014100202,5853,0,0.0
university |university |University,2014100306,5526,2,3.619254433586681E-4
university |university |University,2014100203,5613,0,0.0
university |university |University,2014100303,5043,0,0.0
university |university |University,2014100208,9640,28,0.002904564315352697
university |university |University,2014100304,4725,0,0.0
university |university |University,2014100209,12321,18,0.0014609203798392988
university |university |University,2014100301,4480,0,0.0
university |university |University,2014100206,9203,3,3.259806584809301E-4
university |university |University,2014100302,8095,1,1.2353304508956145E-4
university |university |University,2014100207,9445,4,4.2350449973530967E-4
university |university |University,2014100300,6707,0,0.0
university |university |University,2014100106,45483,0,0.0
university |university |University,2014100105,7742,1,1.291655902867476E-4
university |university |University,2014100104,8731,1,1.1453441759248655E-4
university |university |University,2014100103,1127,0,0.0
university |university |University,2014100102,2940,0,0.0
university |university |University,2014100101,3598,1,2.7793218454697053E-4
university |university |University,2014100100,1816,0,0.0
university |university |University,2014100109,10999,5,4.545867806164197E-4
university |university |University,2014100108,14670,5,3.4083162917518747E-4
university |university |University,2014100107,32104,3,9.344629952653874E-5
university |university |University,2014100210,10300,11,0.0010679611650485437
university |university |University,2014100211,11008,14,0.0012718023255813954
university |university |University,2014100212,11567,5,4.3226419987896605E-4
university |university |University,2014100316,10537,12,0.0011388440732656353
university |university |University,2014100213,10976,5,4.5553935860058307E-4
university |university |University,2014100317,9832,7,7.119609438567941E-4
university |university |University,2014100214,12210,18,0.0014742014742014742
university |university |University,2014100318,9075,4,4.4077134986225897E-4
university |university |University,2014100215,11832,7,5.916159567275186E-4
university |university |University,2014100319,8645,4,4.626951995373048E-4
university |university |University,2014100216,10725,19,0.0017715617715617716
university |university |University,2014100312,10661,7,6.565988181221273E-4
university |university |University,2014100217,9835,11,0.0011184544992374173
university |university |University,2014100313,9887,7,7.080004045716598E-4
university |university |University,2014100218,9907,22,0.0022206520641970323
university |university |University,2014100314,9820,5,5.091649694501018E-4
university |university |University,2014100219,11100,5,4.5045045045045046E-4
university |university |University,2014100420,8163,2,2.450079627587897E-4
university |university |University,2014100315,10271,6,5.841690195696621E-4
university |university |University,2014100120,12122,2,1.6498927569707968E-4
university |university |University,2014100421,8099,0,0.0
university |university |University,2014100422,8432,2,2.3719165085388995E-4
university |university |University,2014100423,6306,1,1.585791309863622E-4
university |university |University,2014100310,10343,2,1.9336749492410325E-4
university |university |University,2014100311,11400,5,4.385964912280702E-4
university |university |University,2014100115,14152,5,3.5330695308083665E-4
university |university |University,2014100114,11535,6,5.201560468140442E-4
university |university |University,2014100117,11365,6,5.279366476022878E-4
university |university |University,2014100116,10904,3,2.751283932501834E-4
university |university |University,2014100111,9571,13,0.0013582697732734302
university |university |University,2014100110,9126,6,6.574621959237344E-4
university |university |University,2014100823,5727,3,5.238344683080147E-4
university |university |University,2014100113,11543,20,0.0017326518236160443
university |university |University,2014100822,900,0,0.0
university |university |University,2014100112,11651,10,8.582954252853832E-4
university |university |University,2014100119,11403,5,4.384811014645269E-4
university |university |University,2014100118,10294,4,3.885758694385079E-4
university |university |University,2014100604,4638,1,2.1561017680034498E-4
university |university |University,2014100605,8675,2,2.3054755043227666E-4
university |university |University,2014100700,5207,1,1.9204916458613405E-4
university |university |University,2014100914,3191,3,9.40144155437167E-4
university |university |University,2014100602,8176,0,0.0
university |university |University,2014100915,1000,1,0.001
university |university |University,2014100603,9384,1,1.0656436487638534E-4
university |university |University,2014100912,2545,3,0.0011787819253438114
university |university |University,2014100608,13680,5,3.654970760233918E-4
university |university |University,2014100913,6771,4,5.907546891153448E-4
university |university |University,2014100609,13287,1,7.526153383005946E-5
university |university |University,2014100810,6053,11,0.0018172806872625144
university |university |University,2014100606,4334,1,2.3073373327180433E-4
university |university |University,2014100607,6194,3,4.8433968356474005E-4
university |university |University,2014100707,4802,0,0.0
university |university |University,2014100813,7061,2,2.83245999150262E-4
university |university |University,2014100708,5400,1,1.8518518518518518E-4
university |university |University,2014100814,6011,6,9.98170021627017E-4
university |university |University,2014100705,2740,0,0.0
university |university |University,2014100811,6604,7,0.0010599636583888553
university |university |University,2014100706,3398,0,0.0
university |university |University,2014100812,5896,4,6.784260515603799E-4
university |university |University,2014100817,6743,5,7.415097137772505E-4
university |university |University,2014100600,15771,2,1.268150402637753E-4
university |university |University,2014100703,5792,2,3.453038674033149E-4
university |university |University,2014100818,7400,9,0.0012162162162162162
university |university |University,2014100601,8669,0,0.0
university |university |University,2014100704,3010,0,0.0
university |university |University,2014100815,5628,2,3.5536602700781805E-4
