company |company |Company,2014100223,8580,3,3.4965034965034965E-4
company |company |Company,2014100222,12009,3,2.498126405196103E-4
company |company |Company,2014100221,14828,6,4.046398705152414E-4
company |company |Company,2014100220,15090,4,2.650762094102054E-4
company |company |Company,2014093023,7216,1,1.385809312638581E-4
company |company |Company,2014093020,2478,3,0.0012106537530266344
company |company |Company,2014093022,2524,3,0.0011885895404120444
company |company |Company,2014093021,2547,2,7.852375343541421E-4
company |company |Company,2014100321,9080,2,2.2026431718061675E-4
company |company |Company,2014100322,8671,12,0.0013839234229039326
company |company |Company,2014100320,9381,6,6.395906619763352E-4
company |company |Company,2014100323,6929,6,8.659258190215039E-4
company |company |Company,2014100123,8836,2,2.2634676324128565E-4
company |company |Company,2014100122,10378,4,3.854307188282906E-4
company |company |Company,2014100121,12311,5,4.061408496466575E-4
company |company |Company,2014100200,11724,8,6.82360968952576E-4
company |company |Company,2014100201,6861,3,4.3725404459991256E-4
company |company |Company,2014100309,9997,22,0.002200660198059418
company |company |Company,2014100307,6926,4,5.775339301183945E-4
company |company |Company,2014100204,8387,0,0.0
company |company |Company,2014100308,8532,9,0.0010548523206751054
company |company |Company,2014100205,14882,1,6.719526945303051E-5
company |company |Company,2014100305,3838,3,7.81657113079729E-4
company |company |Company,2014100202,5853,3,5.125576627370579E-4
company |company |Company,2014100306,5526,5,9.048136083966703E-4
company |company |Company,2014100203,5613,1,1.7815784785319794E-4
company |company |Company,2014100303,5043,2,3.96589331746976E-4
company |company |Company,2014100208,9640,8,8.298755186721991E-4
company |company |Company,2014100304,4725,6,0.0012698412698412698
company |company |Company,2014100209,12321,7,5.681357032708384E-4
company |company |Company,2014100301,4480,2,4.464285714285714E-4
company |company |Company,2014100206,9203,2,2.1732043898728675E-4
company |company |Company,2014100302,8095,2,2.470660901791229E-4
company |company |Company,2014100207,9445,3,3.1762837480148225E-4
company |company |Company,2014100300,6707,2,2.981959147159684E-4
company |company |Company,2014100106,45483,6,1.3191741969527076E-4
company |company |Company,2014100105,7742,1,1.291655902867476E-4
company |company |Company,2014100104,8731,1,1.1453441759248655E-4
company |company |Company,2014100103,1127,1,8.873114463176575E-4
company |company |Company,2014100102,2940,0,0.0
company |company |Company,2014100101,3598,1,2.7793218454697053E-4
company |company |Company,2014100100,1816,3,0.0016519823788546256
company |company |Company,2014100109,10999,11,0.0010000909173561233
company |company |Company,2014100108,14670,14,9.543285616905249E-4
company |company |Company,2014100107,32104,10,3.114876650884625E-4
company |company |Company,2014100210,10300,9,8.737864077669903E-4
company |company |Company,2014100211,11008,18,0.0016351744186046512
company |company |Company,2014100212,11567,5,4.3226419987896605E-4
company |company |Company,2014100316,10537,2,1.8980734554427256E-4
company |company |Company,2014100213,10976,9,8.199708454810496E-4
company |company |Company,2014100317,9832,9,9.153783563873067E-4
company |company |Company,2014100214,12210,15,0.0012285012285012285
company |company |Company,2014100318,9075,7,7.713498622589532E-4
company |company |Company,2014100215,11832,14,0.0011832319134550372
company |company |Company,2014100319,8645,5,5.78368999421631E-4
company |company |Company,2014100216,10725,10,9.324009324009324E-4
company |company |Company,2014100312,10661,8,7.503986492824313E-4
company |company |Company,2014100217,9835,11,0.0011184544992374173
company |company |Company,2014100313,9887,5,5.057145746940427E-4
company |company |Company,2014100218,9907,7,7.065711113354194E-4
company |company |Company,2014100314,9820,8,8.14663951120163E-4
company |company |Company,2014100219,11100,11,9.90990990990991E-4
company |company |Company,2014100420,8163,3,3.675119441381845E-4
company |company |Company,2014100315,10271,7,6.815305228312725E-4
company |company |Company,2014100120,12122,8,6.599571027883187E-4
company |company |Company,2014100421,8099,7,8.64304235090752E-4
company |company |Company,2014100422,8432,2,2.3719165085388995E-4
company |company |Company,2014100423,6306,3,4.757373929590866E-4
company |company |Company,2014100310,10343,10,9.668374746205163E-4
company |company |Company,2014100311,11400,4,3.508771929824561E-4
company |company |Company,2014100115,14152,10,7.066139061616733E-4
company |company |Company,2014100114,11535,9,7.802340702210664E-4
company |company |Company,2014100117,11365,13,0.0011438627364716233
company |company |Company,2014100116,10904,3,2.751283932501834E-4
company |company |Company,2014100111,9571,6,6.268937415108139E-4
