market |market |markets,2014100223,8580,7,8.158508158508159E-4
market |market |markets,2014100222,12009,4,3.330835206928137E-4
market |market |markets,2014100221,14828,10,6.74399784192069E-4
market |market |markets,2014100220,15090,11,7.289595758780649E-4
market |market |markets,2014093023,7216,4,5.543237250554324E-4
market |market |markets,2014093020,2478,4,0.0016142050040355124
market |market |markets,2014093022,2524,2,7.92393026941363E-4
market |market |markets,2014093021,2547,10,0.0039261876717707105
market |market |markets,2014100321,9080,9,9.911894273127754E-4
market |market |markets,2014100322,8671,4,4.613078076346442E-4
market |market |markets,2014100320,9381,4,4.263937746508901E-4
market |market |markets,2014100323,6929,5,7.216048491845865E-4
market |market |markets,2014100123,8836,7,7.922136713444998E-4
market |market |markets,2014100122,10378,6,5.781460782424359E-4
market |market |markets,2014100121,12311,12,9.747380391519779E-4
market |market |markets,2014100200,11724,2,1.70590242238144E-4
market |market |markets,2014100201,6861,7,0.001020259437399796
market |market |markets,2014100309,9997,24,0.0024007202160648195
market |market |markets,2014100307,6926,6,8.663008951775916E-4
market |market |markets,2014100204,8387,1,1.192321449862883E-4
market |market |markets,2014100308,8532,17,0.0019924988279418658
market |market |markets,2014100205,14882,1,6.719526945303051E-5
market |market |markets,2014100305,3838,2,5.211047420531526E-4
market |market |markets,2014100202,5853,1,1.7085255424568598E-4
market |market |markets,2014100306,5526,2,3.619254433586681E-4
market |market |markets,2014100203,5613,1,1.7815784785319794E-4
market |market |markets,2014100303,5043,2,3.96589331746976E-4
market |market |markets,2014100208,9640,13,0.0013485477178423236
market |market |markets,2014100304,4725,2,4.232804232804233E-4
market |market |markets,2014100209,12321,37,0.003003003003003003
market |market |markets,2014100301,4480,3,6.696428571428571E-4
market |market |markets,2014100206,9203,9,9.779419754427903E-4
market |market |markets,2014100302,8095,1,1.2353304508956145E-4
market |market |markets,2014100207,9445,13,0.0013763896241397566
market |market |markets,2014100300,6707,4,5.963918294319368E-4
market |market |markets,2014100106,45483,5,1.099311830793923E-4
market |market |markets,2014100105,7742,1,1.291655902867476E-4
market |market |markets,2014100104,8731,2,2.290688351849731E-4
market |market |markets,2014100103,1127,0,0.0
market |market |markets,2014100102,2940,2,6.802721088435374E-4
market |market |markets,2014100101,3598,1,2.7793218454697053E-4
market |market |markets,2014100100,1816,1,5.506607929515419E-4
market |market |markets,2014100109,10999,8,7.273388489862715E-4
market |market |markets,2014100108,14670,4,2.7266530334015E-4
market |market |markets,2014100107,32104,0,0.0
market |market |markets,2014100210,10300,22,0.0021359223300970874
market |market |markets,2014100211,11008,21,0.001907703488372093
market |market |markets,2014100212,11567,17,0.0014696982795884845
market |market |markets,2014100316,10537,7,6.64325709404954E-4
market |market |markets,2014100213,10976,19,0.0017310495626822158
market |market |markets,2014100317,9832,16,0.0016273393002441008
market |market |markets,2014100214,12210,12,9.828009828009828E-4
market |market |markets,2014100318,9075,12,0.001322314049586777
market |market |markets,2014100215,11832,16,0.001352265043948614
market |market |markets,2014100319,8645,6,6.940427993059572E-4
market |market |markets,2014100216,10725,16,0.0014918414918414918
market |market |markets,2014100312,10661,13,0.0012193978050839508
market |market |markets,2014100217,9835,14,0.0014234875444839859
market |market |markets,2014100313,9887,9,9.102862344492768E-4
market |market |markets,2014100218,9907,24,0.0024225295245785807
market |market |markets,2014100314,9820,14,0.0014256619144602852
market |market |markets,2014100219,11100,5,4.5045045045045046E-4
market |market |markets,2014100420,8163,6,7.35023888276369E-4
market |market |markets,2014100315,10271,12,0.0011683380391393243
market |market |markets,2014100120,12122,1,8.249463784853984E-5
market |market |markets,2014100421,8099,3,3.704161007531794E-4
market |market |markets,2014100422,8432,1,1.1859582542694497E-4
market |market |markets,2014100423,6306,7,0.0011100539169045353
market |market |markets,2014100310,10343,19,0.001836991201778981
market |market |markets,2014100311,11400,16,0.0014035087719298245
market |market |markets,2014100115,14152,19,0.0013425664217071793
market |market |markets,2014100114,11535,15,0.0013003901170351106
market |market |markets,2014100117,11365,17,0.0014958205015398152
market |market |markets,2014100116,10904,9,8.253851797505503E-4
market |market |markets,2014100111,9571,21,0.002194128095287849
market |market |markets,2014100110,9126,10,0.0010957703265395574
market |market |markets,2014100823,5727,4,6.984459577440195E-4
market |market |markets,2014100113,11543,10,8.663259118080221E-4
market |market |markets,2014100822,900,2,0.0022222222222222222
market |market |markets,2014100112,11651,22,0.001888249935627843
market |market |markets,2014100119,11403,9,7.892659826361484E-4
market |market |markets,2014100118,10294,11,0.0010685836409558966
market |market |markets,2014100604,4638,2,4.3122035360068997E-4
market |market |markets,2014100605,8675,2,2.3054755043227666E-4
market |market |markets,2014100700,5207,4,7.681966583445362E-4
market |market |markets,2014100914,3191,6,0.001880288310874334
market |market |markets,2014100602,8176,1,1.223091976516634E-4
market |market |markets,2014100915,1000,0,0.0
market |market |markets,2014100603,9384,2,2.1312872975277067E-4
market |market |markets,2014100912,2545,4,0.0015717092337917485
market |market |markets,2014100608,13680,7,5.116959064327486E-4
market |market |markets,2014100913,6771,4,5.907546891153448E-4
market |market |markets,2014100609,13287,3,2.2578460149017836E-4
market |market |markets,2014100810,6053,11,0.0018172806872625144
market |market |markets,2014100606,4334,0,0.0
market |market |markets,2014100607,6194,5,8.072328059412334E-4
market |market |markets,2014100707,4802,5,0.0010412328196584756
market |market |markets,2014100813,7061,15,0.0021243449936269652
market |market |markets,2014100708,5400,15,0.002777777777777778
market |market |markets,2014100814,6011,17,0.002828148394609882
market |market |markets,2014100705,2740,1,3.64963503649635E-4
market |market |markets,2014100811,6604,14,0.0021199273167777106
market |market |markets,2014100706,3398,0,0.0
market |market |markets,2014100812,5896,9,0.0015264586160108548
market |market |markets,2014100817,6743,10,0.001483019427554501
market |market |markets,2014100600,15771,8,5.072601610551012E-4
market |market |markets,2014100703,5792,0,0.0
market |market |markets,2014100818,7400,11,0.0014864864864864865
market |market |markets,2014100601,8669,2,2.3070711731456916E-4
market |market |markets,2014100704,3010,1,3.322259136212625E-4
market |market |markets,2014100815,5628,7,0.0012437810945273632
market |market |markets,2014100701,13455,1,7.432181345224824E-5
market |market |markets,2014100816,7857,12,0.0015273004963726614
market |market |markets,2014100702,8524,2,2.346316283435007E-4
market |market |markets,2014100509,9287,10,0.001076773985140519
market |market |markets,2014100508,6498,7,0.0010772545398584179
market |market |markets,2014100819,4300,7,0.0016279069767441861
market |market |markets,2014100507,16911,1,5.913310862752055E-5
market |market |markets,2014100403,6749,4,5.92680397095866E-4
market |market |markets,2014100506,11836,3,2.5346400811084827E-4
market |market |markets,2014100402,6613,3,4.536518977771057E-4
market |market |markets,2014100505,6487,0,0.0
market |market |markets,2014100401,4570,1,2.188183807439825E-4
market |market |markets,2014100504,3861,1,2.59000259000259E-4
market |market |markets,2014100400,5285,2,3.784295175023652E-4
market |market |markets,2014100503,4540,3,6.607929515418502E-4
market |market |markets,2014100709,5572,12,0.0021536252692031586
market |market |markets,2014100407,7111,11,0.001546899170299536
market |market |markets,2014100406,10763,5,4.6455449224193997E-4
market |market |markets,2014100501,6148,0,0.0
market |market |markets,2014100405,10366,2,1.9293845263360988E-4
market |market |markets,2014100500,11540,3,2.5996533795493934E-4
market |market |markets,2014100404,3086,0,0.0
market |market |markets,2014100409,9932,24,0.0024164317358034634
market |market |markets,2014100408,10458,21,0.002008032128514056
market |market |markets,2014100903,4141,2,4.829751267809708E-4
market |market |markets,2014100613,12260,9,7.34094616639478E-4
market |market |markets,2014100904,4854,1,2.0601565718994644E-4
market |market |markets,2014100614,10247,7,6.831267688103836E-4
market |market |markets,2014100905,7777,0,0.0
market |market |markets,2014100615,8801,12,0.0013634814225656176
market |market |markets,2014100710,7431,6,8.074283407347598E-4
market |market |markets,2014100906,3505,2,5.706134094151213E-4
market |market |markets,2014100616,10833,9,8.307947936859596E-4
market |market |markets,2014100711,13474,12,8.90604126465786E-4
market |market |markets,2014100617,11523,11,9.546125141022303E-4
market |market |markets,2014100900,3864,3,7.763975155279503E-4
market |market |markets,2014100618,10834,10,9.230201218386561E-4
market |market |markets,2014100901,3052,2,6.55307994757536E-4
market |market |markets,2014100619,10472,6,5.729564553093965E-4
market |market |markets,2014100902,4916,3,6.102522375915378E-4
market |market |markets,2014100716,9756,11,0.001127511275112751
market |market |markets,2014100800,3418,4,0.0011702750146284377
market |market |markets,2014100717,12018,7,5.82459643867532E-4
market |market |markets,2014100801,4912,3,6.107491856677524E-4
market |market |markets,2014100718,9824,8,8.143322475570033E-4
market |market |markets,2014100802,4582,3,6.547359231776517E-4
market |market |markets,2014100719,8904,13,0.0014600179694519318
market |market |markets,2014100803,4750,1,2.105263157894737E-4
market |market |markets,2014100712,10146,22,0.0021683422038241674
market |market |markets,2014100804,8238,0,0.0
market |market |markets,2014100610,8565,13,0.0015178050204319906
market |market |markets,2014100713,7382,15,0.002031969655919805
market |market |markets,2014100805,6904,2,2.8968713789107763E-4
market |market |markets,2014100611,8676,13,0.0014983863531581375
market |market |markets,2014100714,9294,14,0.001506348181622552
market |market |markets,2014100806,7696,0,0.0
market |market |markets,2014100612,7761,8,0.001030795000644247
market |market |markets,2014100715,8494,9,0.0010595714622086178
market |market |markets,2014100807,6298,3,4.76341695776437E-4
market |market |markets,2014100519,13547,11,8.119878939986713E-4
market |market |markets,2014100809,5933,11,0.001854036743637283
market |market |markets,2014100518,12589,9,7.149098419254905E-4
market |market |markets,2014100808,7916,9,0.0011369378473976757
market |market |markets,2014100410,8297,19,0.0022899843316861518
