man |man,2014100223,8580,22,0.002564102564102564
man |man,2014100222,12009,85,0.007078024814722292
man |man,2014100221,14828,151,0.010183436741300242
man |man,2014100220,15090,88,0.005831676607024519
man |man,2014093023,7216,47,0.006513303769401331
man |man,2014093020,2478,6,0.002421307506053269
man |man,2014093022,2524,17,0.006735340729001585
man |man,2014093021,2547,15,0.005889281507656066
man |man,2014100321,9080,36,0.003964757709251102
man |man,2014100322,8671,41,0.004728405028255103
man |man,2014100320,9381,50,0.005329922183136126
man |man,2014100323,6929,30,0.004329629095107519
man |man,2014100123,8836,31,0.0035083748302399275
man |man,2014100122,10378,40,0.003854307188282906
man |man,2014100121,12311,53,0.004305093006254569
man |man,2014100200,11724,25,0.0021323780279767996
man |man,2014100201,6861,17,0.0024777729193995045
man |man,2014100309,9997,53,0.005301590477143143
man |man,2014100307,6926,31,0.004475887958417557
man |man,2014100204,8387,7,8.346250149040181E-4
man |man,2014100308,8532,35,0.004102203469292077
man |man,2014100205,14882,20,0.0013439053890606102
man |man,2014100305,3838,12,0.003126628452318916
man |man,2014100202,5853,10,0.0017085255424568598
man |man,2014100306,5526,21,0.003800217155266015
man |man,2014100203,5613,15,0.002672367717797969
man |man,2014100303,5043,14,0.002776125322228832
man |man,2014100208,9640,24,0.0024896265560165973
man |man,2014100304,4725,12,0.0025396825396825397
man |man,2014100209,12321,30,0.0024348672997321647
man |man,2014100301,4480,20,0.004464285714285714
man |man,2014100206,9203,33,0.0035857872432902313
man |man,2014100302,8095,17,0.002100061766522545
man |man,2014100207,9445,31,0.00328215987294865
man |man,2014100300,6707,15,0.0022364693603697627
man |man,2014100106,45483,122,0.002682320867137172
man |man,2014100105,7742,18,0.002324980625161457
man |man,2014100104,8731,8,9.162753407398924E-4
man |man,2014100103,1127,1,8.873114463176575E-4
man |man,2014100102,2940,2,6.802721088435374E-4
man |man,2014100101,3598,25,0.006948304613674263
man |man,2014100100,1816,6,0.003303964757709251
man |man,2014100109,10999,39,0.0035457768888080736
man |man,2014100108,14670,38,0.002590320381731425
man |man,2014100107,32104,52,0.001619735858460005
man |man,2014100210,10300,46,0.004466019417475728
man |man,2014100211,11008,60,0.005450581395348837
man |man,2014100212,11567,74,0.006397510158208697
man |man,2014100316,10537,49,0.004650279965834678
man |man,2014100213,10976,82,0.007470845481049562
man |man,2014100317,9832,40,0.0040683482506102524
man |man,2014100214,12210,49,0.0040131040131040135
man |man,2014100318,9075,40,0.004407713498622589
man |man,2014100215,11832,27,0.002281947261663286
man |man,2014100319,8645,44,0.005089647194910353
man |man,2014100216,10725,41,0.003822843822843823
man |man,2014100312,10661,40,0.0037519932464121566
man |man,2014100217,9835,57,0.005795627859684799
man |man,2014100313,9887,50,0.005057145746940427
man |man,2014100218,9907,52,0.0052488139699202584
man |man,2014100314,9820,38,0.003869653767820774
man |man,2014100219,11100,47,0.004234234234234234
man |man,2014100420,8163,35,0.004287639348278819
man |man,2014100315,10271,55,0.00535488267938857
man |man,2014100120,12122,51,0.004207226530275532
man |man,2014100421,8099,28,0.003457216940363008
man |man,2014100422,8432,27,0.003202087286527514
man |man,2014100423,6306,24,0.003805899143672693
man |man,2014100310,10343,78,0.007541332302040027
man |man,2014100311,11400,51,0.0044736842105263155
man |man,2014100115,14152,52,0.003674392312040701
man |man,2014100114,11535,61,0.005288253142609449
man |man,2014100117,11365,50,0.004399472063352398
man |man,2014100116,10904,29,0.0026595744680851063
man |man,2014100111,9571,19,0.001985163514784244
man |man,2014100110,9126,29,0.003177733946964716
man |man,2014100823,5727,20,0.003492229788720098
man |man,2014100113,11543,50,0.004331629559040111
man |man,2014100822,900,4,0.0044444444444444444
man |man,2014100112,11651,60,0.0051497725517122995
man |man,2014100119,11403,49,0.004297114794352364
man |man,2014100118,10294,41,0.003982902661744706
man |man,2014100604,4638,11,0.0023717119448037945
man |man,2014100605,8675,14,0.0016138328530259365
man |man,2014100700,5207,69,0.013251392356443249
man |man,2014100914,3191,12,0.003760576621748668
man |man,2014100602,8176,17,0.0020792563600782778
man |man,2014100915,1000,5,0.005
man |man,2014100603,9384,11,0.0011722080136402388
man |man,2014100912,2545,11,0.004322200392927309
man |man,2014100608,13680,33,0.002412280701754386
man |man,2014100913,6771,35,0.005169103529759267
man |man,2014100609,13287,29,0.002182584481071724
man |man,2014100810,6053,32,0.00528663472658186
man |man,2014100606,4334,10,0.0023073373327180432
man |man,2014100607,6194,13,0.002098805295447207
man |man,2014100707,4802,40,0.008329862557267805
man |man,2014100813,7061,25,0.003540574989378275
man |man,2014100708,5400,41,0.007592592592592593
man |man,2014100814,6011,25,0.004159041756779238
man |man,2014100705,2740,32,0.01167883211678832
man |man,2014100811,6604,17,0.00257419745608722
