child |child |children |Children,2014100223,8580,10,0.0011655011655011655
child |child |children |Children,2014100222,12009,38,0.0031642934465817302
child |child |children |Children,2014100221,14828,22,0.001483679525222552
child |child |children |Children,2014100220,15090,28,0.0018555334658714381
child |child |children |Children,2014093023,7216,6,8.314855875831486E-4
child |child |children |Children,2014093020,2478,5,0.0020177562550443904
child |child |children |Children,2014093022,2524,1,3.961965134706815E-4
child |child |children |Children,2014093021,2547,1,3.9261876717707107E-4
child |child |children |Children,2014100321,9080,43,0.00473568281938326
child |child |children |Children,2014100322,8671,45,0.005189712835889747
child |child |children |Children,2014100320,9381,45,0.004796929964822514
child |child |children |Children,2014100323,6929,19,0.002742098426901429
child |child |children |Children,2014100123,8836,11,0.001244907197827071
child |child |children |Children,2014100122,10378,14,0.0013490075158990172
child |child |children |Children,2014100121,12311,25,0.002030704248233287
child |child |children |Children,2014100200,11724,7,5.97065847833504E-4
child |child |children |Children,2014100201,6861,4,5.830053927998834E-4
child |child |children |Children,2014100309,9997,166,0.016604981494448334
child |child |children |Children,2014100307,6926,34,0.004909038406006353
child |child |children |Children,2014100204,8387,4,4.769285799451532E-4
child |child |children |Children,2014100308,8532,57,0.006680731364275668
child |child |children |Children,2014100205,14882,2,1.3439053890606102E-4
child |child |children |Children,2014100305,3838,0,0.0
child |child |children |Children,2014100202,5853,2,3.4170510849137196E-4
child |child |children |Children,2014100306,5526,9,0.0016286644951140066
child |child |children |Children,2014100203,5613,0,0.0
child |child |children |Children,2014100303,5043,3,5.94883997620464E-4
child |child |children |Children,2014100208,9640,14,0.0014522821576763486
child |child |children |Children,2014100304,4725,6,0.0012698412698412698
child |child |children |Children,2014100209,12321,19,0.0015420826231637042
child |child |children |Children,2014100301,4480,7,0.0015625
child |child |children |Children,2014100206,9203,6,6.519613169618602E-4
child |child |children |Children,2014100302,8095,4,4.941321803582458E-4
child |child |children |Children,2014100207,9445,11,0.0011646373742721016
child |child |children |Children,2014100300,6707,26,0.003876546891307589
child |child |children |Children,2014100106,45483,6,1.3191741969527076E-4
child |child |children |Children,2014100105,7742,1,1.291655902867476E-4
child |child |children |Children,2014100104,8731,2,2.290688351849731E-4
child |child |children |Children,2014100103,1127,0,0.0
child |child |children |Children,2014100102,2940,4,0.0013605442176870747
child |child |children |Children,2014100101,3598,5,0.0013896609227348527
child |child |children |Children,2014100100,1816,3,0.0016519823788546256
child |child |children |Children,2014100109,10999,19,0.0017274297663423949
child |child |children |Children,2014100108,14670,31,0.0021131561008861624
child |child |children |Children,2014100107,32104,10,3.114876650884625E-4
child |child |children |Children,2014100210,10300,27,0.002621359223300971
child |child |children |Children,2014100211,11008,37,0.003361191860465116
child |child |children |Children,2014100212,11567,28,0.0024206795193222096
child |child |children |Children,2014100316,10537,44,0.004175761601973997
child |child |children |Children,2014100213,10976,26,0.0023688046647230322
child |child |children |Children,2014100317,9832,93,0.009458909682668836
child |child |children |Children,2014100214,12210,29,0.002375102375102375
child |child |children |Children,2014100318,9075,63,0.006942148760330578
child |child |children |Children,2014100215,11832,14,0.0011832319134550372
child |child |children |Children,2014100319,8645,67,0.0077501445922498555
child |child |children |Children,2014100216,10725,23,0.0021445221445221445
child |child |children |Children,2014100312,10661,104,0.009755182440671606
child |child |children |Children,2014100217,9835,20,0.0020335536349771225
child |child |children |Children,2014100313,9887,96,0.00970971983412562
child |child |children |Children,2014100218,9907,16,0.001615019683052387
child |child |children |Children,2014100314,9820,46,0.004684317718940937
child |child |children |Children,2014100219,11100,21,0.0018918918918918919
child |child |children |Children,2014100420,8163,31,0.0037976234227612396
child |child |children |Children,2014100315,10271,42,0.004089183136987635
child |child |children |Children,2014100120,12122,42,0.0034647747896386734
child |child |children |Children,2014100421,8099,11,0.0013581923694283246
child |child |children |Children,2014100422,8432,16,0.0018975332068311196
child |child |children |Children,2014100423,6306,9,0.0014272121788772598
child |child |children |Children,2014100310,10343,78,0.007541332302040027
child |child |children |Children,2014100311,11400,74,0.006491228070175438
child |child |children |Children,2014100115,14152,40,0.002826455624646693
child |child |children |Children,2014100114,11535,14,0.0012136974425661032
child |child |children |Children,2014100117,11365,21,0.001847778266608007
child |child |children |Children,2014100116,10904,26,0.002384446074834923
child |child |children |Children,2014100111,9571,53,0.005537561383345523
child |child |children |Children,2014100110,9126,44,0.004821389436774052
child |child |children |Children,2014100823,5727,5,8.730574471800245E-4
child |child |children |Children,2014100113,11543,23,0.001992549597158451
child |child |children |Children,2014100822,900,1,0.0011111111111111111
child |child |children |Children,2014100112,11651,28,0.002403227190799073
child |child |children |Children,2014100119,11403,26,0.00228010172761554
child |child |children |Children,2014100118,10294,10,9.714396735962696E-4
child |child |children |Children,2014100604,4638,1,2.1561017680034498E-4
child |child |children |Children,2014100605,8675,3,3.45821325648415E-4
child |child |children |Children,2014100700,5207,11,0.0021125408104474747
child |child |children |Children,2014100914,3191,2,6.267627702914447E-4
child |child |children |Children,2014100602,8176,9,0.0011007827788649706
child |child |children |Children,2014100915,1000,0,0.0
child |child |children |Children,2014100603,9384,2,2.1312872975277067E-4
child |child |children |Children,2014100912,2545,4,0.0015717092337917485
child |child |children |Children,2014100608,13680,17,0.0012426900584795323
