attack |attack |attacks,2014100223,8580,9,0.001048951048951049
attack |attack |attacks,2014100222,12009,5,4.1635440086601716E-4
attack |attack |attacks,2014100221,14828,12,8.092797410304828E-4
attack |attack |attacks,2014100220,15090,15,9.940357852882703E-4
attack |attack |attacks,2014093023,7216,0,0.0
attack |attack |attacks,2014093020,2478,3,0.0012106537530266344
attack |attack |attacks,2014093022,2524,3,0.0011885895404120444
attack |attack |attacks,2014093021,2547,2,7.852375343541421E-4
attack |attack |attacks,2014100321,9080,12,0.0013215859030837004
attack |attack |attacks,2014100322,8671,11,0.0012685964709952715
attack |attack |attacks,2014100320,9381,15,0.0015989766549408379
attack |attack |attacks,2014100323,6929,2,2.886419396738346E-4
attack |attack |attacks,2014100123,8836,5,5.658669081032141E-4
attack |attack |attacks,2014100122,10378,11,0.001059934476777799
attack |attack |attacks,2014100121,12311,27,0.00219316058809195
attack |attack |attacks,2014100200,11724,4,3.41180484476288E-4
attack |attack |attacks,2014100201,6861,4,5.830053927998834E-4
attack |attack |attacks,2014100309,9997,6,6.001800540162049E-4
attack |attack |attacks,2014100307,6926,8,0.001155067860236789
attack |attack |attacks,2014100204,8387,5,5.961607249314415E-4
attack |attack |attacks,2014100308,8532,3,3.5161744022503517E-4
attack |attack |attacks,2014100205,14882,2,1.3439053890606102E-4
attack |attack |attacks,2014100305,3838,0,0.0
attack |attack |attacks,2014100202,5853,1,1.7085255424568598E-4
attack |attack |attacks,2014100306,5526,4,7.238508867173362E-4
attack |attack |attacks,2014100203,5613,2,3.563156957063959E-4
attack |attack |attacks,2014100303,5043,1,1.98294665873488E-4
attack |attack |attacks,2014100208,9640,7,7.261410788381743E-4
attack |attack |attacks,2014100304,4725,2,4.232804232804233E-4
attack |attack |attacks,2014100209,12321,13,0.0010551091632172713
attack |attack |attacks,2014100301,4480,2,4.464285714285714E-4
attack |attack |attacks,2014100206,9203,4,4.346408779745735E-4
attack |attack |attacks,2014100302,8095,1,1.2353304508956145E-4
attack |attack |attacks,2014100207,9445,16,0.0016940179989412387
attack |attack |attacks,2014100300,6707,5,7.45489786789921E-4
attack |attack |attacks,2014100106,45483,1,2.198623661587846E-5
attack |attack |attacks,2014100105,7742,1,1.291655902867476E-4
attack |attack |attacks,2014100104,8731,0,0.0
attack |attack |attacks,2014100103,1127,0,0.0
attack |attack |attacks,2014100102,2940,1,3.401360544217687E-4
attack |attack |attacks,2014100101,3598,0,0.0
attack |attack |attacks,2014100100,1816,3,0.0016519823788546256
attack |attack |attacks,2014100109,10999,16,0.001454677697972543
attack |attack |attacks,2014100108,14670,6,4.0899795501022495E-4
attack |attack |attacks,2014100107,32104,5,1.5574383254423124E-4
attack |attack |attacks,2014100210,10300,13,0.001262135922330097
attack |attack |attacks,2014100211,11008,23,0.0020893895348837207
attack |attack |attacks,2014100212,11567,14,0.0012103397596611048
attack |attack |attacks,2014100316,10537,8,7.592293821770903E-4
attack |attack |attacks,2014100213,10976,22,0.0020043731778425656
attack |attack |attacks,2014100317,9832,3,3.051261187957689E-4
attack |attack |attacks,2014100214,12210,8,6.552006552006552E-4
attack |attack |attacks,2014100318,9075,6,6.611570247933885E-4
attack |attack |attacks,2014100215,11832,5,4.2258282623394185E-4
attack |attack |attacks,2014100319,8645,5,5.78368999421631E-4
attack |attack |attacks,2014100216,10725,30,0.002797202797202797
attack |attack |attacks,2014100312,10661,27,0.0025325954413282056
attack |attack |attacks,2014100217,9835,27,0.0027452974072191155
attack |attack |attacks,2014100313,9887,16,0.0016182866390209367
attack |attack |attacks,2014100218,9907,14,0.0014131422226708388
attack |attack |attacks,2014100314,9820,11,0.001120162932790224
attack |attack |attacks,2014100219,11100,10,9.009009009009009E-4
attack |attack |attacks,2014100420,8163,4,4.900159255175794E-4
attack |attack |attacks,2014100315,10271,5,4.868075163080518E-4
attack |attack |attacks,2014100120,12122,8,6.599571027883187E-4
attack |attack |attacks,2014100421,8099,4,4.938881343375726E-4
attack |attack |attacks,2014100422,8432,5,5.929791271347248E-4
attack |attack |attacks,2014100423,6306,1,1.585791309863622E-4
attack |attack |attacks,2014100310,10343,8,7.73469979696413E-4
attack |attack |attacks,2014100311,11400,9,7.894736842105263E-4
attack |attack |attacks,2014100115,14152,15,0.0010599208592425098
attack |attack |attacks,2014100114,11535,5,4.3346337234503684E-4
attack |attack |attacks,2014100117,11365,25,0.002199736031676199
attack |attack |attacks,2014100116,10904,22,0.0020176082171680116
attack |attack |attacks,2014100111,9571,7,7.313760317626162E-4
attack |attack |attacks,2014100110,9126,11,0.001205347359193513
attack |attack |attacks,2014100823,5727,2,3.4922297887200976E-4
attack |attack |attacks,2014100113,11543,7,6.064281382656155E-4
attack |attack |attacks,2014100822,900,0,0.0
attack |attack |attacks,2014100112,11651,8,6.866363402283066E-4
attack |attack |attacks,2014100119,11403,9,7.892659826361484E-4
attack |attack |attacks,2014100118,10294,12,0.0011657276083155237
attack |attack |attacks,2014100604,4638,0,0.0
attack |attack |attacks,2014100605,8675,0,0.0
attack |attack |attacks,2014100700,5207,4,7.681966583445362E-4
attack |attack |attacks,2014100914,3191,1,3.1338138514572234E-4
attack |attack |attacks,2014100602,8176,3,3.669275929549902E-4
attack |attack |attacks,2014100915,1000,0,0.0
attack |attack |attacks,2014100603,9384,2,2.1312872975277067E-4
attack |attack |attacks,2014100912,2545,2,7.858546168958742E-4
attack |attack |attacks,2014100608,13680,2,1.4619883040935673E-4
