year |years,2014100223,8580,130,0.015151515151515152
year |years,2014100222,12009,230,0.019152302439836788
year |years,2014100221,14828,245,0.016522794712705693
year |years,2014100220,15090,222,0.014711729622266401
year |years,2014093023,7216,59,0.008176274944567628
year |years,2014093020,2478,30,0.012106537530266344
year |years,2014093022,2524,30,0.011885895404120444
year |years,2014093021,2547,23,0.009030231645072634
year |years,2014100321,9080,192,0.021145374449339206
year |years,2014100322,8671,156,0.017991004497751123
year |years,2014100320,9381,226,0.02409124826777529
year |years,2014100323,6929,90,0.012988887285322557
year |years,2014100123,8836,106,0.01199637845178814
year |years,2014100122,10378,125,0.012044709963384082
year |years,2014100121,12311,146,0.011859312809682398
year |years,2014100200,11724,76,0.006482429205049471
year |years,2014100201,6861,43,0.006267307972598747
year |years,2014100309,9997,190,0.019005701710513155
year |years,2014100307,6926,87,0.01256136298007508
year |years,2014100204,8387,2463,0.2936687731012281
year |years,2014100308,8532,90,0.010548523206751054
year |years,2014100205,14882,408,0.027415669936836445
year |years,2014100305,3838,33,0.008598228243877019
year |years,2014100202,5853,32,0.005467281735861951
year |years,2014100306,5526,22,0.003981179876945349
year |years,2014100203,5613,19,0.0033849991092107607
year |years,2014100303,5043,67,0.013285742613523697
year |years,2014100208,9640,82,0.00850622406639004
year |years,2014100304,4725,20,0.004232804232804233
year |years,2014100209,12321,139,0.011281551822092362
year |years,2014100301,4480,45,0.010044642857142858
year |years,2014100206,9203,48,0.005215690535694882
year |years,2014100302,8095,41,0.0050648548486720195
year |years,2014100207,9445,69,0.007305452620434092
year |years,2014100300,6707,158,0.023557477262561504
year |years,2014100106,45483,46,0.0010113668843304091
year |years,2014100105,7742,8,0.0010333247222939809
year |years,2014100104,8731,15,0.001718016263887298
year |years,2014100103,1127,0,0.0
year |years,2014100102,2940,5,0.0017006802721088435
year |years,2014100101,3598,30,0.008337965536409116
year |years,2014100100,1816,17,0.009361233480176211
year |years,2014100109,10999,84,0.007637057914355851
year |years,2014100108,14670,70,0.004771642808452625
year |years,2014100107,32104,69,0.0021492648891103913
year |years,2014100210,10300,163,0.0158252427184466
year |years,2014100211,11008,119,0.01081031976744186
year |years,2014100212,11567,161,0.013918907236102706
year |years,2014100316,10537,115,0.010913922368795672
year |years,2014100213,10976,302,0.027514577259475217
year |years,2014100317,9832,122,0.01240846216436127
year |years,2014100214,12210,165,0.013513513513513514
year |years,2014100318,9075,104,0.011460055096418733
year |years,2014100215,11832,334,0.028228532792427315
year |years,2014100319,8645,86,0.009947946790052052
year |years,2014100216,10725,147,0.013706293706293707
year |years,2014100312,10661,173,0.016227370790732578
year |years,2014100217,9835,161,0.016370106761565837
year |years,2014100313,9887,119,0.012036006877718216
year |years,2014100218,9907,112,0.01130513778136671
year |years,2014100314,9820,106,0.010794297352342158
year |years,2014100219,11100,150,0.013513513513513514
year |years,2014100420,8163,94,0.011515374249663113
year |years,2014100315,10271,112,0.01090448836530036
year |years,2014100120,12122,120,0.009899356541824781
year |years,2014100421,8099,88,0.010865538955426596
year |years,2014100422,8432,88,0.010436432637571158
year |years,2014100423,6306,52,0.008246114811290834
year |years,2014100310,10343,145,0.014019143381997487
year |years,2014100311,11400,130,0.011403508771929825
year |years,2014100115,14152,111,0.007843414358394573
year |years,2014100114,11535,90,0.007802340702210663
year |years,2014100117,11365,128,0.011262648482182138
year |years,2014100116,10904,106,0.009721203228173148
year |years,2014100111,9571,159,0.01661268415003657
year |years,2014100110,9126,65,0.007122507122507123
year |years,2014100823,5727,82,0.0143181421337524
year |years,2014100113,11543,121,0.010482543532877068
year |years,2014100822,900,10,0.011111111111111112
year |years,2014100112,11651,137,0.01175864732640975
year |years,2014100119,11403,105,0.009208103130755065
year |years,2014100118,10294,111,0.010782980376918593
year |years,2014100604,4638,12,0.00258732212160414
year |years,2014100605,8675,10,0.0011527377521613833
year |years,2014100700,5207,24,0.004609179950067217
year |years,2014100914,3191,48,0.015042306486994672
year |years,2014100602,8176,24,0.0029354207436399216
year |years,2014100915,1000,16,0.016
year |years,2014100603,9384,10,0.0010656436487638534
year |years,2014100912,2545,20,0.007858546168958742
year |years,2014100608,13680,74,0.005409356725146199
year |years,2014100913,6771,71,0.010485895731797371
year |years,2014100609,13287,74,0.005569353503424399
year |years,2014100810,6053,135,0.022302990252767222
year |years,2014100606,4334,17,0.003922473465620674
year |years,2014100607,6194,32,0.005166289958023894
year |years,2014100707,4802,42,0.008746355685131196
year |years,2014100813,7061,133,0.018835858943492424
year |years,2014100708,5400,46,0.008518518518518519
year |years,2014100814,6011,100,0.01663616702711695
year |years,2014100705,2740,6,0.0021897810218978104
year |years,2014100811,6604,121,0.018322228952150212
year |years,2014100706,3398,10,0.002942907592701589
year |years,2014100812,5896,83,0.014077340569877883
year |years,2014100817,6743,100,0.01483019427554501
year |years,2014100600,15771,48,0.003043560966330607
year |years,2014100703,5792,10,0.0017265193370165745
year |years,2014100818,7400,80,0.010810810810810811
year |years,2014100601,8669,41,0.0047294959049486674
year |years,2014100704,3010,12,0.003986710963455149
year |years,2014100815,5628,98,0.017412935323383085
year |years,2014100701,13455,10,7.432181345224824E-4
year |years,2014100816,7857,122,0.01552755504645539
year |years,2014100702,8524,9,0.001055842327545753
year |years,2014100509,9287,31,0.003337999353935609
year |years,2014100508,6498,39,0.006001846722068329
year |years,2014100819,4300,42,0.009767441860465116
year |years,2014100507,16911,15,8.869966294128083E-4
year |years,2014100403,6749,14,0.002074381389835531
year |years,2014100506,11836,18,0.0015207840486650896
year |years,2014100402,6613,23,0.00347799788295781
year |years,2014100505,6487,10,0.0015415446277169723
year |years,2014100401,4570,41,0.008971553610503282
year |years,2014100504,3861,14,0.003626003626003626
year |years,2014100400,5285,58,0.01097445600756859
year |years,2014100503,4540,14,0.0030837004405286344
year |years,2014100709,5572,73,0.01310122038765255
year |years,2014100407,7111,37,0.005203206300098439
year |years,2014100406,10763,24,0.002229861562761312
year |years,2014100501,6148,36,0.005855562784645413
year |years,2014100405,10366,18,0.001736446073702489
year |years,2014100500,11540,49,0.004246100519930676
year |years,2014100404,3086,15,0.004860661049902786
year |years,2014100409,9932,74,0.007450664518727346
year |years,2014100408,10458,45,0.004302925989672977
year |years,2014100903,4141,63,0.01521371649360058
year |years,2014100613,12260,88,0.007177814029363785
