boy |Boys |boys |boy,2014100223,8580,112,0.013053613053613054
boy |Boys |boys |boy,2014100222,12009,109,0.009076525938879174
boy |Boys |boys |boy,2014100221,14828,152,0.01025087671971945
boy |Boys |boys |boy,2014100220,15090,180,0.011928429423459244
boy |Boys |boys |boy,2014093023,7216,48,0.0066518847006651885
boy |Boys |boys |boy,2014093020,2478,17,0.006860371267150928
boy |Boys |boys |boy,2014093022,2524,17,0.006735340729001585
boy |Boys |boys |boy,2014093021,2547,11,0.0043188064389477815
boy |Boys |boys |boy,2014100321,9080,56,0.006167400881057269
boy |Boys |boys |boy,2014100322,8671,55,0.006342982354976358
boy |Boys |boys |boy,2014100320,9381,77,0.008208080162029634
boy |Boys |boys |boy,2014100323,6929,48,0.006927406552172031
boy |Boys |boys |boy,2014100123,8836,46,0.00520597555454957
boy |Boys |boys |boy,2014100122,10378,73,0.007034110618616304
boy |Boys |boys |boy,2014100121,12311,50,0.004061408496466574
boy |Boys |boys |boy,2014100200,11724,59,0.0050324121460252474
boy |Boys |boys |boy,2014100201,6861,51,0.007433318758198513
boy |Boys |boys |boy,2014100309,9997,30,0.0030009002700810243
boy |Boys |boys |boy,2014100307,6926,29,0.00418712099335836
boy |Boys |boys |boy,2014100204,8387,2480,0.295695719565995
boy |Boys |boys |boy,2014100308,8532,36,0.004219409282700422
boy |Boys |boys |boy,2014100205,14882,426,0.028625184786990995
boy |Boys |boys |boy,2014100305,3838,47,0.012245961438249088
boy |Boys |boys |boy,2014100202,5853,45,0.007688364941055869
boy |Boys |boys |boy,2014100306,5526,74,0.013391241404270721
boy |Boys |boys |boy,2014100203,5613,40,0.007126313914127917
boy |Boys |boys |boy,2014100303,5043,60,0.01189767995240928
boy |Boys |boys |boy,2014100208,9640,41,0.00425311203319502
boy |Boys |boys |boy,2014100304,4725,73,0.01544973544973545
boy |Boys |boys |boy,2014100209,12321,56,0.004545085626166707
boy |Boys |boys |boy,2014100301,4480,41,0.009151785714285715
boy |Boys |boys |boy,2014100206,9203,54,0.005867651852656743
boy |Boys |boys |boy,2014100302,8095,58,0.007164916615194565
boy |Boys |boys |boy,2014100207,9445,35,0.0037056643726839597
boy |Boys |boys |boy,2014100300,6707,93,0.01386611003429253
boy |Boys |boys |boy,2014100106,45483,306,0.006727788404458809
boy |Boys |boys |boy,2014100105,7742,106,0.013691552570395246
boy |Boys |boys |boy,2014100104,8731,142,0.01626388729813309
boy |Boys |boys |boy,2014100103,1127,3,0.0026619343389529724
boy |Boys |boys |boy,2014100102,2940,33,0.011224489795918367
boy |Boys |boys |boy,2014100101,3598,55,0.015286270150083379
boy |Boys |boys |boy,2014100100,1816,24,0.013215859030837005
boy |Boys |boys |boy,2014100109,10999,78,0.007091553777616147
boy |Boys |boys |boy,2014100108,14670,78,0.005316973415132925
boy |Boys |boys |boy,2014100107,32104,191,0.005949414403189634
boy |Boys |boys |boy,2014100210,10300,68,0.006601941747572815
boy |Boys |boys |boy,2014100211,11008,69,0.006268168604651163
boy |Boys |boys |boy,2014100212,11567,83,0.007175585717990836
boy |Boys |boys |boy,2014100316,10537,122,0.011578248078200626
boy |Boys |boys |boy,2014100213,10976,82,0.007470845481049562
boy |Boys |boys |boy,2014100317,9832,70,0.007119609438567941
boy |Boys |boys |boy,2014100214,12210,570,0.04668304668304668
boy |Boys |boys |boy,2014100318,9075,71,0.007823691460055097
