car |car |cars,2014100223,8580,35,0.004079254079254079
car |car |cars,2014100222,12009,66,0.005495878091431427
car |car |cars,2014100221,14828,96,0.006474237928243863
car |car |cars,2014100220,15090,35,0.0023194168323392977
car |car |cars,2014093023,7216,13,0.0018015521064301552
car |car |cars,2014093020,2478,5,0.0020177562550443904
car |car |cars,2014093022,2524,7,0.0027733755942947703
car |car |cars,2014093021,2547,3,0.001177856301531213
car |car |cars,2014100321,9080,67,0.0073788546255506605
car |car |cars,2014100322,8671,51,0.0058816745473417135
car |car |cars,2014100320,9381,73,0.007781686387378744
car |car |cars,2014100323,6929,41,0.005917159763313609
car |car |cars,2014100123,8836,15,0.0016976007243096423
car |car |cars,2014100122,10378,14,0.0013490075158990172
car |car |cars,2014100121,12311,23,0.0018682479083746244
car |car |cars,2014100200,11724,16,0.001364721937905152
car |car |cars,2014100201,6861,4,5.830053927998834E-4
car |car |cars,2014100309,9997,21,0.002100630189056717
car |car |cars,2014100307,6926,17,0.0024545192030031764
car |car |cars,2014100204,8387,2,2.384642899725766E-4
car |car |cars,2014100308,8532,19,0.002226910454758556
car |car |cars,2014100205,14882,4,2.6878107781212203E-4
car |car |cars,2014100305,3838,8,0.0020844189682126106
car |car |cars,2014100202,5853,3,5.125576627370579E-4
car |car |cars,2014100306,5526,8,0.0014477017734346724
car |car |cars,2014100203,5613,3,5.344735435595938E-4
car |car |cars,2014100303,5043,10,0.00198294665873488
car |car |cars,2014100208,9640,27,0.0028008298755186722
car |car |cars,2014100304,4725,14,0.002962962962962963
car |car |cars,2014100209,12321,53,0.004301598896193491
car |car |cars,2014100301,4480,14,0.003125
car |car |cars,2014100206,9203,24,0.002607845267847441
car |car |cars,2014100302,8095,23,0.0028412600370599137
car |car |cars,2014100207,9445,20,0.0021175224986765486
car |car |cars,2014100300,6707,38,0.0056657223796034
car |car |cars,2014100106,45483,7,1.5390365631114922E-4
car |car |cars,2014100105,7742,8,0.0010333247222939809
car |car |cars,2014100104,8731,4,4.581376703699462E-4
car |car |cars,2014100103,1127,0,0.0
car |car |cars,2014100102,2940,2,6.802721088435374E-4
car |car |cars,2014100101,3598,5,0.0013896609227348527
car |car |cars,2014100100,1816,3,0.0016519823788546256
car |car |cars,2014100109,10999,16,0.001454677697972543
car |car |cars,2014100108,14670,30,0.002044989775051125
car |car |cars,2014100107,32104,10,3.114876650884625E-4
car |car |cars,2014100210,10300,71,0.006893203883495146
car |car |cars,2014100211,11008,47,0.004269622093023256
car |car |cars,2014100212,11567,34,0.002939396559176969
car |car |cars,2014100316,10537,153,0.01452026193413685
car |car |cars,2014100213,10976,30,0.0027332361516034984
car |car |cars,2014100317,9832,91,0.009255492270138324
car |car |cars,2014100214,12210,31,0.002538902538902539
car |car |cars,2014100318,9075,50,0.005509641873278237
car |car |cars,2014100215,11832,48,0.004056795131845842
car |car |cars,2014100319,8645,47,0.005436668594563331
car |car |cars,2014100216,10725,43,0.004009324009324009
car |car |cars,2014100312,10661,650,0.060969890254197544
car |car |cars,2014100217,9835,41,0.004168784951703101
