shark |shark |sharks,2014100223,8580,6,6.993006993006993E-4
shark |shark |sharks,2014100222,12009,2,1.6654176034640685E-4
shark |shark |sharks,2014100221,14828,5,3.371998920960345E-4
shark |shark |sharks,2014100220,15090,7,4.6388336646785953E-4
shark |shark |sharks,2014093023,7216,0,0.0
shark |shark |sharks,2014093020,2478,0,0.0
shark |shark |sharks,2014093022,2524,0,0.0
shark |shark |sharks,2014093021,2547,1,3.9261876717707107E-4
shark |shark |sharks,2014100321,9080,1,1.1013215859030837E-4
shark |shark |sharks,2014100322,8671,2,2.306539038173221E-4
shark |shark |sharks,2014100320,9381,5,5.329922183136127E-4
shark |shark |sharks,2014100323,6929,1,1.443209698369173E-4
shark |shark |sharks,2014100123,8836,0,0.0
shark |shark |sharks,2014100122,10378,6,5.781460782424359E-4
shark |shark |sharks,2014100121,12311,5,4.061408496466575E-4
shark |shark |sharks,2014100200,11724,1,8.5295121119072E-5
shark |shark |sharks,2014100201,6861,0,0.0
shark |shark |sharks,2014100309,9997,6,6.001800540162049E-4
shark |shark |sharks,2014100307,6926,15,0.002165752237943979
shark |shark |sharks,2014100204,8387,0,0.0
shark |shark |sharks,2014100308,8532,4,4.6882325363338024E-4
shark |shark |sharks,2014100205,14882,0,0.0
shark |shark |sharks,2014100305,3838,0,0.0
shark |shark |sharks,2014100202,5853,0,0.0
shark |shark |sharks,2014100306,5526,1,1.8096272167933406E-4
shark |shark |sharks,2014100203,5613,0,0.0
shark |shark |sharks,2014100303,5043,0,0.0
shark |shark |sharks,2014100208,9640,2,2.074688796680498E-4
shark |shark |sharks,2014100304,4725,2,4.232804232804233E-4
shark |shark |sharks,2014100209,12321,2,1.6232448664881097E-4
shark |shark |sharks,2014100301,4480,0,0.0
shark |shark |sharks,2014100206,9203,5,5.433010974682169E-4
shark |shark |sharks,2014100302,8095,0,0.0
shark |shark |sharks,2014100207,9445,0,0.0
shark |shark |sharks,2014100300,6707,1,1.490979573579842E-4
shark |shark |sharks,2014100106,45483,0,0.0
shark |shark |sharks,2014100105,7742,0,0.0
shark |shark |sharks,2014100104,8731,0,0.0
shark |shark |sharks,2014100103,1127,0,0.0
shark |shark |sharks,2014100102,2940,0,0.0
shark |shark |sharks,2014100101,3598,0,0.0
shark |shark |sharks,2014100100,1816,0,0.0
shark |shark |sharks,2014100109,10999,0,0.0
shark |shark |sharks,2014100108,14670,0,0.0
shark |shark |sharks,2014100107,32104,1,3.114876650884625E-5
shark |shark |sharks,2014100210,10300,1,9.70873786407767E-5
shark |shark |sharks,2014100211,11008,0,0.0
shark |shark |sharks,2014100212,11567,5,4.3226419987896605E-4
shark |shark |sharks,2014100316,10537,3,2.847110183164088E-4
shark |shark |sharks,2014100213,10976,11,0.0010021865889212828
shark |shark |sharks,2014100317,9832,4,4.068348250610252E-4
shark |shark |sharks,2014100214,12210,14,0.0011466011466011465
shark |shark |sharks,2014100318,9075,4,4.4077134986225897E-4
shark |shark |sharks,2014100215,11832,11,9.296822177146721E-4
shark |shark |sharks,2014100319,8645,3,3.470213996529786E-4
shark |shark |sharks,2014100216,10725,8,7.459207459207459E-4
shark |shark |sharks,2014100312,10661,3,2.813994934809117E-4
shark |shark |sharks,2014100217,9835,10,0.0010167768174885613
shark |shark |sharks,2014100313,9887,12,0.0012137149792657025
shark |shark |sharks,2014100218,9907,17,0.0017159584132431613
shark |shark |sharks,2014100314,9820,5,5.091649694501018E-4
shark |shark |sharks,2014100219,11100,11,9.90990990990991E-4
shark |shark |sharks,2014100420,8163,3,3.675119441381845E-4
shark |shark |sharks,2014100315,10271,4,3.894460130464414E-4
shark |shark |sharks,2014100120,12122,18,0.0014849034812737172
shark |shark |sharks,2014100421,8099,2,2.469440671687863E-4
shark |shark |sharks,2014100422,8432,5,5.929791271347248E-4
shark |shark |sharks,2014100423,6306,1,1.585791309863622E-4
shark |shark |sharks,2014100310,10343,4,3.867349898482065E-4
shark |shark |sharks,2014100311,11400,3,2.631578947368421E-4
shark |shark |sharks,2014100115,14152,6,4.2396834369700395E-4
shark |shark |sharks,2014100114,11535,6,5.201560468140442E-4
shark |shark |sharks,2014100117,11365,2,1.759788825340959E-4
shark |shark |sharks,2014100116,10904,3,2.751283932501834E-4
shark |shark |sharks,2014100111,9571,5,5.224114512590116E-4
shark |shark |sharks,2014100110,9126,4,4.3830813061582295E-4
shark |shark |sharks,2014100823,5727,0,0.0
shark |shark |sharks,2014100113,11543,0,0.0
shark |shark |sharks,2014100822,900,0,0.0
shark |shark |sharks,2014100112,11651,3,2.57488627585615E-4
shark |shark |sharks,2014100119,11403,27,0.0023677979479084454
shark |shark |sharks,2014100118,10294,1,9.714396735962697E-5
shark |shark |sharks,2014100604,4638,0,0.0
shark |shark |sharks,2014100605,8675,0,0.0
shark |shark |sharks,2014100700,5207,1,1.9204916458613405E-4
shark |shark |sharks,2014100914,3191,0,0.0
shark |shark |sharks,2014100602,8176,1,1.223091976516634E-4
shark |shark |sharks,2014100915,1000,0,0.0
shark |shark |sharks,2014100603,9384,0,0.0
shark |shark |sharks,2014100912,2545,1,3.929273084479371E-4
shark |shark |sharks,2014100608,13680,0,0.0
shark |shark |sharks,2014100913,6771,7,0.0010338207059518536
shark |shark |sharks,2014100609,13287,0,0.0
shark |shark |sharks,2014100810,6053,0,0.0
shark |shark |sharks,2014100606,4334,1,2.3073373327180433E-4
shark |shark |sharks,2014100607,6194,0,0.0
shark |shark |sharks,2014100707,4802,1,2.0824656393169514E-4
shark |shark |sharks,2014100813,7061,1,1.41622999575131E-4
shark |shark |sharks,2014100708,5400,0,0.0
shark |shark |sharks,2014100814,6011,0,0.0
shark |shark |sharks,2014100705,2740,0,0.0
shark |shark |sharks,2014100811,6604,0,0.0
shark |shark |sharks,2014100706,3398,0,0.0
shark |shark |sharks,2014100812,5896,6,0.0010176390773405698
shark |shark |sharks,2014100817,6743,1,1.4830194275545008E-4
shark |shark |sharks,2014100600,15771,0,0.0
shark |shark |sharks,2014100703,5792,0,0.0
shark |shark |sharks,2014100818,7400,1,1.3513513513513514E-4
shark |shark |sharks,2014100601,8669,0,0.0
shark |shark |sharks,2014100704,3010,0,0.0
shark |shark |sharks,2014100815,5628,3,5.330490405117271E-4
shark |shark |sharks,2014100701,13455,0,0.0
shark |shark |sharks,2014100816,7857,4,5.091001654575538E-4
shark |shark |sharks,2014100702,8524,0,0.0
shark |shark |sharks,2014100509,9287,0,0.0
shark |shark |sharks,2014100508,6498,0,0.0
shark |shark |sharks,2014100819,4300,2,4.6511627906976747E-4
shark |shark |sharks,2014100507,16911,0,0.0
shark |shark |sharks,2014100403,6749,1,1.481700992739665E-4
shark |shark |sharks,2014100506,11836,0,0.0
shark |shark |sharks,2014100402,6613,0,0.0
shark |shark |sharks,2014100505,6487,1,1.5415446277169725E-4
shark |shark |sharks,2014100401,4570,1,2.188183807439825E-4
shark |shark |sharks,2014100504,3861,1,2.59000259000259E-4
shark |shark |sharks,2014100400,5285,1,1.892147587511826E-4
shark |shark |sharks,2014100503,4540,1,2.2026431718061675E-4
shark |shark |sharks,2014100709,5572,0,0.0
shark |shark |sharks,2014100407,7111,0,0.0
shark |shark |sharks,2014100406,10763,1,9.2910898448388E-5
shark |shark |sharks,2014100501,6148,1,1.6265452179570593E-4
shark |shark |sharks,2014100405,10366,0,0.0
shark |shark |sharks,2014100500,11540,0,0.0
shark |shark |sharks,2014100404,3086,0,0.0
shark |shark |sharks,2014100409,9932,0,0.0
shark |shark |sharks,2014100408,10458,1,9.562057754828839E-5
shark |shark |sharks,2014100903,4141,0,0.0
shark |shark |sharks,2014100613,12260,1,8.156606851549755E-5
