deal |DEAL |deal |deals,2014100223,8580,11,0.001282051282051282
deal |DEAL |deal |deals,2014100222,12009,25,0.0020817720043300857
deal |DEAL |deal |deals,2014100221,14828,47,0.0031696789857027247
deal |DEAL |deal |deals,2014100220,15090,19,0.0012591119946984758
deal |DEAL |deal |deals,2014093023,7216,13,0.0018015521064301552
deal |DEAL |deal |deals,2014093020,2478,6,0.002421307506053269
deal |DEAL |deal |deals,2014093022,2524,4,0.001584786053882726
deal |DEAL |deal |deals,2014093021,2547,3,0.001177856301531213
deal |DEAL |deal |deals,2014100321,9080,9,9.911894273127754E-4
deal |DEAL |deal |deals,2014100322,8671,14,0.0016145773267212547
deal |DEAL |deal |deals,2014100320,9381,19,0.002025370429591728
deal |DEAL |deal |deals,2014100323,6929,11,0.0015875306682060903
deal |DEAL |deal |deals,2014100123,8836,14,0.0015844273426889996
deal |DEAL |deal |deals,2014100122,10378,15,0.0014453651956060898
deal |DEAL |deal |deals,2014100121,12311,15,0.0012184225489399723
deal |DEAL |deal |deals,2014100200,11724,10,8.529512111907199E-4
deal |DEAL |deal |deals,2014100201,6861,4,5.830053927998834E-4
deal |DEAL |deal |deals,2014100309,9997,18,0.0018005401620486145
deal |DEAL |deal |deals,2014100307,6926,5,7.219174126479931E-4
deal |DEAL |deal |deals,2014100204,8387,4,4.769285799451532E-4
deal |DEAL |deal |deals,2014100308,8532,11,0.0012892639474917957
deal |DEAL |deal |deals,2014100205,14882,4,2.6878107781212203E-4
deal |DEAL |deal |deals,2014100305,3838,2,5.211047420531526E-4
deal |DEAL |deal |deals,2014100202,5853,6,0.0010251153254741158
deal |DEAL |deal |deals,2014100306,5526,3,5.428881650380022E-4
deal |DEAL |deal |deals,2014100203,5613,2,3.563156957063959E-4
deal |DEAL |deal |deals,2014100303,5043,5,9.9147332936744E-4
deal |DEAL |deal |deals,2014100208,9640,20,0.002074688796680498
deal |DEAL |deal |deals,2014100304,4725,1,2.1164021164021165E-4
deal |DEAL |deal |deals,2014100209,12321,16,0.0012985958931904878
deal |DEAL |deal |deals,2014100301,4480,2,4.464285714285714E-4
deal |DEAL |deal |deals,2014100206,9203,4,4.346408779745735E-4
deal |DEAL |deal |deals,2014100302,8095,2,2.470660901791229E-4
deal |DEAL |deal |deals,2014100207,9445,6,6.352567496029645E-4
deal |DEAL |deal |deals,2014100300,6707,6,8.945877441479052E-4
deal |DEAL |deal |deals,2014100106,45483,7,1.5390365631114922E-4
deal |DEAL |deal |deals,2014100105,7742,0,0.0
deal |DEAL |deal |deals,2014100104,8731,2,2.290688351849731E-4
deal |DEAL |deal |deals,2014100103,1127,0,0.0
deal |DEAL |deal |deals,2014100102,2940,0,0.0
deal |DEAL |deal |deals,2014100101,3598,2,5.558643690939411E-4
deal |DEAL |deal |deals,2014100100,1816,3,0.0016519823788546256
deal |DEAL |deal |deals,2014100109,10999,21,0.0019092644785889627
deal |DEAL |deal |deals,2014100108,14670,15,0.0010224948875255625
deal |DEAL |deal |deals,2014100107,32104,26,8.098679292300025E-4
deal |DEAL |deal |deals,2014100210,10300,22,0.0021359223300970874
deal |DEAL |deal |deals,2014100211,11008,16,0.0014534883720930232
deal |DEAL |deal |deals,2014100212,11567,16,0.0013832454396126913
deal |DEAL |deal |deals,2014100316,10537,15,0.0014235550915820442
deal |DEAL |deal |deals,2014100213,10976,12,0.0010932944606413995
deal |DEAL |deal |deals,2014100317,9832,7,7.119609438567941E-4
deal |DEAL |deal |deals,2014100214,12210,14,0.0011466011466011465
deal |DEAL |deal |deals,2014100318,9075,13,0.0014325068870523416
deal |DEAL |deal |deals,2014100215,11832,11,9.296822177146721E-4
deal |DEAL |deal |deals,2014100319,8645,20,0.002313475997686524
deal |DEAL |deal |deals,2014100216,10725,11,0.0010256410256410256
deal |DEAL |deal |deals,2014100312,10661,29,0.0027201951036488134
deal |DEAL |deal |deals,2014100217,9835,17,0.0017285205897305542
deal |DEAL |deal |deals,2014100313,9887,21,0.0021240012137149792
deal |DEAL |deal |deals,2014100218,9907,12,0.0012112647622892904
deal |DEAL |deal |deals,2014100314,9820,13,0.0013238289205702647
deal |DEAL |deal |deals,2014100219,11100,12,0.001081081081081081
deal |DEAL |deal |deals,2014100420,8163,11,0.001347543795173343
deal |DEAL |deal |deals,2014100315,10271,12,0.0011683380391393243
deal |DEAL |deal |deals,2014100120,12122,28,0.0023098498597591156
deal |DEAL |deal |deals,2014100421,8099,11,0.0013581923694283246
deal |DEAL |deal |deals,2014100422,8432,5,5.929791271347248E-4
deal |DEAL |deal |deals,2014100423,6306,10,0.001585791309863622
deal |DEAL |deal |deals,2014100310,10343,51,0.004930871120564633
deal |DEAL |deal |deals,2014100311,11400,34,0.0029824561403508773
deal |DEAL |deal |deals,2014100115,14152,17,0.0012012436404748444
deal |DEAL |deal |deals,2014100114,11535,17,0.0014737754659731252
deal |DEAL |deal |deals,2014100117,11365,10,8.798944126704796E-4
deal |DEAL |deal |deals,2014100116,10904,16,0.001467351430667645
deal |DEAL |deal |deals,2014100111,9571,39,0.0040748093198202905
deal |DEAL |deal |deals,2014100110,9126,16,0.0017532325224632918
deal |DEAL |deal |deals,2014100823,5727,14,0.0024445608521040684
deal |DEAL |deal |deals,2014100113,11543,19,0.0016460192324352421
deal |DEAL |deal |deals,2014100822,900,6,0.006666666666666667
deal |DEAL |deal |deals,2014100112,11651,37,0.003175693073555918
deal |DEAL |deal |deals,2014100119,11403,19,0.0016662281855652022
deal |DEAL |deal |deals,2014100118,10294,14,0.0013600155430347775
deal |DEAL |deal |deals,2014100604,4638,2,4.3122035360068997E-4
deal |DEAL |deal |deals,2014100605,8675,2,2.3054755043227666E-4
deal |DEAL |deal |deals,2014100700,5207,6,0.0011522949875168043
deal |DEAL |deal |deals,2014100914,3191,24,0.007521153243497336
deal |DEAL |deal |deals,2014100602,8176,2,2.446183953033268E-4
deal |DEAL |deal |deals,2014100915,1000,7,0.007
deal |DEAL |deal |deals,2014100603,9384,1,1.0656436487638534E-4
deal |DEAL |deal |deals,2014100912,2545,9,0.003536345776031434
deal |DEAL |deal |deals,2014100608,13680,5,3.654970760233918E-4
deal |DEAL |deal |deals,2014100913,6771,22,0.003249150790134397
deal |DEAL |deal |deals,2014100609,13287,15,0.001128923007450892
deal |DEAL |deal |deals,2014100810,6053,19,0.0031389393689079796
deal |DEAL |deal |deals,2014100606,4334,3,6.922011998154131E-4
deal |DEAL |deal |deals,2014100607,6194,4,6.457862447529867E-4
deal |DEAL |deal |deals,2014100707,4802,6,0.0012494793835901709
deal |DEAL |deal |deals,2014100813,7061,11,0.001557852995326441
deal |DEAL |deal |deals,2014100708,5400,4,7.407407407407407E-4
deal |DEAL |deal |deals,2014100814,6011,25,0.004159041756779238
deal |DEAL |deal |deals,2014100705,2740,5,0.0018248175182481751
deal |DEAL |deal |deals,2014100811,6604,17,0.00257419745608722
deal |DEAL |deal |deals,2014100706,3398,2,5.885815185403178E-4
deal |DEAL |deal |deals,2014100812,5896,25,0.004240162822252374
deal |DEAL |deal |deals,2014100817,6743,10,0.001483019427554501
deal |DEAL |deal |deals,2014100600,15771,2,1.268150402637753E-4
deal |DEAL |deal |deals,2014100703,5792,2,3.453038674033149E-4
deal |DEAL |deal |deals,2014100818,7400,34,0.0045945945945945945
deal |DEAL |deal |deals,2014100601,8669,4,4.614142346291383E-4
deal |DEAL |deal |deals,2014100704,3010,2,6.64451827242525E-4
deal |DEAL |deal |deals,2014100815,5628,16,0.0028429282160625444
deal |DEAL |deal |deals,2014100701,13455,6,4.459308807134894E-4
deal |DEAL |deal |deals,2014100816,7857,12,0.0015273004963726614
deal |DEAL |deal |deals,2014100702,8524,7,8.212106992022525E-4
deal |DEAL |deal |deals,2014100509,9287,7,7.537417895983633E-4
deal |DEAL |deal |deals,2014100508,6498,3,4.616805170821791E-4
deal |DEAL |deal |deals,2014100819,4300,27,0.006279069767441861
deal |DEAL |deal |deals,2014100507,16911,3,1.7739932588256165E-4
