group |group |Group |groups,2014100223,8580,8,9.324009324009324E-4
group |group |Group |groups,2014100222,12009,9,7.494379215588309E-4
group |group |Group |groups,2014100221,14828,15,0.0010115996762881036
group |group |Group |groups,2014100220,15090,28,0.0018555334658714381
group |group |Group |groups,2014093023,7216,17,0.0023558758314855877
group |group |Group |groups,2014093020,2478,3,0.0012106537530266344
group |group |Group |groups,2014093022,2524,4,0.001584786053882726
group |group |Group |groups,2014093021,2547,3,0.001177856301531213
group |group |Group |groups,2014100321,9080,11,0.001211453744493392
group |group |Group |groups,2014100322,8671,7,8.072886633606274E-4
group |group |Group |groups,2014100320,9381,20,0.0021319688732544507
group |group |Group |groups,2014100323,6929,6,8.659258190215039E-4
group |group |Group |groups,2014100123,8836,11,0.001244907197827071
group |group |Group |groups,2014100122,10378,19,0.0018307959144343805
group |group |Group |groups,2014100121,12311,29,0.002355616927950613
group |group |Group |groups,2014100200,11724,11,9.382463323097919E-4
group |group |Group |groups,2014100201,6861,5,7.287567409998542E-4
group |group |Group |groups,2014100309,9997,38,0.0038011403421026307
group |group |Group |groups,2014100307,6926,6,8.663008951775916E-4
group |group |Group |groups,2014100204,8387,5,5.961607249314415E-4
group |group |Group |groups,2014100308,8532,23,0.0026957337083919363
group |group |Group |groups,2014100205,14882,3,2.0158580835909153E-4
group |group |Group |groups,2014100305,3838,1,2.605523710265763E-4
group |group |Group |groups,2014100202,5853,1,1.7085255424568598E-4
group |group |Group |groups,2014100306,5526,9,0.0016286644951140066
group |group |Group |groups,2014100203,5613,4,7.126313914127917E-4
group |group |Group |groups,2014100303,5043,5,9.9147332936744E-4
group |group |Group |groups,2014100208,9640,8,8.298755186721991E-4
group |group |Group |groups,2014100304,4725,2,4.232804232804233E-4
group |group |Group |groups,2014100209,12321,19,0.0015420826231637042
group |group |Group |groups,2014100301,4480,2,4.464285714285714E-4
group |group |Group |groups,2014100206,9203,1,1.0866021949364337E-4
group |group |Group |groups,2014100302,8095,5,6.176652254478073E-4
group |group |Group |groups,2014100207,9445,10,0.0010587612493382743
group |group |Group |groups,2014100300,6707,6,8.945877441479052E-4
group |group |Group |groups,2014100106,45483,9,1.9787612954290615E-4
group |group |Group |groups,2014100105,7742,2,2.583311805734952E-4
group |group |Group |groups,2014100104,8731,3,3.436032527774596E-4
group |group |Group |groups,2014100103,1127,0,0.0
group |group |Group |groups,2014100102,2940,3,0.0010204081632653062
group |group |Group |groups,2014100101,3598,9,0.0025013896609227346
group |group |Group |groups,2014100100,1816,5,0.0027533039647577094
group |group |Group |groups,2014100109,10999,28,0.0025456859714519504
group |group |Group |groups,2014100108,14670,13,8.861622358554874E-4
group |group |Group |groups,2014100107,32104,13,4.0493396461500127E-4
group |group |Group |groups,2014100210,10300,18,0.0017475728155339806
group |group |Group |groups,2014100211,11008,14,0.0012718023255813954
group |group |Group |groups,2014100212,11567,18,0.0015561511195642777
group |group |Group |groups,2014100316,10537,15,0.0014235550915820442
group |group |Group |groups,2014100213,10976,26,0.0023688046647230322
group |group |Group |groups,2014100317,9832,17,0.0017290480065093572
group |group |Group |groups,2014100214,12210,23,0.0018837018837018838
group |group |Group |groups,2014100318,9075,5,5.509641873278236E-4
group |group |Group |groups,2014100215,11832,16,0.001352265043948614
group |group |Group |groups,2014100319,8645,14,0.0016194331983805667
group |group |Group |groups,2014100216,10725,25,0.002331002331002331
group |group |Group |groups,2014100312,10661,23,0.00215739611668699
group |group |Group |groups,2014100217,9835,15,0.001525165226232842
group |group |Group |groups,2014100313,9887,22,0.002225144128653788
group |group |Group |groups,2014100218,9907,52,0.0052488139699202584
group |group |Group |groups,2014100314,9820,20,0.002036659877800407
group |group |Group |groups,2014100219,11100,31,0.002792792792792793
group |group |Group |groups,2014100420,8163,10,0.0012250398137939483
group |group |Group |groups,2014100315,10271,28,0.00272612209132509
group |group |Group |groups,2014100120,12122,27,0.0022273552219105757
group |group |Group |groups,2014100421,8099,13,0.0016051364365971107
group |group |Group |groups,2014100422,8432,10,0.0011859582542694497
group |group |Group |groups,2014100423,6306,5,7.92895654931811E-4
group |group |Group |groups,2014100310,10343,22,0.0021270424441651357
group |group |Group |groups,2014100311,11400,17,0.0014912280701754386
group |group |Group |groups,2014100115,14152,13,9.185980780101752E-4
group |group |Group |groups,2014100114,11535,21,0.0018205461638491547
group |group |Group |groups,2014100117,11365,16,0.0014078310602727673
group |group |Group |groups,2014100116,10904,26,0.002384446074834923
group |group |Group |groups,2014100111,9571,20,0.0020896458050360463
group |group |Group |groups,2014100110,9126,14,0.0015340784571553803
group |group |Group |groups,2014100823,5727,15,0.0026191723415400735
group |group |Group |groups,2014100113,11543,25,0.0021658147795200556
group |group |Group |groups,2014100822,900,3,0.0033333333333333335
group |group |Group |groups,2014100112,11651,41,0.0035190112436700714
group |group |Group |groups,2014100119,11403,74,0.006489520301674998
group |group |Group |groups,2014100118,10294,36,0.003497182824946571
group |group |Group |groups,2014100604,4638,3,6.46830530401035E-4
group |group |Group |groups,2014100605,8675,0,0.0
group |group |Group |groups,2014100700,5207,328,0.06299212598425197
group |group |Group |groups,2014100914,3191,3,9.40144155437167E-4
group |group |Group |groups,2014100602,8176,7,8.561643835616438E-4
group |group |Group |groups,2014100915,1000,1,0.001
group |group |Group |groups,2014100603,9384,4,4.2625745950554135E-4
group |group |Group |groups,2014100912,2545,7,0.00275049115913556
