appeal |appeal |appeals,2014100223,8580,5,5.827505827505828E-4
appeal |appeal |appeals,2014100222,12009,12,9.992505620784412E-4
appeal |appeal |appeals,2014100221,14828,9,6.069598057728622E-4
appeal |appeal |appeals,2014100220,15090,21,0.0013916500994035786
appeal |appeal |appeals,2014093023,7216,1,1.385809312638581E-4
appeal |appeal |appeals,2014093020,2478,1,4.035512510088781E-4
appeal |appeal |appeals,2014093022,2524,1,3.961965134706815E-4
appeal |appeal |appeals,2014093021,2547,0,0.0
appeal |appeal |appeals,2014100321,9080,1,1.1013215859030837E-4
appeal |appeal |appeals,2014100322,8671,1,1.1532695190866105E-4
appeal |appeal |appeals,2014100320,9381,7,7.461891056390577E-4
appeal |appeal |appeals,2014100323,6929,2,2.886419396738346E-4
appeal |appeal |appeals,2014100123,8836,6,6.79040289723857E-4
appeal |appeal |appeals,2014100122,10378,17,0.0016380805550202352
appeal |appeal |appeals,2014100121,12311,27,0.00219316058809195
appeal |appeal |appeals,2014100200,11724,2,1.70590242238144E-4
appeal |appeal |appeals,2014100201,6861,1,1.4575134819997084E-4
appeal |appeal |appeals,2014100309,9997,4,4.0012003601080324E-4
appeal |appeal |appeals,2014100307,6926,3,4.331504475887958E-4
appeal |appeal |appeals,2014100204,8387,0,0.0
appeal |appeal |appeals,2014100308,8532,8,9.376465072667605E-4
appeal |appeal |appeals,2014100205,14882,2,1.3439053890606102E-4
appeal |appeal |appeals,2014100305,3838,1,2.605523710265763E-4
appeal |appeal |appeals,2014100202,5853,0,0.0
appeal |appeal |appeals,2014100306,5526,1,1.8096272167933406E-4
appeal |appeal |appeals,2014100203,5613,1,1.7815784785319794E-4
appeal |appeal |appeals,2014100303,5043,0,0.0
appeal |appeal |appeals,2014100208,9640,13,0.0013485477178423236
appeal |appeal |appeals,2014100304,4725,1,2.1164021164021165E-4
appeal |appeal |appeals,2014100209,12321,12,9.739469198928658E-4
appeal |appeal |appeals,2014100301,4480,1,2.232142857142857E-4
appeal |appeal |appeals,2014100206,9203,4,4.346408779745735E-4
appeal |appeal |appeals,2014100302,8095,1,1.2353304508956145E-4
appeal |appeal |appeals,2014100207,9445,22,0.0023292747485442033
appeal |appeal |appeals,2014100300,6707,1,1.490979573579842E-4
appeal |appeal |appeals,2014100106,45483,2,4.397247323175692E-5
appeal |appeal |appeals,2014100105,7742,0,0.0
appeal |appeal |appeals,2014100104,8731,0,0.0
appeal |appeal |appeals,2014100103,1127,0,0.0
appeal |appeal |appeals,2014100102,2940,1,3.401360544217687E-4
appeal |appeal |appeals,2014100101,3598,0,0.0
appeal |appeal |appeals,2014100100,1816,1,5.506607929515419E-4
appeal |appeal |appeals,2014100109,10999,1,9.091735612328394E-5
appeal |appeal |appeals,2014100108,14670,0,0.0
appeal |appeal |appeals,2014100107,32104,2,6.22975330176925E-5
appeal |appeal |appeals,2014100210,10300,209,0.02029126213592233
appeal |appeal |appeals,2014100211,11008,64,0.005813953488372093
appeal |appeal |appeals,2014100212,11567,51,0.0044090948387654535
appeal |appeal |appeals,2014100316,10537,12,0.0011388440732656353
appeal |appeal |appeals,2014100213,10976,22,0.0020043731778425656
appeal |appeal |appeals,2014100317,9832,7,7.119609438567941E-4
appeal |appeal |appeals,2014100214,12210,13,0.0010647010647010647
appeal |appeal |appeals,2014100318,9075,5,5.509641873278236E-4
appeal |appeal |appeals,2014100215,11832,6,5.070993914807302E-4
appeal |appeal |appeals,2014100319,8645,7,8.097165991902834E-4
appeal |appeal |appeals,2014100216,10725,5,4.662004662004662E-4
appeal |appeal |appeals,2014100312,10661,1,9.379983116030391E-5
appeal |appeal |appeals,2014100217,9835,6,6.100660904931368E-4
appeal |appeal |appeals,2014100313,9887,5,5.057145746940427E-4
appeal |appeal |appeals,2014100218,9907,8,8.075098415261935E-4
appeal |appeal |appeals,2014100314,9820,9,9.164969450101833E-4
appeal |appeal |appeals,2014100219,11100,7,6.306306306306306E-4
appeal |appeal |appeals,2014100420,8163,1,1.2250398137939484E-4
appeal |appeal |appeals,2014100315,10271,3,2.9208450978483107E-4
appeal |appeal |appeals,2014100120,12122,43,0.003547269427487213
appeal |appeal |appeals,2014100421,8099,1,1.2347203358439315E-4
appeal |appeal |appeals,2014100422,8432,0,0.0
appeal |appeal |appeals,2014100423,6306,0,0.0
appeal |appeal |appeals,2014100310,10343,6,5.801024847723097E-4
appeal |appeal |appeals,2014100311,11400,10,8.771929824561404E-4
appeal |appeal |appeals,2014100115,14152,39,0.0027557942340305256
appeal |appeal |appeals,2014100114,11535,2,1.7338534893801473E-4
appeal |appeal |appeals,2014100117,11365,63,0.005543334799824021
appeal |appeal |appeals,2014100116,10904,110,0.010088041085840058
appeal |appeal |appeals,2014100111,9571,2,2.0896458050360465E-4
appeal |appeal |appeals,2014100110,9126,0,0.0
appeal |appeal |appeals,2014100823,5727,0,0.0
appeal |appeal |appeals,2014100113,11543,1,8.663259118080222E-5
appeal |appeal |appeals,2014100822,900,0,0.0
appeal |appeal |appeals,2014100112,11651,6,5.1497725517123E-4
appeal |appeal |appeals,2014100119,11403,64,0.005612558098745944
appeal |appeal |appeals,2014100118,10294,120,0.011657276083155236
appeal |appeal |appeals,2014100604,4638,0,0.0
appeal |appeal |appeals,2014100605,8675,0,0.0
appeal |appeal |appeals,2014100700,5207,0,0.0
appeal |appeal |appeals,2014100914,3191,2,6.267627702914447E-4
appeal |appeal |appeals,2014100602,8176,0,0.0
appeal |appeal |appeals,2014100915,1000,1,0.001
appeal |appeal |appeals,2014100603,9384,0,0.0
appeal |appeal |appeals,2014100912,2545,3,0.0011787819253438114
appeal |appeal |appeals,2014100608,13680,2,1.4619883040935673E-4
appeal |appeal |appeals,2014100913,6771,3,4.4306601683650863E-4
appeal |appeal |appeals,2014100609,13287,0,0.0
appeal |appeal |appeals,2014100810,6053,0,0.0
appeal |appeal |appeals,2014100606,4334,0,0.0
appeal |appeal |appeals,2014100607,6194,2,3.2289312237649337E-4
appeal |appeal |appeals,2014100707,4802,0,0.0
appeal |appeal |appeals,2014100813,7061,6,8.49737997450786E-4
appeal |appeal |appeals,2014100708,5400,1,1.8518518518518518E-4
appeal |appeal |appeals,2014100814,6011,1,1.6636167027116953E-4
appeal |appeal |appeals,2014100705,2740,0,0.0
appeal |appeal |appeals,2014100811,6604,4,6.056935190793458E-4
appeal |appeal |appeals,2014100706,3398,1,2.942907592701589E-4
appeal |appeal |appeals,2014100812,5896,1,1.6960651289009497E-4
appeal |appeal |appeals,2014100817,6743,0,0.0
appeal |appeal |appeals,2014100600,15771,1,6.340752013188764E-5
appeal |appeal |appeals,2014100703,5792,0,0.0
appeal |appeal |appeals,2014100818,7400,1,1.3513513513513514E-4
appeal |appeal |appeals,2014100601,8669,0,0.0
appeal |appeal |appeals,2014100704,3010,0,0.0
appeal |appeal |appeals,2014100815,5628,1,1.7768301350390902E-4
appeal |appeal |appeals,2014100701,13455,1,7.432181345224824E-5
appeal |appeal |appeals,2014100816,7857,0,0.0
appeal |appeal |appeals,2014100702,8524,0,0.0
