ebola |Ebola,2014100223,8580,21,0.0024475524475524478
ebola |Ebola,2014100222,12009,14,0.001165792322424848
ebola |Ebola,2014100221,14828,1,6.74399784192069E-5
ebola |Ebola,2014100220,15090,3,1.9880715705765408E-4
ebola |Ebola,2014093023,7216,2,2.771618625277162E-4
ebola |Ebola,2014093020,2478,0,0.0
ebola |Ebola,2014093022,2524,1,3.961965134706815E-4
ebola |Ebola,2014093021,2547,0,0.0
ebola |Ebola,2014100321,9080,5,5.506607929515419E-4
ebola |Ebola,2014100322,8671,11,0.0012685964709952715
ebola |Ebola,2014100320,9381,3,3.197953309881676E-4
ebola |Ebola,2014100323,6929,5,7.216048491845865E-4
ebola |Ebola,2014100123,8836,0,0.0
ebola |Ebola,2014100122,10378,2,1.927153594141453E-4
ebola |Ebola,2014100121,12311,4,3.2491267971732594E-4
ebola |Ebola,2014100200,11724,5,4.2647560559535994E-4
ebola |Ebola,2014100201,6861,1,1.4575134819997084E-4
ebola |Ebola,2014100309,9997,19,0.0019005701710513153
ebola |Ebola,2014100307,6926,24,0.0034652035807103665
ebola |Ebola,2014100204,8387,1,1.192321449862883E-4
ebola |Ebola,2014100308,8532,28,0.0032817627754336614
ebola |Ebola,2014100205,14882,6,4.0317161671818305E-4
ebola |Ebola,2014100305,3838,1,2.605523710265763E-4
ebola |Ebola,2014100202,5853,4,6.834102169827439E-4
ebola |Ebola,2014100306,5526,10,0.0018096272167933405
ebola |Ebola,2014100203,5613,6,0.0010689470871191875
ebola |Ebola,2014100303,5043,11,0.002181241324608368
ebola |Ebola,2014100208,9640,19,0.001970954356846473
ebola |Ebola,2014100304,4725,7,0.0014814814814814814
ebola |Ebola,2014100209,12321,17,0.0013797581365148932
ebola |Ebola,2014100301,4480,5,0.0011160714285714285
ebola |Ebola,2014100206,9203,9,9.779419754427903E-4
ebola |Ebola,2014100302,8095,1,1.2353304508956145E-4
ebola |Ebola,2014100207,9445,14,0.001482265749073584
ebola |Ebola,2014100300,6707,10,0.001490979573579842
ebola |Ebola,2014100106,45483,3,6.595870984763538E-5
