bulldog |Bulldogs,2014100223,8580,0,0.0
bulldog |Bulldogs,2014100222,12009,2,1.6654176034640685E-4
bulldog |Bulldogs,2014100221,14828,2,1.348799568384138E-4
bulldog |Bulldogs,2014100220,15090,4,2.650762094102054E-4
bulldog |Bulldogs,2014093023,7216,1,1.385809312638581E-4
bulldog |Bulldogs,2014093020,2478,1,4.035512510088781E-4
bulldog |Bulldogs,2014093022,2524,0,0.0
bulldog |Bulldogs,2014093021,2547,0,0.0
bulldog |Bulldogs,2014100321,9080,1,1.1013215859030837E-4
bulldog |Bulldogs,2014100322,8671,0,0.0
bulldog |Bulldogs,2014100320,9381,1,1.0659844366272253E-4
bulldog |Bulldogs,2014100323,6929,0,0.0
bulldog |Bulldogs,2014100123,8836,0,0.0
bulldog |Bulldogs,2014100122,10378,2,1.927153594141453E-4
bulldog |Bulldogs,2014100121,12311,1,8.122816992933149E-5
bulldog |Bulldogs,2014100200,11724,0,0.0
bulldog |Bulldogs,2014100201,6861,0,0.0
bulldog |Bulldogs,2014100309,9997,0,0.0
bulldog |Bulldogs,2014100307,6926,0,0.0
bulldog |Bulldogs,2014100204,8387,0,0.0
bulldog |Bulldogs,2014100308,8532,1,1.1720581340834506E-4
bulldog |Bulldogs,2014100205,14882,0,0.0
bulldog |Bulldogs,2014100305,3838,0,0.0
bulldog |Bulldogs,2014100202,5853,0,0.0
bulldog |Bulldogs,2014100306,5526,0,0.0
bulldog |Bulldogs,2014100203,5613,0,0.0
bulldog |Bulldogs,2014100303,5043,0,0.0
bulldog |Bulldogs,2014100208,9640,2,2.074688796680498E-4
bulldog |Bulldogs,2014100304,4725,0,0.0
bulldog |Bulldogs,2014100209,12321,0,0.0
bulldog |Bulldogs,2014100301,4480,0,0.0
bulldog |Bulldogs,2014100206,9203,0,0.0
bulldog |Bulldogs,2014100302,8095,0,0.0
bulldog |Bulldogs,2014100207,9445,0,0.0
bulldog |Bulldogs,2014100300,6707,1,1.490979573579842E-4
bulldog |Bulldogs,2014100106,45483,0,0.0
bulldog |Bulldogs,2014100105,7742,0,0.0
bulldog |Bulldogs,2014100104,8731,0,0.0
bulldog |Bulldogs,2014100103,1127,0,0.0
bulldog |Bulldogs,2014100102,2940,0,0.0
bulldog |Bulldogs,2014100101,3598,0,0.0
bulldog |Bulldogs,2014100100,1816,0,0.0
bulldog |Bulldogs,2014100109,10999,2,1.8183471224656787E-4
bulldog |Bulldogs,2014100108,14670,0,0.0
bulldog |Bulldogs,2014100107,32104,4,1.24595066035385E-4
bulldog |Bulldogs,2014100210,10300,0,0.0
bulldog |Bulldogs,2014100211,11008,3,2.7252906976744186E-4
bulldog |Bulldogs,2014100212,11567,1,8.64528399757932E-5
bulldog |Bulldogs,2014100316,10537,0,0.0
bulldog |Bulldogs,2014100213,10976,2,1.8221574344023323E-4
bulldog |Bulldogs,2014100317,9832,21,0.0021358828315703824
bulldog |Bulldogs,2014100214,12210,1,8.19000819000819E-5
bulldog |Bulldogs,2014100318,9075,5,5.509641873278236E-4
bulldog |Bulldogs,2014100215,11832,2,1.6903313049357674E-4
bulldog |Bulldogs,2014100319,8645,3,3.470213996529786E-4
bulldog |Bulldogs,2014100216,10725,2,1.8648018648018648E-4
bulldog |Bulldogs,2014100312,10661,1,9.379983116030391E-5
bulldog |Bulldogs,2014100217,9835,0,0.0
bulldog |Bulldogs,2014100313,9887,0,0.0
bulldog |Bulldogs,2014100218,9907,3,3.028161905723226E-4
bulldog |Bulldogs,2014100314,9820,0,0.0
bulldog |Bulldogs,2014100219,11100,6,5.405405405405405E-4
bulldog |Bulldogs,2014100420,8163,4,4.900159255175794E-4
bulldog |Bulldogs,2014100315,10271,1,9.736150326161036E-5
bulldog |Bulldogs,2014100120,12122,1,8.249463784853984E-5
bulldog |Bulldogs,2014100421,8099,4,4.938881343375726E-4
bulldog |Bulldogs,2014100422,8432,2,2.3719165085388995E-4
bulldog |Bulldogs,2014100423,6306,1,1.585791309863622E-4
bulldog |Bulldogs,2014100310,10343,10,9.668374746205163E-4
bulldog |Bulldogs,2014100311,11400,2,1.7543859649122806E-4
bulldog |Bulldogs,2014100115,14152,2,1.4132278123233464E-4
bulldog |Bulldogs,2014100114,11535,2,1.7338534893801473E-4
bulldog |Bulldogs,2014100117,11365,2,1.759788825340959E-4
bulldog |Bulldogs,2014100116,10904,0,0.0
bulldog |Bulldogs,2014100111,9571,0,0.0
bulldog |Bulldogs,2014100110,9126,0,0.0
bulldog |Bulldogs,2014100823,5727,2,3.4922297887200976E-4
bulldog |Bulldogs,2014100113,11543,1,8.663259118080222E-5
bulldog |Bulldogs,2014100822,900,0,0.0
bulldog |Bulldogs,2014100112,11651,1,8.582954252853832E-5
bulldog |Bulldogs,2014100119,11403,1,8.769622029290537E-5
bulldog |Bulldogs,2014100118,10294,2,1.9428793471925395E-4
bulldog |Bulldogs,2014100604,4638,0,0.0
bulldog |Bulldogs,2014100605,8675,0,0.0
bulldog |Bulldogs,2014100700,5207,0,0.0
bulldog |Bulldogs,2014100914,3191,47,0.01472892510184895
bulldog |Bulldogs,2014100602,8176,0,0.0
bulldog |Bulldogs,2014100915,1000,10,0.01
bulldog |Bulldogs,2014100603,9384,0,0.0
bulldog |Bulldogs,2014100912,2545,0,0.0
bulldog |Bulldogs,2014100608,13680,1,7.309941520467836E-5
bulldog |Bulldogs,2014100913,6771,3,4.4306601683650863E-4
bulldog |Bulldogs,2014100609,13287,2,1.5052306766011892E-4
bulldog |Bulldogs,2014100810,6053,1,1.6520733520568312E-4
bulldog |Bulldogs,2014100606,4334,0,0.0
bulldog |Bulldogs,2014100607,6194,0,0.0
bulldog |Bulldogs,2014100707,4802,0,0.0
bulldog |Bulldogs,2014100813,7061,9,0.001274606996176179
bulldog |Bulldogs,2014100708,5400,0,0.0
bulldog |Bulldogs,2014100814,6011,3,4.990850108135085E-4
bulldog |Bulldogs,2014100705,2740,0,0.0
bulldog |Bulldogs,2014100811,6604,1,1.5142337976983646E-4
bulldog |Bulldogs,2014100706,3398,0,0.0
bulldog |Bulldogs,2014100812,5896,1,1.6960651289009497E-4
bulldog |Bulldogs,2014100817,6743,3,4.449058282663503E-4
bulldog |Bulldogs,2014100600,15771,0,0.0
bulldog |Bulldogs,2014100703,5792,0,0.0
bulldog |Bulldogs,2014100818,7400,14,0.0018918918918918919
bulldog |Bulldogs,2014100601,8669,1,1.1535355865728458E-4
bulldog |Bulldogs,2014100704,3010,0,0.0
bulldog |Bulldogs,2014100815,5628,4,7.107320540156361E-4
bulldog |Bulldogs,2014100701,13455,0,0.0
bulldog |Bulldogs,2014100816,7857,9,0.001145475372279496
bulldog |Bulldogs,2014100702,8524,0,0.0
bulldog |Bulldogs,2014100509,9287,1,1.076773985140519E-4
bulldog |Bulldogs,2014100508,6498,2,3.077870113881194E-4
bulldog |Bulldogs,2014100819,4300,2,4.6511627906976747E-4
bulldog |Bulldogs,2014100507,16911,1,5.913310862752055E-5
bulldog |Bulldogs,2014100403,6749,2,2.96340198547933E-4
bulldog |Bulldogs,2014100506,11836,0,0.0
bulldog |Bulldogs,2014100402,6613,1,1.5121729925903524E-4
bulldog |Bulldogs,2014100505,6487,0,0.0
bulldog |Bulldogs,2014100401,4570,1,2.188183807439825E-4
bulldog |Bulldogs,2014100504,3861,0,0.0
bulldog |Bulldogs,2014100400,5285,0,0.0
bulldog |Bulldogs,2014100503,4540,4,8.81057268722467E-4
bulldog |Bulldogs,2014100709,5572,1,1.7946877243359656E-4
bulldog |Bulldogs,2014100407,7111,0,0.0
bulldog |Bulldogs,2014100406,10763,0,0.0
bulldog |Bulldogs,2014100501,6148,0,0.0
bulldog |Bulldogs,2014100405,10366,0,0.0
bulldog |Bulldogs,2014100500,11540,1,8.665511265164645E-5
bulldog |Bulldogs,2014100404,3086,0,0.0
bulldog |Bulldogs,2014100409,9932,1,1.0068465565847765E-4
bulldog |Bulldogs,2014100408,10458,1,9.562057754828839E-5
bulldog |Bulldogs,2014100903,4141,0,0.0
bulldog |Bulldogs,2014100613,12260,4,3.262642740619902E-4
bulldog |Bulldogs,2014100904,4854,0,0.0
bulldog |Bulldogs,2014100614,10247,2,1.9517907680296673E-4
bulldog |Bulldogs,2014100905,7777,0,0.0
bulldog |Bulldogs,2014100615,8801,4,4.544938075218725E-4
bulldog |Bulldogs,2014100710,7431,1,1.3457139012245997E-4
bulldog |Bulldogs,2014100906,3505,0,0.0
bulldog |Bulldogs,2014100616,10833,2,1.8462106526354657E-4
bulldog |Bulldogs,2014100711,13474,14,0.0010390381475434169
bulldog |Bulldogs,2014100617,11523,3,2.603488674824265E-4
bulldog |Bulldogs,2014100900,3864,0,0.0
bulldog |Bulldogs,2014100618,10834,2,1.8460402436773122E-4
bulldog |Bulldogs,2014100901,3052,0,0.0
bulldog |Bulldogs,2014100619,10472,7,6.684491978609625E-4
bulldog |Bulldogs,2014100902,4916,0,0.0
bulldog |Bulldogs,2014100716,9756,62,0.006355063550635506
bulldog |Bulldogs,2014100800,3418,0,0.0
bulldog |Bulldogs,2014100717,12018,39,0.0032451323015476783
bulldog |Bulldogs,2014100801,4912,0,0.0
bulldog |Bulldogs,2014100718,9824,30,0.0030537459283387623
bulldog |Bulldogs,2014100802,4582,0,0.0
bulldog |Bulldogs,2014100719,8904,14,0.0015723270440251573
bulldog |Bulldogs,2014100803,4750,0,0.0
bulldog |Bulldogs,2014100712,10146,18,0.0017740981667652277
bulldog |Bulldogs,2014100804,8238,0,0.0
bulldog |Bulldogs,2014100610,8565,6,7.005253940455342E-4
bulldog |Bulldogs,2014100713,7382,9,0.001219181793551883
bulldog |Bulldogs,2014100805,6904,0,0.0
bulldog |Bulldogs,2014100611,8676,0,0.0
bulldog |Bulldogs,2014100714,9294,10,0.0010759629868732515
bulldog |Bulldogs,2014100806,7696,0,0.0
bulldog |Bulldogs,2014100612,7761,2,2.5769875016106174E-4
bulldog |Bulldogs,2014100715,8494,16,0.0018836825994819873
bulldog |Bulldogs,2014100807,6298,0,0.0
bulldog |Bulldogs,2014100519,13547,15,0.0011072562190890972
bulldog |Bulldogs,2014100809,5933,2,3.370975897522333E-4
