government |governments |Government |Governments |government,2014100223,8580,95,0.011072261072261072
government |governments |Government |Governments |government,2014100222,12009,34,0.0028312099258889166
government |governments |Government |Governments |government,2014100221,14828,37,0.0024952792015106554
government |governments |Government |Governments |government,2014100220,15090,64,0.004241219350563287
government |governments |Government |Governments |government,2014093023,7216,14,0.0019401330376940134
government |governments |Government |Governments |government,2014093020,2478,10,0.004035512510088781
government |governments |Government |Governments |government,2014093022,2524,11,0.004358161648177496
government |governments |Government |Governments |government,2014093021,2547,5,0.0019630938358853552
government |governments |Government |Governments |government,2014100321,9080,32,0.003524229074889868
government |governments |Government |Governments |government,2014100322,8671,28,0.0032291546534425094
government |governments |Government |Governments |government,2014100320,9381,41,0.004370536190171624
government |governments |Government |Governments |government,2014100323,6929,11,0.0015875306682060903
government |governments |Government |Governments |government,2014100123,8836,4,4.526935264825713E-4
government |governments |Government |Governments |government,2014100122,10378,8,7.708614376565812E-4
government |governments |Government |Governments |government,2014100121,12311,11,8.935098692226465E-4
government |governments |Government |Governments |government,2014100200,11724,4,3.41180484476288E-4
government |governments |Government |Governments |government,2014100201,6861,1,1.4575134819997084E-4
government |governments |Government |Governments |government,2014100309,9997,34,0.0034010203060918275
government |governments |Government |Governments |government,2014100307,6926,30,0.004331504475887958
government |governments |Government |Governments |government,2014100204,8387,1,1.192321449862883E-4
government |governments |Government |Governments |government,2014100308,8532,28,0.0032817627754336614
government |governments |Government |Governments |government,2014100205,14882,1,6.719526945303051E-5
government |governments |Government |Governments |government,2014100305,3838,8,0.0020844189682126106
government |governments |Government |Governments |government,2014100202,5853,0,0.0
government |governments |Government |Governments |government,2014100306,5526,11,0.0019905899384726746
government |governments |Government |Governments |government,2014100203,5613,0,0.0
government |governments |Government |Governments |government,2014100303,5043,3,5.94883997620464E-4
government |governments |Government |Governments |government,2014100208,9640,39,0.004045643153526971
government |governments |Government |Governments |government,2014100304,4725,2,4.232804232804233E-4
government |governments |Government |Governments |government,2014100209,12321,22,0.0017855693531369206
government |governments |Government |Governments |government,2014100301,4480,5,0.0011160714285714285
government |governments |Government |Governments |government,2014100206,9203,5,5.433010974682169E-4
government |governments |Government |Governments |government,2014100302,8095,4,4.941321803582458E-4
government |governments |Government |Governments |government,2014100207,9445,12,0.001270513499205929
government |governments |Government |Governments |government,2014100300,6707,24,0.0035783509765916206
government |governments |Government |Governments |government,2014100106,45483,4,8.794494646351384E-5
government |governments |Government |Governments |government,2014100105,7742,1,1.291655902867476E-4
government |governments |Government |Governments |government,2014100104,8731,2,2.290688351849731E-4
government |governments |Government |Governments |government,2014100103,1127,0,0.0
government |governments |Government |Governments |government,2014100102,2940,1,3.401360544217687E-4
government |governments |Government |Governments |government,2014100101,3598,0,0.0
government |governments |Government |Governments |government,2014100100,1816,1,5.506607929515419E-4
government |governments |Government |Governments |government,2014100109,10999,32,0.002909355395945086
government |governments |Government |Governments |government,2014100108,14670,53,0.003612815269256987
government |governments |Government |Governments |government,2014100107,32104,23,7.164216297034637E-4
government |governments |Government |Governments |government,2014100210,10300,26,0.002524271844660194
government |governments |Government |Governments |government,2014100211,11008,43,0.00390625
government |governments |Government |Governments |government,2014100212,11567,51,0.0044090948387654535
government |governments |Government |Governments |government,2014100316,10537,12,0.0011388440732656353
government |governments |Government |Governments |government,2014100213,10976,15,0.0013666180758017492
government |governments |Government |Governments |government,2014100317,9832,26,0.0026444263628966637
government |governments |Government |Governments |government,2014100214,12210,24,0.0019656019656019656
government |governments |Government |Governments |government,2014100318,9075,27,0.0029752066115702478
government |governments |Government |Governments |government,2014100215,11832,24,0.002028397565922921
government |governments |Government |Governments |government,2014100319,8645,23,0.0026604973973395024
government |governments |Government |Governments |government,2014100216,10725,42,0.003916083916083916
government |governments |Government |Governments |government,2014100312,10661,50,0.004689991558015196
government |governments |Government |Governments |government,2014100217,9835,57,0.005795627859684799
government |governments |Government |Governments |government,2014100313,9887,22,0.002225144128653788
government |governments |Government |Governments |government,2014100218,9907,31,0.0031291006359140004
government |governments |Government |Governments |government,2014100314,9820,47,0.004786150712830957
government |governments |Government |Governments |government,2014100219,11100,27,0.0024324324324324323
government |governments |Government |Governments |government,2014100420,8163,14,0.0017150557393115276
government |governments |Government |Governments |government,2014100315,10271,19,0.0018498685619705967
government |governments |Government |Governments |government,2014100120,12122,10,8.249463784853984E-4
government |governments |Government |Governments |government,2014100421,8099,5,6.173601679219657E-4
government |governments |Government |Governments |government,2014100422,8432,14,0.0016603415559772296
government |governments |Government |Governments |government,2014100423,6306,6,9.514747859181732E-4
government |governments |Government |Governments |government,2014100310,10343,34,0.0032872474137097553
government |governments |Government |Governments |government,2014100311,11400,33,0.0028947368421052633
government |governments |Government |Governments |government,2014100115,14152,12,8.479366873940079E-4
government |governments |Government |Governments |government,2014100114,11535,15,0.0013003901170351106
government |governments |Government |Governments |government,2014100117,11365,14,0.0012318521777386713
government |governments |Government |Governments |government,2014100116,10904,14,0.0012839325018341892
government |governments |Government |Governments |government,2014100111,9571,11,0.0011493051927698255
government |governments |Government |Governments |government,2014100110,9126,30,0.003287310979618672
government |governments |Government |Governments |government,2014100823,5727,3,5.238344683080147E-4
government |governments |Government |Governments |government,2014100113,11543,36,0.00311877328250888
government |governments |Government |Governments |government,2014100822,900,2,0.0022222222222222222
government |governments |Government |Governments |government,2014100112,11651,22,0.001888249935627843
government |governments |Government |Governments |government,2014100119,11403,12,0.0010523546435148646
government |governments |Government |Governments |government,2014100118,10294,11,0.0010685836409558966
government |governments |Government |Governments |government,2014100604,4638,2,4.3122035360068997E-4
government |governments |Government |Governments |government,2014100605,8675,4,4.610951008645533E-4
government |governments |Government |Governments |government,2014100700,5207,1,1.9204916458613405E-4
government |governments |Government |Governments |government,2014100914,3191,2,6.267627702914447E-4
government |governments |Government |Governments |government,2014100602,8176,2,2.446183953033268E-4
government |governments |Government |Governments |government,2014100915,1000,1,0.001
government |governments |Government |Governments |government,2014100603,9384,2,2.1312872975277067E-4
government |governments |Government |Governments |government,2014100912,2545,1,3.929273084479371E-4
government |governments |Government |Governments |government,2014100608,13680,34,0.0024853801169590645
government |governments |Government |Governments |government,2014100913,6771,6,8.861320336730173E-4
government |governments |Government |Governments |government,2014100609,13287,27,0.0020320614134116052
government |governments |Government |Governments |government,2014100810,6053,18,0.0029737320337022964
government |governments |Government |Governments |government,2014100606,4334,2,4.6146746654360867E-4
government |governments |Government |Governments |government,2014100607,6194,4,6.457862447529867E-4
government |governments |Government |Governments |government,2014100707,4802,16,0.003331945022907122
government |governments |Government |Governments |government,2014100813,7061,20,0.00283245999150262
government |governments |Government |Governments |government,2014100708,5400,20,0.003703703703703704
government |governments |Government |Governments |government,2014100814,6011,15,0.002495425054067543
government |governments |Government |Governments |government,2014100705,2740,0,0.0
government |governments |Government |Governments |government,2014100811,6604,16,0.0024227740763173833
government |governments |Government |Governments |government,2014100706,3398,2,5.885815185403178E-4
government |governments |Government |Governments |government,2014100812,5896,24,0.004070556309362279
government |governments |Government |Governments |government,2014100817,6743,15,0.0022245291413317513
government |governments |Government |Governments |government,2014100600,15771,20,0.0012681504026377528
government |governments |Government |Governments |government,2014100703,5792,2,3.453038674033149E-4
government |governments |Government |Governments |government,2014100818,7400,13,0.0017567567567567568
government |governments |Government |Governments |government,2014100601,8669,5,5.767677932864229E-4
government |governments |Government |Governments |government,2014100704,3010,0,0.0
government |governments |Government |Governments |government,2014100815,5628,11,0.0019545131485429993
government |governments |Government |Governments |government,2014100701,13455,3,2.229654403567447E-4
government |governments |Government |Governments |government,2014100816,7857,7,8.909252895507191E-4
government |governments |Government |Governments |government,2014100702,8524,0,0.0
government |governments |Government |Governments |government,2014100509,9287,14,0.0015074835791967266
government |governments |Government |Governments |government,2014100508,6498,8,0.0012311480455524776
government |governments |Government |Governments |government,2014100819,4300,16,0.0037209302325581397
government |governments |Government |Governments |government,2014100507,16911,3,1.7739932588256165E-4
government |governments |Government |Governments |government,2014100403,6749,2,2.96340198547933E-4
government |governments |Government |Governments |government,2014100506,11836,0,0.0
government |governments |Government |Governments |government,2014100402,6613,6,9.073037955542114E-4
government |governments |Government |Governments |government,2014100505,6487,2,3.083089255433945E-4
government |governments |Government |Governments |government,2014100401,4570,7,0.0015317286652078775
government |governments |Government |Governments |government,2014100504,3861,0,0.0
government |governments |Government |Governments |government,2014100400,5285,3,5.676442762535478E-4
government |governments |Government |Governments |government,2014100503,4540,4,8.81057268722467E-4
government |governments |Government |Governments |government,2014100709,5572,26,0.00466618808327351
government |governments |Government |Governments |government,2014100407,7111,12,0.0016875263675994938
government |governments |Government |Governments |government,2014100406,10763,1,9.2910898448388E-5
government |governments |Government |Governments |government,2014100501,6148,1,1.6265452179570593E-4
government |governments |Government |Governments |government,2014100405,10366,2,1.9293845263360988E-4
government |governments |Government |Governments |government,2014100500,11540,2,1.733102253032929E-4
government |governments |Government |Governments |government,2014100404,3086,0,0.0
government |governments |Government |Governments |government,2014100409,9932,41,0.004128070881997584
government |governments |Government |Governments |government,2014100408,10458,65,0.006215337540638745
government |governments |Government |Governments |government,2014100903,4141,0,0.0
government |governments |Government |Governments |government,2014100613,12260,16,0.0013050570962479609
government |governments |Government |Governments |government,2014100904,4854,1,2.0601565718994644E-4
government |governments |Government |Governments |government,2014100614,10247,44,0.004293939689665268
government |governments |Government |Governments |government,2014100905,7777,2,2.5716857400025716E-4
government |governments |Government |Governments |government,2014100615,8801,26,0.0029542097488921715
government |governments |Government |Governments |government,2014100710,7431,16,0.0021531422419593595
government |governments |Government |Governments |government,2014100906,3505,4,0.0011412268188302425
government |governments |Government |Governments |government,2014100616,10833,12,0.0011077263915812794
government |governments |Government |Governments |government,2014100711,13474,27,0.0020038592845480186
government |governments |Government |Governments |government,2014100617,11523,13,0.0011281784257571813
government |governments |Government |Governments |government,2014100900,3864,9,0.002329192546583851
government |governments |Government |Governments |government,2014100618,10834,15,0.0013845301827579842
government |governments |Government |Governments |government,2014100901,3052,1,3.27653997378768E-4
government |governments |Government |Governments |government,2014100619,10472,11,0.0010504201680672268
government |governments |Government |Governments |government,2014100902,4916,1,2.034174125305126E-4
government |governments |Government |Governments |government,2014100716,9756,21,0.002152521525215252
government |governments |Government |Governments |government,2014100800,3418,6,0.0017554125219426564
government |governments |Government |Governments |government,2014100717,12018,16,0.0013313363288400732
government |governments |Government |Governments |government,2014100801,4912,4,8.143322475570033E-4
government |governments |Government |Governments |government,2014100718,9824,18,0.0018322475570032573
government |governments |Government |Governments |government,2014100802,4582,3,6.547359231776517E-4
government |governments |Government |Governments |government,2014100719,8904,27,0.003032345013477089
government |governments |Government |Governments |government,2014100803,4750,1,2.105263157894737E-4
government |governments |Government |Governments |government,2014100712,10146,41,0.00404100137985413
government |governments |Government |Governments |government,2014100804,8238,2,2.4277737314882253E-4
government |governments |Government |Governments |government,2014100610,8565,17,0.00198482194979568
government |governments |Government |Governments |government,2014100713,7382,24,0.003251151449471688
government |governments |Government |Governments |government,2014100805,6904,10,0.0014484356894553883
government |governments |Government |Governments |government,2014100611,8676,10,0.001152604887044721
government |governments |Government |Governments |government,2014100714,9294,15,0.0016139444803098773
government |governments |Government |Governments |government,2014100806,7696,4,5.197505197505198E-4
government |governments |Government |Governments |government,2014100612,7761,21,0.002705836876691148
government |governments |Government |Governments |government,2014100715,8494,16,0.0018836825994819873
government |governments |Government |Governments |government,2014100807,6298,8,0.0012702445220704986
government |governments |Government |Governments |government,2014100519,13547,12,8.858049752712778E-4
government |governments |Government |Governments |government,2014100809,5933,19,0.003202427102646216
government |governments |Government |Governments |government,2014100518,12589,8,6.354754150448804E-4
government |governments |Government |Governments |government,2014100808,7916,14,0.0017685699848408287
government |governments |Government |Governments |government,2014100410,8297,42,0.005062070627937809
government |governments |Government |Governments |government,2014100412,8252,16,0.0019389238972370335
government |governments |Government |Governments |government,2014100515,6526,4,6.129328838492185E-4
government |governments |Government |Governments |government,2014100411,8736,11,0.0012591575091575092
government |governments |Government |Governments |government,2014100514,7337,8,0.0010903639089546136
government |governments |Government |Governments |government,2014100414,8029,13,0.0016191306513887158
government |governments |Government |Governments |government,2014100517,16635,5,3.0057108506161706E-4
government |governments |Government |Governments |government,2014100413,7649,7,9.151523074911753E-4
government |governments |Government |Governments |government,2014100516,7164,8,0.0011166945840312675
government |governments |Government |Governments |government,2014100416,8535,24,0.00281195079086116
government |governments |Government |Governments |government,2014100511,8203,9,0.001097159575764964
government |governments |Government |Governments |government,2014100415,9288,5,5.383290267011198E-4
government |governments |Government |Governments |government,2014100510,7389,12,0.0016240357287860333
government |governments |Government |Governments |government,2014100418,8794,29,0.003297702979304071
government |governments |Government |Governments |government,2014100513,8653,6,6.934011325551831E-4
government |governments |Government |Governments |government,2014100417,9001,32,0.0035551605377180315
government |governments |Government |Governments |government,2014100512,7658,9,0.0011752415774353617
government |governments |Government |Governments |government,2014100908,14247,6,4.211412929037692E-4
government |governments |Government |Governments |government,2014100907,7751,4,5.160624435556702E-4
government |governments |Government |Governments |government,2014100419,8630,15,0.0017381228273464658
government |governments |Government |Governments |government,2014100909,1000,1,0.001
government |governments |Government |Governments |government,2014100721,11447,30,0.0026207740019219008
government |governments |Government |Governments |government,2014100722,8294,28,0.003375934410417169
government |governments |Government |Governments |government,2014100720,10198,18,0.001765051970974701
government |governments |Government |Governments |government,2014100723,5300,13,0.0024528301886792454
government |governments |Government |Governments |government,2014100520,14801,18,0.0012161340449969597
government |governments |Government |Governments |government,2014100523,12605,17,0.0013486711622372075
government |governments |Government |Governments |government,2014100522,10915,3,2.7485112230874945E-4
government |governments |Government |Governments |government,2014100521,14363,36,0.0025064401587412103
government |governments |Government |Governments |government,2014100623,8800,9,0.0010227272727272728
government |governments |Government |Governments |government,2014100622,9000,24,0.0026666666666666666
government |governments |Government |Governments |government,2014100621,9007,27,0.002997668480071056
government |governments |Government |Governments |government,2014100620,8998,5,5.556790397866192E-4
government |governments |Government |Governments |government,2014093011,9741,28,0.002874448208602813
government |governments |Government |Governments |government,2014093012,11191,14,0.0012510052720936468
government |governments |Government |Governments |government,2014093013,5267,14,0.0026580596164799694
government |governments |Government |Governments |government,2014093017,3899,21,0.005385996409335727
government |governments |Government |Governments |government,2014093018,99,0,0.0
