building |building |buildings,2014100223,8580,2,2.331002331002331E-4
building |building |buildings,2014100222,12009,4,3.330835206928137E-4
building |building |buildings,2014100221,14828,6,4.046398705152414E-4
building |building |buildings,2014100220,15090,16,0.0010603048376408217
building |building |buildings,2014093023,7216,5,6.929046563192905E-4
building |building |buildings,2014093020,2478,2,8.071025020177562E-4
building |building |buildings,2014093022,2524,1,3.961965134706815E-4
building |building |buildings,2014093021,2547,7,0.0027483313702394976
building |building |buildings,2014100321,9080,5,5.506607929515419E-4
building |building |buildings,2014100322,8671,4,4.613078076346442E-4
building |building |buildings,2014100320,9381,6,6.395906619763352E-4
building |building |buildings,2014100323,6929,2,2.886419396738346E-4
building |building |buildings,2014100123,8836,9,0.0010185604345857855
building |building |buildings,2014100122,10378,13,0.0012526498361919445
building |building |buildings,2014100121,12311,18,0.001462107058727967
building |building |buildings,2014100200,11724,10,8.529512111907199E-4
building |building |buildings,2014100201,6861,3,4.3725404459991256E-4
building |building |buildings,2014100309,9997,16,0.001600480144043213
building |building |buildings,2014100307,6926,4,5.775339301183945E-4
building |building |buildings,2014100204,8387,0,0.0
building |building |buildings,2014100308,8532,8,9.376465072667605E-4
building |building |buildings,2014100205,14882,1,6.719526945303051E-5
building |building |buildings,2014100305,3838,2,5.211047420531526E-4
building |building |buildings,2014100202,5853,1,1.7085255424568598E-4
building |building |buildings,2014100306,5526,2,3.619254433586681E-4
building |building |buildings,2014100203,5613,2,3.563156957063959E-4
building |building |buildings,2014100303,5043,1,1.98294665873488E-4
building |building |buildings,2014100208,9640,11,0.001141078838174274
building |building |buildings,2014100304,4725,7,0.0014814814814814814
building |building |buildings,2014100209,12321,19,0.0015420826231637042
building |building |buildings,2014100301,4480,0,0.0
building |building |buildings,2014100206,9203,4,4.346408779745735E-4
building |building |buildings,2014100302,8095,1,1.2353304508956145E-4
building |building |buildings,2014100207,9445,7,7.41132874536792E-4
building |building |buildings,2014100300,6707,4,5.963918294319368E-4
building |building |buildings,2014100106,45483,4,8.794494646351384E-5
building |building |buildings,2014100105,7742,0,0.0
building |building |buildings,2014100104,8731,0,0.0
building |building |buildings,2014100103,1127,0,0.0
building |building |buildings,2014100102,2940,4,0.0013605442176870747
building |building |buildings,2014100101,3598,18,0.005002779321845469
building |building |buildings,2014100100,1816,2,0.0011013215859030838
building |building |buildings,2014100109,10999,19,0.0017274297663423949
building |building |buildings,2014100108,14670,16,0.0010906612133606
building |building |buildings,2014100107,32104,6,1.868925990530775E-4
building |building |buildings,2014100210,10300,17,0.0016504854368932038
building |building |buildings,2014100211,11008,24,0.002180232558139535
building |building |buildings,2014100212,11567,24,0.002074868159419037
building |building |buildings,2014100316,10537,12,0.0011388440732656353
building |building |buildings,2014100213,10976,20,0.0018221574344023323
building |building |buildings,2014100317,9832,8,8.136696501220504E-4
building |building |buildings,2014100214,12210,28,0.002293202293202293
building |building |buildings,2014100318,9075,7,7.713498622589532E-4
building |building |buildings,2014100215,11832,15,0.0012677484787018255
building |building |buildings,2014100319,8645,9,0.0010410641989589359
building |building |buildings,2014100216,10725,15,0.0013986013986013986
building |building |buildings,2014100312,10661,7,6.565988181221273E-4
building |building |buildings,2014100217,9835,16,0.001626842907981698
building |building |buildings,2014100313,9887,4,4.0457165975523417E-4
building |building |buildings,2014100218,9907,9,9.084485717169678E-4
building |building |buildings,2014100314,9820,17,0.0017311608961303462
building |building |buildings,2014100219,11100,13,0.0011711711711711711
building |building |buildings,2014100420,8163,5,6.125199068969741E-4
building |building |buildings,2014100315,10271,6,5.841690195696621E-4
building |building |buildings,2014100120,12122,16,0.0013199142055766375
building |building |buildings,2014100421,8099,5,6.173601679219657E-4
building |building |buildings,2014100422,8432,4,4.743833017077799E-4
building |building |buildings,2014100423,6306,1,1.585791309863622E-4
building |building |buildings,2014100310,10343,14,0.0013535724644687227
building |building |buildings,2014100311,11400,13,0.0011403508771929824
building |building |buildings,2014100115,14152,21,0.0014838892029395139
building |building |buildings,2014100114,11535,19,0.00164716081491114
building |building |buildings,2014100117,11365,4,3.519577650681918E-4
building |building |buildings,2014100116,10904,12,0.0011005135730007337
building |building |buildings,2014100111,9571,16,0.0016717166440288372
