industry |industry |Industry,2014100223,8580,2,2.331002331002331E-4
industry |industry |Industry,2014100222,12009,5,4.1635440086601716E-4
industry |industry |Industry,2014100221,14828,5,3.371998920960345E-4
industry |industry |Industry,2014100220,15090,17,0.0011265738899933731
industry |industry |Industry,2014093023,7216,3,4.157427937915743E-4
industry |industry |Industry,2014093020,2478,3,0.0012106537530266344
industry |industry |Industry,2014093022,2524,2,7.92393026941363E-4
industry |industry |Industry,2014093021,2547,2,7.852375343541421E-4
industry |industry |Industry,2014100321,9080,5,5.506607929515419E-4
industry |industry |Industry,2014100322,8671,3,3.4598085572598315E-4
industry |industry |Industry,2014100320,9381,10,0.0010659844366272253
industry |industry |Industry,2014100323,6929,2,2.886419396738346E-4
industry |industry |Industry,2014100123,8836,1,1.1317338162064282E-4
industry |industry |Industry,2014100122,10378,7,6.745037579495086E-4
industry |industry |Industry,2014100121,12311,13,0.0010559662090813093
industry |industry |Industry,2014100200,11724,4,3.41180484476288E-4
industry |industry |Industry,2014100201,6861,2,2.915026963999417E-4
industry |industry |Industry,2014100309,9997,13,0.0013003901170351106
industry |industry |Industry,2014100307,6926,10,0.0014438348252959862
industry |industry |Industry,2014100204,8387,1,1.192321449862883E-4
industry |industry |Industry,2014100308,8532,11,0.0012892639474917957
industry |industry |Industry,2014100205,14882,1,6.719526945303051E-5
industry |industry |Industry,2014100305,3838,0,0.0
industry |industry |Industry,2014100202,5853,0,0.0
industry |industry |Industry,2014100306,5526,2,3.619254433586681E-4
industry |industry |Industry,2014100203,5613,1,1.7815784785319794E-4
industry |industry |Industry,2014100303,5043,0,0.0
industry |industry |Industry,2014100208,9640,3,3.1120331950207467E-4
industry |industry |Industry,2014100304,4725,0,0.0
industry |industry |Industry,2014100209,12321,14,0.0011362714065416767
industry |industry |Industry,2014100301,4480,1,2.232142857142857E-4
industry |industry |Industry,2014100206,9203,2,2.1732043898728675E-4
industry |industry |Industry,2014100302,8095,1,1.2353304508956145E-4
industry |industry |Industry,2014100207,9445,2,2.1175224986765483E-4
industry |industry |Industry,2014100300,6707,1,1.490979573579842E-4
industry |industry |Industry,2014100106,45483,1,2.198623661587846E-5
industry |industry |Industry,2014100105,7742,0,0.0
industry |industry |Industry,2014100104,8731,0,0.0
industry |industry |Industry,2014100103,1127,0,0.0
industry |industry |Industry,2014100102,2940,0,0.0
industry |industry |Industry,2014100101,3598,1,2.7793218454697053E-4
industry |industry |Industry,2014100100,1816,1,5.506607929515419E-4
industry |industry |Industry,2014100109,10999,8,7.273388489862715E-4
industry |industry |Industry,2014100108,14670,7,4.7716428084526244E-4
industry |industry |Industry,2014100107,32104,1,3.114876650884625E-5
industry |industry |Industry,2014100210,10300,16,0.0015533980582524273
industry |industry |Industry,2014100211,11008,12,0.0010901162790697674
industry |industry |Industry,2014100212,11567,3,2.5935851992737964E-4
industry |industry |Industry,2014100316,10537,14,0.001328651418809908
industry |industry |Industry,2014100213,10976,8,7.288629737609329E-4
industry |industry |Industry,2014100317,9832,19,0.0019324654190398698
industry |industry |Industry,2014100214,12210,9,7.371007371007371E-4
industry |industry |Industry,2014100318,9075,3,3.3057851239669424E-4
industry |industry |Industry,2014100215,11832,5,4.2258282623394185E-4
industry |industry |Industry,2014100319,8645,6,6.940427993059572E-4
industry |industry |Industry,2014100216,10725,17,0.001585081585081585
industry |industry |Industry,2014100312,10661,25,0.002344995779007598
industry |industry |Industry,2014100217,9835,7,7.117437722419929E-4
industry |industry |Industry,2014100313,9887,8,8.091433195104683E-4
industry |industry |Industry,2014100218,9907,11,0.0011103260320985161
industry |industry |Industry,2014100314,9820,12,0.0012219959266802445
industry |industry |Industry,2014100219,11100,4,3.6036036036036037E-4
industry |industry |Industry,2014100420,8163,1,1.2250398137939484E-4
industry |industry |Industry,2014100315,10271,22,0.002141953071755428
industry |industry |Industry,2014100120,12122,9,7.424517406368586E-4
industry |industry |Industry,2014100421,8099,2,2.469440671687863E-4
industry |industry |Industry,2014100422,8432,2,2.3719165085388995E-4
industry |industry |Industry,2014100423,6306,1,1.585791309863622E-4
industry |industry |Industry,2014100310,10343,11,0.0010635212220825678
industry |industry |Industry,2014100311,11400,8,7.017543859649122E-4
industry |industry |Industry,2014100115,14152,7,4.946297343131713E-4
industry |industry |Industry,2014100114,11535,13,0.0011270047680970957
industry |industry |Industry,2014100117,11365,11,9.678838539375275E-4
industry |industry |Industry,2014100116,10904,8,7.336757153338225E-4
industry |industry |Industry,2014100111,9571,10,0.0010448229025180231
industry |industry |Industry,2014100110,9126,6,6.574621959237344E-4
industry |industry |Industry,2014100823,5727,1,1.7461148943600488E-4
industry |industry |Industry,2014100113,11543,7,6.064281382656155E-4
industry |industry |Industry,2014100822,900,1,0.0011111111111111111
industry |industry |Industry,2014100112,11651,7,6.008067976997683E-4
industry |industry |Industry,2014100119,11403,11,9.646584232219592E-4
industry |industry |Industry,2014100118,10294,2,1.9428793471925395E-4
industry |industry |Industry,2014100604,4638,1,2.1561017680034498E-4
industry |industry |Industry,2014100605,8675,0,0.0
industry |industry |Industry,2014100700,5207,3,5.761474937584022E-4
industry |industry |Industry,2014100914,3191,3,9.40144155437167E-4
industry |industry |Industry,2014100602,8176,0,0.0
industry |industry |Industry,2014100915,1000,0,0.0
industry |industry |Industry,2014100603,9384,1,1.0656436487638534E-4
industry |industry |Industry,2014100912,2545,3,0.0011787819253438114
industry |industry |Industry,2014100608,13680,2,1.4619883040935673E-4
industry |industry |Industry,2014100913,6771,4,5.907546891153448E-4
industry |industry |Industry,2014100609,13287,5,3.763076691502973E-4
industry |industry |Industry,2014100810,6053,3,4.956220056170494E-4
industry |industry |Industry,2014100606,4334,1,2.3073373327180433E-4
industry |industry |Industry,2014100607,6194,2,3.2289312237649337E-4
