area |area |areas,2014100223,8580,5,5.827505827505828E-4
area |area |areas,2014100222,12009,7,5.82896161212424E-4
area |area |areas,2014100221,14828,6,4.046398705152414E-4
area |area |areas,2014100220,15090,10,6.626905235255136E-4
area |area |areas,2014093023,7216,2,2.771618625277162E-4
area |area |areas,2014093020,2478,2,8.071025020177562E-4
area |area |areas,2014093022,2524,2,7.92393026941363E-4
area |area |areas,2014093021,2547,0,0.0
area |area |areas,2014100321,9080,5,5.506607929515419E-4
area |area |areas,2014100322,8671,7,8.072886633606274E-4
area |area |areas,2014100320,9381,3,3.197953309881676E-4
area |area |areas,2014100323,6929,7,0.001010246788858421
area |area |areas,2014100123,8836,3,3.395201448619285E-4
area |area |areas,2014100122,10378,15,0.0014453651956060898
area |area |areas,2014100121,12311,6,4.8736901957598897E-4
area |area |areas,2014100200,11724,0,0.0
area |area |areas,2014100201,6861,2,2.915026963999417E-4
area |area |areas,2014100309,9997,11,0.001100330099029709
area |area |areas,2014100307,6926,2,2.8876696505919725E-4
area |area |areas,2014100204,8387,1,1.192321449862883E-4
area |area |areas,2014100308,8532,4,4.6882325363338024E-4
area |area |areas,2014100205,14882,0,0.0
area |area |areas,2014100305,3838,0,0.0
area |area |areas,2014100202,5853,4,6.834102169827439E-4
area |area |areas,2014100306,5526,1,1.8096272167933406E-4
area |area |areas,2014100203,5613,1,1.7815784785319794E-4
area |area |areas,2014100303,5043,2,3.96589331746976E-4
area |area |areas,2014100208,9640,11,0.001141078838174274
area |area |areas,2014100304,4725,0,0.0
area |area |areas,2014100209,12321,9,7.304601899196494E-4
area |area |areas,2014100301,4480,0,0.0
area |area |areas,2014100206,9203,1,1.0866021949364337E-4
area |area |areas,2014100302,8095,0,0.0
area |area |areas,2014100207,9445,4,4.2350449973530967E-4
area |area |areas,2014100300,6707,3,4.472938720739526E-4
area |area |areas,2014100106,45483,1,2.198623661587846E-5
area |area |areas,2014100105,7742,0,0.0
area |area |areas,2014100104,8731,0,0.0
area |area |areas,2014100103,1127,0,0.0
area |area |areas,2014100102,2940,1,3.401360544217687E-4
area |area |areas,2014100101,3598,1,2.7793218454697053E-4
area |area |areas,2014100100,1816,1,5.506607929515419E-4
area |area |areas,2014100109,10999,6,5.455041367397036E-4
area |area |areas,2014100108,14670,1,6.81663258350375E-5
area |area |areas,2014100107,32104,4,1.24595066035385E-4
area |area |areas,2014100210,10300,6,5.825242718446602E-4
area |area |areas,2014100211,11008,11,9.992732558139535E-4
area |area |areas,2014100212,11567,7,6.051698798305524E-4
area |area |areas,2014100316,10537,2,1.8980734554427256E-4
area |area |areas,2014100213,10976,8,7.288629737609329E-4
area |area |areas,2014100317,9832,2,2.034174125305126E-4
area |area |areas,2014100214,12210,7,5.733005733005733E-4
area |area |areas,2014100318,9075,2,2.2038567493112948E-4
area |area |areas,2014100215,11832,6,5.070993914807302E-4
area |area |areas,2014100319,8645,3,3.470213996529786E-4
area |area |areas,2014100216,10725,8,7.459207459207459E-4
area |area |areas,2014100312,10661,10,9.379983116030392E-4
area |area |areas,2014100217,9835,3,3.050330452465684E-4
area |area |areas,2014100313,9887,15,0.0015171437240821281
area |area |areas,2014100218,9907,11,0.0011103260320985161
area |area |areas,2014100314,9820,9,9.164969450101833E-4
area |area |areas,2014100219,11100,16,0.0014414414414414415
area |area |areas,2014100420,8163,2,2.450079627587897E-4
area |area |areas,2014100315,10271,9,8.762535293544932E-4
area |area |areas,2014100120,12122,5,4.124731892426992E-4
area |area |areas,2014100421,8099,1,1.2347203358439315E-4
area |area |areas,2014100422,8432,3,3.557874762808349E-4
area |area |areas,2014100423,6306,2,3.171582619727244E-4
area |area |areas,2014100310,10343,17,0.0016436237068548777
area |area |areas,2014100311,11400,14,0.0012280701754385965
area |area |areas,2014100115,14152,6,4.2396834369700395E-4
area |area |areas,2014100114,11535,10,8.669267446900737E-4
area |area |areas,2014100117,11365,6,5.279366476022878E-4
area |area |areas,2014100116,10904,5,4.58547322083639E-4
area |area |areas,2014100111,9571,12,0.0012537874830216278
area |area |areas,2014100110,9126,5,5.478851632697787E-4
area |area |areas,2014100823,5727,2,3.4922297887200976E-4
area |area |areas,2014100113,11543,18,0.00155938664125444
area |area |areas,2014100822,900,0,0.0
area |area |areas,2014100112,11651,3,2.57488627585615E-4
area |area |areas,2014100119,11403,15,0.0013154433043935806
area |area |areas,2014100118,10294,3,2.914319020788809E-4
area |area |areas,2014100604,4638,1,2.1561017680034498E-4
area |area |areas,2014100605,8675,1,1.1527377521613833E-4
area |area |areas,2014100700,5207,1,1.9204916458613405E-4
area |area |areas,2014100914,3191,3,9.40144155437167E-4
area |area |areas,2014100602,8176,8,9.784735812133072E-4
area |area |areas,2014100915,1000,1,0.001
area |area |areas,2014100603,9384,1,1.0656436487638534E-4
area |area |areas,2014100912,2545,0,0.0
area |area |areas,2014100608,13680,2,1.4619883040935673E-4
area |area |areas,2014100913,6771,4,5.907546891153448E-4
area |area |areas,2014100609,13287,3,2.2578460149017836E-4
area |area |areas,2014100810,6053,4,6.608293408227325E-4
area |area |areas,2014100606,4334,1,2.3073373327180433E-4
area |area |areas,2014100607,6194,3,4.8433968356474005E-4
area |area |areas,2014100707,4802,2,4.1649312786339027E-4
area |area |areas,2014100813,7061,6,8.49737997450786E-4
area |area |areas,2014100708,5400,3,5.555555555555556E-4
area |area |areas,2014100814,6011,4,6.654466810846781E-4
area |area |areas,2014100705,2740,0,0.0
area |area |areas,2014100811,6604,5,7.571168988491823E-4
area |area |areas,2014100706,3398,0,0.0
area |area |areas,2014100812,5896,1,1.6960651289009497E-4
area |area |areas,2014100817,6743,8,0.0011864155420436007
area |area |areas,2014100600,15771,3,1.9022256039566293E-4
area |area |areas,2014100703,5792,1,1.7265193370165745E-4
area |area |areas,2014100818,7400,6,8.108108108108108E-4
area |area |areas,2014100601,8669,28,0.003229899642403968
area |area |areas,2014100704,3010,0,0.0
area |area |areas,2014100815,5628,4,7.107320540156361E-4
area |area |areas,2014100701,13455,2,1.4864362690449647E-4
area |area |areas,2014100816,7857,7,8.909252895507191E-4
area |area |areas,2014100702,8524,3,3.519474425152511E-4
area |area |areas,2014100509,9287,6,6.460643910843114E-4
area |area |areas,2014100508,6498,0,0.0
area |area |areas,2014100819,4300,6,0.0013953488372093023
area |area |areas,2014100507,16911,0,0.0
area |area |areas,2014100403,6749,1,1.481700992739665E-4
area |area |areas,2014100506,11836,0,0.0
area |area |areas,2014100402,6613,1,1.5121729925903524E-4
area |area |areas,2014100505,6487,4,6.16617851086789E-4
area |area |areas,2014100401,4570,1,2.188183807439825E-4
area |area |areas,2014100504,3861,33,0.008547008547008548
area |area |areas,2014100400,5285,1,1.892147587511826E-4
area |area |areas,2014100503,4540,2,4.405286343612335E-4
area |area |areas,2014100709,5572,2,3.589375448671931E-4
area |area |areas,2014100407,7111,2,2.812543945999156E-4
area |area |areas,2014100406,10763,1,9.2910898448388E-5
area |area |areas,2014100501,6148,3,4.8796356538711777E-4
area |area |areas,2014100405,10366,2,1.9293845263360988E-4
area |area |areas,2014100500,11540,0,0.0
area |area |areas,2014100404,3086,0,0.0
area |area |areas,2014100409,9932,1,1.0068465565847765E-4
area |area |areas,2014100408,10458,9,8.605851979345956E-4
area |area |areas,2014100903,4141,2,4.829751267809708E-4
area |area |areas,2014100613,12260,8,6.525285481239804E-4
area |area |areas,2014100904,4854,0,0.0
area |area |areas,2014100614,10247,2,1.9517907680296673E-4
area |area |areas,2014100905,7777,0,0.0
area |area |areas,2014100615,8801,4,4.544938075218725E-4
area |area |areas,2014100710,7431,7,9.419997308572198E-4
area |area |areas,2014100906,3505,2,5.706134094151213E-4
area |area |areas,2014100616,10833,2,1.8462106526354657E-4
area |area |areas,2014100711,13474,2,1.4843402107763098E-4
area |area |areas,2014100617,11523,9,7.810466024472793E-4
area |area |areas,2014100900,3864,4,0.0010351966873706005
area |area |areas,2014100618,10834,10,9.230201218386561E-4
area |area |areas,2014100901,3052,6,0.001965923984272608
area |area |areas,2014100619,10472,6,5.729564553093965E-4
area |area |areas,2014100902,4916,3,6.102522375915378E-4
area |area |areas,2014100716,9756,9,9.225092250922509E-4
area |area |areas,2014100800,3418,1,2.925687536571094E-4
area |area |areas,2014100717,12018,6,4.992511233150275E-4
area |area |areas,2014100801,4912,1,2.0358306188925082E-4
area |area |areas,2014100718,9824,6,6.107491856677524E-4
area |area |areas,2014100802,4582,1,2.1824530772588389E-4
area |area |areas,2014100719,8904,5,5.615453728661276E-4
area |area |areas,2014100803,4750,1,2.105263157894737E-4
area |area |areas,2014100712,10146,6,5.913660555884093E-4
