plastic |plastic,2014100223,8580,0,0.0
plastic |plastic,2014100222,12009,4,3.330835206928137E-4
plastic |plastic,2014100221,14828,9,6.069598057728622E-4
plastic |plastic,2014100220,15090,9,5.964214711729623E-4
plastic |plastic,2014093023,7216,2,2.771618625277162E-4
plastic |plastic,2014093020,2478,0,0.0
plastic |plastic,2014093022,2524,1,3.961965134706815E-4
plastic |plastic,2014093021,2547,0,0.0
plastic |plastic,2014100321,9080,3,3.303964757709251E-4
plastic |plastic,2014100322,8671,1,1.1532695190866105E-4
plastic |plastic,2014100320,9381,7,7.461891056390577E-4
plastic |plastic,2014100323,6929,1,1.443209698369173E-4
plastic |plastic,2014100123,8836,0,0.0
plastic |plastic,2014100122,10378,4,3.854307188282906E-4
plastic |plastic,2014100121,12311,0,0.0
plastic |plastic,2014100200,11724,0,0.0
plastic |plastic,2014100201,6861,0,0.0
plastic |plastic,2014100309,9997,1,1.0003000900270081E-4
plastic |plastic,2014100307,6926,2,2.8876696505919725E-4
plastic |plastic,2014100204,8387,0,0.0
plastic |plastic,2014100308,8532,1,1.1720581340834506E-4
plastic |plastic,2014100205,14882,0,0.0
plastic |plastic,2014100305,3838,1,2.605523710265763E-4
plastic |plastic,2014100202,5853,0,0.0
plastic |plastic,2014100306,5526,0,0.0
plastic |plastic,2014100203,5613,0,0.0
plastic |plastic,2014100303,5043,4,7.93178663493952E-4
plastic |plastic,2014100208,9640,3,3.1120331950207467E-4
plastic |plastic,2014100304,4725,0,0.0
plastic |plastic,2014100209,12321,0,0.0
plastic |plastic,2014100301,4480,2,4.464285714285714E-4
plastic |plastic,2014100206,9203,1,1.0866021949364337E-4
plastic |plastic,2014100302,8095,0,0.0
plastic |plastic,2014100207,9445,1,1.0587612493382742E-4
plastic |plastic,2014100300,6707,2,2.981959147159684E-4
plastic |plastic,2014100106,45483,0,0.0
plastic |plastic,2014100105,7742,3,3.8749677086024286E-4
plastic |plastic,2014100104,8731,0,0.0
plastic |plastic,2014100103,1127,0,0.0
plastic |plastic,2014100102,2940,0,0.0
plastic |plastic,2014100101,3598,2,5.558643690939411E-4
plastic |plastic,2014100100,1816,0,0.0
plastic |plastic,2014100109,10999,5,4.545867806164197E-4
plastic |plastic,2014100108,14670,0,0.0
plastic |plastic,2014100107,32104,4,1.24595066035385E-4
plastic |plastic,2014100210,10300,146,0.014174757281553398
plastic |plastic,2014100211,11008,67,0.006086482558139535
