kong |Kong,2014100223,8580,4,4.662004662004662E-4
kong |Kong,2014100222,12009,9,7.494379215588309E-4
kong |Kong,2014100221,14828,15,0.0010115996762881036
kong |Kong,2014100220,15090,16,0.0010603048376408217
kong |Kong,2014093023,7216,10,0.001385809312638581
kong |Kong,2014093020,2478,1,4.035512510088781E-4
kong |Kong,2014093022,2524,11,0.004358161648177496
kong |Kong,2014093021,2547,8,0.0031409501374165686
kong |Kong,2014100321,9080,5,5.506607929515419E-4
kong |Kong,2014100322,8671,15,0.0017299042786299158
kong |Kong,2014100320,9381,1,1.0659844366272253E-4
kong |Kong,2014100323,6929,6,8.659258190215039E-4
kong |Kong,2014100123,8836,9,0.0010185604345857855
kong |Kong,2014100122,10378,30,0.0028907303912121796
kong |Kong,2014100121,12311,3,2.4368450978799449E-4
kong |Kong,2014100200,11724,10,8.529512111907199E-4
kong |Kong,2014100201,6861,4,5.830053927998834E-4
kong |Kong,2014100309,9997,10,0.0010003000900270082
kong |Kong,2014100307,6926,4,5.775339301183945E-4
kong |Kong,2014100204,8387,19,0.0022654107547394778
kong |Kong,2014100308,8532,9,0.0010548523206751054
kong |Kong,2014100205,14882,3,2.0158580835909153E-4
kong |Kong,2014100305,3838,2,5.211047420531526E-4
kong |Kong,2014100202,5853,3,5.125576627370579E-4
kong |Kong,2014100306,5526,3,5.428881650380022E-4
kong |Kong,2014100203,5613,0,0.0
kong |Kong,2014100303,5043,3,5.94883997620464E-4
kong |Kong,2014100208,9640,4,4.149377593360996E-4
kong |Kong,2014100304,4725,2,4.232804232804233E-4
kong |Kong,2014100209,12321,17,0.0013797581365148932
kong |Kong,2014100301,4480,5,0.0011160714285714285
kong |Kong,2014100206,9203,5,5.433010974682169E-4
kong |Kong,2014100302,8095,4,4.941321803582458E-4
kong |Kong,2014100207,9445,4,4.2350449973530967E-4
kong |Kong,2014100300,6707,4,5.963918294319368E-4
kong |Kong,2014100106,45483,6,1.3191741969527076E-4
kong |Kong,2014100105,7742,2,2.583311805734952E-4
kong |Kong,2014100104,8731,0,0.0
kong |Kong,2014100103,1127,0,0.0
kong |Kong,2014100102,2940,4,0.0013605442176870747
kong |Kong,2014100101,3598,1,2.7793218454697053E-4
kong |Kong,2014100100,1816,0,0.0
kong |Kong,2014100109,10999,16,0.001454677697972543
kong |Kong,2014100108,14670,17,0.0011588275391956374
kong |Kong,2014100107,32104,9,2.8033889857961624E-4
kong |Kong,2014100210,10300,10,9.70873786407767E-4
kong |Kong,2014100211,11008,6,5.450581395348837E-4
kong |Kong,2014100212,11567,6,5.187170398547593E-4
kong |Kong,2014100316,10537,2,1.8980734554427256E-4
kong |Kong,2014100213,10976,7,6.377551020408163E-4
kong |Kong,2014100317,9832,2,2.034174125305126E-4
kong |Kong,2014100214,12210,13,0.0010647010647010647
kong |Kong,2014100318,9075,5,5.509641873278236E-4
kong |Kong,2014100215,11832,2,1.6903313049357674E-4
kong |Kong,2014100319,8645,6,6.940427993059572E-4
kong |Kong,2014100216,10725,2,1.8648018648018648E-4
kong |Kong,2014100312,10661,9,8.441984804427352E-4
kong |Kong,2014100217,9835,10,0.0010167768174885613
kong |Kong,2014100313,9887,7,7.080004045716598E-4
kong |Kong,2014100218,9907,7,7.065711113354194E-4
kong |Kong,2014100314,9820,4,4.073319755600815E-4
kong |Kong,2014100219,11100,8,7.207207207207207E-4
kong |Kong,2014100420,8163,4,4.900159255175794E-4
kong |Kong,2014100315,10271,8,7.788920260928828E-4
kong |Kong,2014100120,12122,4,3.2997855139415937E-4
kong |Kong,2014100421,8099,1,1.2347203358439315E-4
kong |Kong,2014100422,8432,0,0.0
kong |Kong,2014100423,6306,6,9.514747859181732E-4
kong |Kong,2014100310,10343,2,1.9336749492410325E-4
kong |Kong,2014100311,11400,12,0.0010526315789473684
kong |Kong,2014100115,14152,3,2.1198417184850198E-4
kong |Kong,2014100114,11535,3,2.600780234070221E-4
kong |Kong,2014100117,11365,10,8.798944126704796E-4
kong |Kong,2014100116,10904,5,4.58547322083639E-4
kong |Kong,2014100111,9571,8,8.358583220144186E-4
kong |Kong,2014100110,9126,12,0.0013149243918474688
kong |Kong,2014100823,5727,4,6.984459577440195E-4
kong |Kong,2014100113,11543,16,0.0013861214588928355
kong |Kong,2014100822,900,2,0.0022222222222222222
kong |Kong,2014100112,11651,19,0.0016307613080422281
kong |Kong,2014100119,11403,9,7.892659826361484E-4
kong |Kong,2014100118,10294,11,0.0010685836409558966
kong |Kong,2014100604,4638,2,4.3122035360068997E-4
kong |Kong,2014100605,8675,5,5.763688760806917E-4
kong |Kong,2014100700,5207,1,1.9204916458613405E-4
kong |Kong,2014100914,3191,0,0.0
kong |Kong,2014100602,8176,0,0.0
kong |Kong,2014100915,1000,0,0.0
kong |Kong,2014100603,9384,1,1.0656436487638534E-4
kong |Kong,2014100912,2545,2,7.858546168958742E-4
kong |Kong,2014100608,13680,2,1.4619883040935673E-4
kong |Kong,2014100913,6771,2,2.953773445576724E-4
kong |Kong,2014100609,13287,6,4.515692029803567E-4
kong |Kong,2014100810,6053,1,1.6520733520568312E-4
kong |Kong,2014100606,4334,0,0.0
kong |Kong,2014100607,6194,2,3.2289312237649337E-4
kong |Kong,2014100707,4802,0,0.0
kong |Kong,2014100813,7061,0,0.0
