case |cases |case,2014100223,8580,8,9.324009324009324E-4
case |cases |case,2014100222,12009,22,0.0018319593638104754
case |cases |case,2014100221,14828,16,0.0010790396547073105
case |cases |case,2014100220,15090,17,0.0011265738899933731
case |cases |case,2014093023,7216,8,0.0011086474501108647
case |cases |case,2014093020,2478,6,0.002421307506053269
case |cases |case,2014093022,2524,2,7.92393026941363E-4
case |cases |case,2014093021,2547,4,0.0015704750687082843
case |cases |case,2014100321,9080,10,0.0011013215859030838
case |cases |case,2014100322,8671,8,9.226156152692884E-4
case |cases |case,2014100320,9381,15,0.0015989766549408379
case |cases |case,2014100323,6929,21,0.0030307403665752633
case |cases |case,2014100123,8836,19,0.0021502942507922135
case |cases |case,2014100122,10378,25,0.002408941992676816
case |cases |case,2014100121,12311,22,0.001787019738445293
case |cases |case,2014100200,11724,9,7.676560900716479E-4
case |cases |case,2014100201,6861,6,8.745080891998251E-4
case |cases |case,2014100309,9997,20,0.0020006001800540163
case |cases |case,2014100307,6926,7,0.0010106843777071904
case |cases |case,2014100204,8387,2,2.384642899725766E-4
case |cases |case,2014100308,8532,12,0.0014064697609001407
case |cases |case,2014100205,14882,3,2.0158580835909153E-4
case |cases |case,2014100305,3838,0,0.0
case |cases |case,2014100202,5853,2,3.4170510849137196E-4
case |cases |case,2014100306,5526,5,9.048136083966703E-4
case |cases |case,2014100203,5613,7,0.0012471049349723855
case |cases |case,2014100303,5043,2,3.96589331746976E-4
case |cases |case,2014100208,9640,19,0.001970954356846473
case |cases |case,2014100304,4725,2,4.232804232804233E-4
case |cases |case,2014100209,12321,20,0.0016232448664881098
case |cases |case,2014100301,4480,4,8.928571428571428E-4
case |cases |case,2014100206,9203,8,8.69281755949147E-4
case |cases |case,2014100302,8095,4,4.941321803582458E-4
case |cases |case,2014100207,9445,5,5.293806246691371E-4
case |cases |case,2014100300,6707,5,7.45489786789921E-4
case |cases |case,2014100106,45483,12,2.638348393905415E-4
case |cases |case,2014100105,7742,0,0.0
case |cases |case,2014100104,8731,1,1.1453441759248655E-4
case |cases |case,2014100103,1127,0,0.0
case |cases |case,2014100102,2940,3,0.0010204081632653062
case |cases |case,2014100101,3598,5,0.0013896609227348527
case |cases |case,2014100100,1816,3,0.0016519823788546256
case |cases |case,2014100109,10999,14,0.0012728429857259752
case |cases |case,2014100108,14670,49,0.003340149965916837
case |cases |case,2014100107,32104,42,0.0013082481933715424
case |cases |case,2014100210,10300,30,0.002912621359223301
case |cases |case,2014100211,11008,48,0.00436046511627907
case |cases |case,2014100212,11567,49,0.004236189158813867
case |cases |case,2014100316,10537,8,7.592293821770903E-4
case |cases |case,2014100213,10976,48,0.004373177842565598
case |cases |case,2014100317,9832,73,0.007424735557363711
case |cases |case,2014100214,12210,40,0.003276003276003276
case |cases |case,2014100318,9075,24,0.002644628099173554
case |cases |case,2014100215,11832,31,0.0026200135226504394
case |cases |case,2014100319,8645,23,0.0026604973973395024
case |cases |case,2014100216,10725,14,0.0013053613053613054
case |cases |case,2014100312,10661,10,9.379983116030392E-4
case |cases |case,2014100217,9835,25,0.002541942043721403
case |cases |case,2014100313,9887,13,0.001314857894204511
case |cases |case,2014100218,9907,16,0.001615019683052387
case |cases |case,2014100314,9820,13,0.0013238289205702647
case |cases |case,2014100219,11100,13,0.0011711711711711711
case |cases |case,2014100420,8163,10,0.0012250398137939483
case |cases |case,2014100315,10271,6,5.841690195696621E-4
case |cases |case,2014100120,12122,18,0.0014849034812737172
case |cases |case,2014100421,8099,11,0.0013581923694283246
case |cases |case,2014100422,8432,6,7.115749525616698E-4
case |cases |case,2014100423,6306,5,7.92895654931811E-4
case |cases |case,2014100310,10343,18,0.0017403074543169293
case |cases |case,2014100311,11400,16,0.0014035087719298245
case |cases |case,2014100115,14152,28,0.001978518937252685
case |cases |case,2014100114,11535,13,0.0011270047680970957
case |cases |case,2014100117,11365,35,0.0030796304443466782
case |cases |case,2014100116,10904,58,0.005319148936170213
case |cases |case,2014100111,9571,38,0.003970327029568488
case |cases |case,2014100110,9126,43,0.004711812404120096
case |cases |case,2014100823,5727,4,6.984459577440195E-4
case |cases |case,2014100113,11543,33,0.002858875508966473
case |cases |case,2014100822,900,0,0.0
case |cases |case,2014100112,11651,31,0.002660715818384688
case |cases |case,2014100119,11403,30,0.002630886608787161
case |cases |case,2014100118,10294,29,0.002817175053429182
case |cases |case,2014100604,4638,2,4.3122035360068997E-4
case |cases |case,2014100605,8675,1,1.1527377521613833E-4
case |cases |case,2014100700,5207,7,0.0013443441521029385
case |cases |case,2014100914,3191,1,3.1338138514572234E-4
case |cases |case,2014100602,8176,0,0.0
case |cases |case,2014100915,1000,3,0.003
case |cases |case,2014100603,9384,0,0.0
case |cases |case,2014100912,2545,6,0.002357563850687623
case |cases |case,2014100608,13680,13,9.502923976608187E-4
case |cases |case,2014100913,6771,8,0.0011815093782306897
case |cases |case,2014100609,13287,9,6.773538044705351E-4
case |cases |case,2014100810,6053,10,0.0016520733520568314
case |cases |case,2014100606,4334,4,9.229349330872173E-4
case |cases |case,2014100607,6194,9,0.0014530190506942201
case |cases |case,2014100707,4802,10,0.0020824656393169513
case |cases |case,2014100813,7061,13,0.001841098994476703
case |cases |case,2014100708,5400,16,0.002962962962962963
case |cases |case,2014100814,6011,11,0.0018299783729828648
case |cases |case,2014100705,2740,2,7.2992700729927E-4
case |cases |case,2014100811,6604,13,0.001968503937007874
case |cases |case,2014100706,3398,1,2.942907592701589E-4
case |cases |case,2014100812,5896,15,0.002544097693351425
case |cases |case,2014100817,6743,11,0.0016313213703099511
case |cases |case,2014100600,15771,14,8.87705281846427E-4
case |cases |case,2014100703,5792,0,0.0
case |cases |case,2014100818,7400,20,0.002702702702702703
case |cases |case,2014100601,8669,5,5.767677932864229E-4
case |cases |case,2014100704,3010,2,6.64451827242525E-4
case |cases |case,2014100815,5628,9,0.0015991471215351812
case |cases |case,2014100701,13455,2,1.4864362690449647E-4
case |cases |case,2014100816,7857,8,0.0010182003309151075
case |cases |case,2014100702,8524,2,2.346316283435007E-4
case |cases |case,2014100509,9287,8,8.614191881124152E-4
case |cases |case,2014100508,6498,13,0.0020006155740227762
case |cases |case,2014100819,4300,12,0.0027906976744186047
case |cases |case,2014100507,16911,2,1.182662172550411E-4
case |cases |case,2014100403,6749,2,2.96340198547933E-4
case |cases |case,2014100506,11836,5,4.2244001351808043E-4
case |cases |case,2014100402,6613,2,3.0243459851807047E-4
case |cases |case,2014100505,6487,2,3.083089255433945E-4
case |cases |case,2014100401,4570,6,0.001312910284463895
case |cases |case,2014100504,3861,0,0.0
case |cases |case,2014100400,5285,9,0.0017029328287606433
case |cases |case,2014100503,4540,1,2.2026431718061675E-4
case |cases |case,2014100709,5572,11,0.001974156496769562
case |cases |case,2014100407,7111,7,9.843903810997047E-4
case |cases |case,2014100406,10763,6,5.57465390690328E-4
case |cases |case,2014100501,6148,2,3.2530904359141186E-4
case |cases |case,2014100405,10366,1,9.646922631680494E-5
case |cases |case,2014100500,11540,6,5.199306759098787E-4
case |cases |case,2014100404,3086,1,3.240440699935191E-4
case |cases |case,2014100409,9932,7,7.047925896093435E-4
case |cases |case,2014100408,10458,32,0.0030598584815452285
case |cases |case,2014100903,4141,1,2.414875633904854E-4
case |cases |case,2014100613,12260,8,6.525285481239804E-4
case |cases |case,2014100904,4854,2,4.1203131437989287E-4
case |cases |case,2014100614,10247,23,0.0022445593832341173
case |cases |case,2014100905,7777,3,3.8575286100038574E-4
case |cases |case,2014100615,8801,16,0.00181797523008749
case |cases |case,2014100710,7431,12,0.0016148566814695195
case |cases |case,2014100906,3505,5,0.0014265335235378032
case |cases |case,2014100616,10833,12,0.0011077263915812794
case |cases |case,2014100711,13474,17,0.0012616891791598635
case |cases |case,2014100617,11523,16,0.0013885272932396078
case |cases |case,2014100900,3864,10,0.002587991718426501
case |cases |case,2014100618,10834,12,0.0011076241462063873
case |cases |case,2014100901,3052,8,0.002621231979030144
case |cases |case,2014100619,10472,12,0.001145912910618793
case |cases |case,2014100902,4916,2,4.068348250610252E-4
case |cases |case,2014100716,9756,13,0.0013325133251332513
case |cases |case,2014100800,3418,3,8.777062609713282E-4
case |cases |case,2014100717,12018,25,0.0020802130138126143
case |cases |case,2014100801,4912,2,4.0716612377850165E-4
case |cases |case,2014100718,9824,16,0.0016286644951140066
case |cases |case,2014100802,4582,5,0.0010912265386294195
case |cases |case,2014100719,8904,16,0.0017969451931716084
case |cases |case,2014100803,4750,0,0.0
case |cases |case,2014100712,10146,16,0.001576976148235758
case |cases |case,2014100804,8238,2,2.4277737314882253E-4
case |cases |case,2014100610,8565,8,9.340338587273788E-4
case |cases |case,2014100713,7382,14,0.001896505012191818
case |cases |case,2014100805,6904,3,4.3453070683661645E-4
case |cases |case,2014100611,8676,12,0.0013831258644536654
case |cases |case,2014100714,9294,23,0.0024747148698084785
case |cases |case,2014100806,7696,1,1.2993762993762994E-4
case |cases |case,2014100612,7761,14,0.001803891251127432
case |cases |case,2014100715,8494,7,8.241111372733694E-4
case |cases |case,2014100807,6298,8,0.0012702445220704986
case |cases |case,2014100519,13547,13,9.596220565438843E-4
case |cases |case,2014100809,5933,7,0.0011798415641328165
case |cases |case,2014100518,12589,6,4.7660656128366036E-4
case |cases |case,2014100808,7916,17,0.0021475492673067205
case |cases |case,2014100410,8297,9,0.0010847294202723876
case |cases |case,2014100412,8252,8,9.694619486185168E-4
case |cases |case,2014100515,6526,14,0.0021452650934722646
case |cases |case,2014100411,8736,11,0.0012591575091575092
case |cases |case,2014100514,7337,6,8.177729317159602E-4
case |cases |case,2014100414,8029,20,0.0024909702329057168
case |cases |case,2014100517,16635,5,3.0057108506161706E-4
case |cases |case,2014100413,7649,8,0.0010458883514184861
case |cases |case,2014100516,7164,13,0.0018146286990508096
case |cases |case,2014100416,8535,10,0.0011716461628588166
case |cases |case,2014100511,8203,13,0.001584786053882726
case |cases |case,2014100415,9288,10,0.0010766580534022395
case |cases |case,2014100510,7389,13,0.0017593720395182027
case |cases |case,2014100418,8794,14,0.0015919945417329998
case |cases |case,2014100513,8653,17,0.0019646365422396855
case |cases |case,2014100417,9001,15,0.0016664815020553273
case |cases |case,2014100512,7658,8,0.0010446591799425438
case |cases |case,2014100908,14247,14,9.826630167754616E-4
case |cases |case,2014100907,7751,6,7.740936653335053E-4
case |cases |case,2014100419,8630,9,0.0010428736964078794
case |cases |case,2014100909,1000,1,0.001
case |cases |case,2014100721,11447,19,0.0016598235345505372
case |cases |case,2014100722,8294,20,0.0024113817217265494
case |cases |case,2014100720,10198,16,0.0015689350853108452
case |cases |case,2014100723,5300,15,0.002830188679245283
case |cases |case,2014100520,14801,14,9.458820349976353E-4
case |cases |case,2014100523,12605,11,8.726695755652519E-4
case |cases |case,2014100522,10915,11,0.0010077874484654145
case |cases |case,2014100521,14363,11,7.658567151709253E-4
case |cases |case,2014100623,8800,6,6.818181818181819E-4
case |cases |case,2014100622,9000,11,0.0012222222222222222
case |cases |case,2014100621,9007,9,9.99222826690352E-4
case |cases |case,2014100620,8998,20,0.002222716159146477
case |cases |case,2014093011,9741,9,9.239297813366184E-4
case |cases |case,2014093012,11191,22,0.0019658654275757307
case |cases |case,2014093013,5267,4,7.594456047085627E-4
case |cases |case,2014093017,3899,5,0.0012823800974608873
case |cases |case,2014093018,99,0,0.0
case |cases |case,2014093019,8564,12,0.0014012143858010276
