scheme |schemes |scheme,2014100223,8580,1,1.1655011655011655E-4
scheme |schemes |scheme,2014100222,12009,0,0.0
scheme |schemes |scheme,2014100221,14828,1,6.74399784192069E-5
scheme |schemes |scheme,2014100220,15090,0,0.0
scheme |schemes |scheme,2014093023,7216,1,1.385809312638581E-4
scheme |schemes |scheme,2014093020,2478,0,0.0
scheme |schemes |scheme,2014093022,2524,0,0.0
scheme |schemes |scheme,2014093021,2547,0,0.0
scheme |schemes |scheme,2014100321,9080,1,1.1013215859030837E-4
scheme |schemes |scheme,2014100322,8671,2,2.306539038173221E-4
scheme |schemes |scheme,2014100320,9381,3,3.197953309881676E-4
scheme |schemes |scheme,2014100323,6929,17,0.0024534564872275943
scheme |schemes |scheme,2014100123,8836,0,0.0
scheme |schemes |scheme,2014100122,10378,1,9.635767970707265E-5
scheme |schemes |scheme,2014100121,12311,1,8.122816992933149E-5
scheme |schemes |scheme,2014100200,11724,0,0.0
scheme |schemes |scheme,2014100201,6861,0,0.0
scheme |schemes |scheme,2014100309,9997,2,2.0006001800540162E-4
scheme |schemes |scheme,2014100307,6926,0,0.0
scheme |schemes |scheme,2014100204,8387,0,0.0
scheme |schemes |scheme,2014100308,8532,1,1.1720581340834506E-4
scheme |schemes |scheme,2014100205,14882,0,0.0
scheme |schemes |scheme,2014100305,3838,0,0.0
scheme |schemes |scheme,2014100202,5853,0,0.0
scheme |schemes |scheme,2014100306,5526,1,1.8096272167933406E-4
scheme |schemes |scheme,2014100203,5613,0,0.0
scheme |schemes |scheme,2014100303,5043,0,0.0
scheme |schemes |scheme,2014100208,9640,1,1.037344398340249E-4
scheme |schemes |scheme,2014100304,4725,0,0.0
scheme |schemes |scheme,2014100209,12321,1,8.116224332440549E-5
scheme |schemes |scheme,2014100301,4480,0,0.0
scheme |schemes |scheme,2014100206,9203,1,1.0866021949364337E-4
scheme |schemes |scheme,2014100302,8095,0,0.0
scheme |schemes |scheme,2014100207,9445,0,0.0
scheme |schemes |scheme,2014100300,6707,1,1.490979573579842E-4
scheme |schemes |scheme,2014100106,45483,0,0.0
scheme |schemes |scheme,2014100105,7742,0,0.0
scheme |schemes |scheme,2014100104,8731,0,0.0
scheme |schemes |scheme,2014100103,1127,0,0.0
scheme |schemes |scheme,2014100102,2940,0,0.0
scheme |schemes |scheme,2014100101,3598,0,0.0
scheme |schemes |scheme,2014100100,1816,0,0.0
scheme |schemes |scheme,2014100109,10999,1,9.091735612328394E-5
scheme |schemes |scheme,2014100108,14670,1,6.81663258350375E-5
scheme |schemes |scheme,2014100107,32104,1,3.114876650884625E-5
scheme |schemes |scheme,2014100210,10300,1,9.70873786407767E-5
scheme |schemes |scheme,2014100211,11008,6,5.450581395348837E-4
scheme |schemes |scheme,2014100212,11567,0,0.0
scheme |schemes |scheme,2014100316,10537,0,0.0
scheme |schemes |scheme,2014100213,10976,0,0.0
scheme |schemes |scheme,2014100317,9832,1,1.017087062652563E-4
scheme |schemes |scheme,2014100214,12210,1,8.19000819000819E-5
scheme |schemes |scheme,2014100318,9075,1,1.1019283746556474E-4
scheme |schemes |scheme,2014100215,11832,1,8.451656524678837E-5
scheme |schemes |scheme,2014100319,8645,0,0.0
scheme |schemes |scheme,2014100216,10725,1,9.324009324009324E-5
scheme |schemes |scheme,2014100312,10661,0,0.0
scheme |schemes |scheme,2014100217,9835,2,2.0335536349771224E-4
scheme |schemes |scheme,2014100313,9887,0,0.0
scheme |schemes |scheme,2014100218,9907,0,0.0
scheme |schemes |scheme,2014100314,9820,0,0.0
