tax |tax |taxes,2014100223,8580,3,3.4965034965034965E-4
tax |tax |taxes,2014100222,12009,2,1.6654176034640685E-4
tax |tax |taxes,2014100221,14828,11,7.41839762611276E-4
tax |tax |taxes,2014100220,15090,9,5.964214711729623E-4
tax |tax |taxes,2014093023,7216,19,0.002633037694013304
tax |tax |taxes,2014093020,2478,6,0.002421307506053269
tax |tax |taxes,2014093022,2524,5,0.0019809825673534074
tax |tax |taxes,2014093021,2547,1,3.9261876717707107E-4
tax |tax |taxes,2014100321,9080,4,4.405286343612335E-4
tax |tax |taxes,2014100322,8671,14,0.0016145773267212547
tax |tax |taxes,2014100320,9381,5,5.329922183136127E-4
tax |tax |taxes,2014100323,6929,4,5.772838793476692E-4
tax |tax |taxes,2014100123,8836,8,9.053870529651426E-4
tax |tax |taxes,2014100122,10378,4,3.854307188282906E-4
tax |tax |taxes,2014100121,12311,30,0.0024368450978799446
tax |tax |taxes,2014100200,11724,1,8.5295121119072E-5
tax |tax |taxes,2014100201,6861,3,4.3725404459991256E-4
tax |tax |taxes,2014100309,9997,22,0.002200660198059418
tax |tax |taxes,2014100307,6926,12,0.0017326017903551833
tax |tax |taxes,2014100204,8387,4,4.769285799451532E-4
tax |tax |taxes,2014100308,8532,21,0.0024613220815752463
tax |tax |taxes,2014100205,14882,0,0.0
tax |tax |taxes,2014100305,3838,1,2.605523710265763E-4
tax |tax |taxes,2014100202,5853,0,0.0
tax |tax |taxes,2014100306,5526,2,3.619254433586681E-4
tax |tax |taxes,2014100203,5613,1,1.7815784785319794E-4
tax |tax |taxes,2014100303,5043,0,0.0
tax |tax |taxes,2014100208,9640,13,0.0013485477178423236
tax |tax |taxes,2014100304,4725,4,8.465608465608466E-4
tax |tax |taxes,2014100209,12321,17,0.0013797581365148932
tax |tax |taxes,2014100301,4480,3,6.696428571428571E-4
tax |tax |taxes,2014100206,9203,6,6.519613169618602E-4
tax |tax |taxes,2014100302,8095,0,0.0
tax |tax |taxes,2014100207,9445,14,0.001482265749073584
tax |tax |taxes,2014100300,6707,3,4.472938720739526E-4
tax |tax |taxes,2014100106,45483,21,4.617109689334477E-4
tax |tax |taxes,2014100105,7742,0,0.0
tax |tax |taxes,2014100104,8731,1,1.1453441759248655E-4
tax |tax |taxes,2014100103,1127,0,0.0
tax |tax |taxes,2014100102,2940,0,0.0
tax |tax |taxes,2014100101,3598,4,0.0011117287381878821
tax |tax |taxes,2014100100,1816,3,0.0016519823788546256
tax |tax |taxes,2014100109,10999,24,0.0021820165469588143
tax |tax |taxes,2014100108,14670,31,0.0021131561008861624
tax |tax |taxes,2014100107,32104,44,0.001370545726389235
tax |tax |taxes,2014100210,10300,23,0.002233009708737864
tax |tax |taxes,2014100211,11008,22,0.001998546511627907
tax |tax |taxes,2014100212,11567,8,6.916227198063456E-4
tax |tax |taxes,2014100316,10537,16,0.0015184587643541805
tax |tax |taxes,2014100213,10976,8,7.288629737609329E-4
tax |tax |taxes,2014100317,9832,4,4.068348250610252E-4
tax |tax |taxes,2014100214,12210,15,0.0012285012285012285
tax |tax |taxes,2014100318,9075,16,0.0017630853994490359
tax |tax |taxes,2014100215,11832,11,9.296822177146721E-4
tax |tax |taxes,2014100319,8645,2,2.313475997686524E-4
tax |tax |taxes,2014100216,10725,17,0.001585081585081585
tax |tax |taxes,2014100312,10661,6,5.627989869618235E-4
tax |tax |taxes,2014100217,9835,8,8.13421453990849E-4
tax |tax |taxes,2014100313,9887,5,5.057145746940427E-4
tax |tax |taxes,2014100218,9907,8,8.075098415261935E-4
tax |tax |taxes,2014100314,9820,10,0.0010183299389002036
tax |tax |taxes,2014100219,11100,14,0.0012612612612612612
tax |tax |taxes,2014100420,8163,3,3.675119441381845E-4
tax |tax |taxes,2014100315,10271,13,0.0012656995424009346
tax |tax |taxes,2014100120,12122,10,8.249463784853984E-4
tax |tax |taxes,2014100421,8099,5,6.173601679219657E-4
tax |tax |taxes,2014100422,8432,1,1.1859582542694497E-4
tax |tax |taxes,2014100423,6306,1,1.585791309863622E-4
tax |tax |taxes,2014100310,10343,7,6.767862322343614E-4
tax |tax |taxes,2014100311,11400,4,3.508771929824561E-4
tax |tax |taxes,2014100115,14152,62,0.004381006218202374
tax |tax |taxes,2014100114,11535,28,0.0024273948851322065
tax |tax |taxes,2014100117,11365,14,0.0012318521777386713
tax |tax |taxes,2014100116,10904,23,0.0021093176815847395
tax |tax |taxes,2014100111,9571,35,0.003656880158813081
tax |tax |taxes,2014100110,9126,17,0.0018628095551172475
tax |tax |taxes,2014100823,5727,3,5.238344683080147E-4
tax |tax |taxes,2014100113,11543,18,0.00155938664125444
tax |tax |taxes,2014100822,900,0,0.0
tax |tax |taxes,2014100112,11651,25,0.002145738563213458
tax |tax |taxes,2014100119,11403,10,8.769622029290538E-4
tax |tax |taxes,2014100118,10294,9,8.742957062366427E-4
tax |tax |taxes,2014100604,4638,2,4.3122035360068997E-4
tax |tax |taxes,2014100605,8675,3,3.45821325648415E-4
tax |tax |taxes,2014100700,5207,2,3.840983291722681E-4
tax |tax |taxes,2014100914,3191,1,3.1338138514572234E-4
tax |tax |taxes,2014100602,8176,3,3.669275929549902E-4
tax |tax |taxes,2014100915,1000,2,0.002
tax |tax |taxes,2014100603,9384,3,3.1969309462915604E-4
tax |tax |taxes,2014100912,2545,1,3.929273084479371E-4
tax |tax |taxes,2014100608,13680,22,0.001608187134502924
tax |tax |taxes,2014100913,6771,4,5.907546891153448E-4
tax |tax |taxes,2014100609,13287,44,0.003311507488522616
tax |tax |taxes,2014100810,6053,16,0.00264331736329093
tax |tax |taxes,2014100606,4334,2,4.6146746654360867E-4
tax |tax |taxes,2014100607,6194,2,3.2289312237649337E-4
tax |tax |taxes,2014100707,4802,3,6.247396917950854E-4
tax |tax |taxes,2014100813,7061,12,0.001699475994901572
tax |tax |taxes,2014100708,5400,9,0.0016666666666666668
tax |tax |taxes,2014100814,6011,4,6.654466810846781E-4
tax |tax |taxes,2014100705,2740,3,0.0010948905109489052
tax |tax |taxes,2014100811,6604,11,0.001665657177468201
tax |tax |taxes,2014100706,3398,4,0.0011771630370806356
tax |tax |taxes,2014100812,5896,10,0.0016960651289009499
