iraq |Iraq,2014100223,8580,2,2.331002331002331E-4
iraq |Iraq,2014100222,12009,1,8.327088017320343E-5
iraq |Iraq,2014100221,14828,0,0.0
iraq |Iraq,2014100220,15090,0,0.0
iraq |Iraq,2014093023,7216,2,2.771618625277162E-4
iraq |Iraq,2014093020,2478,1,4.035512510088781E-4
iraq |Iraq,2014093022,2524,0,0.0
iraq |Iraq,2014093021,2547,1,3.9261876717707107E-4
iraq |Iraq,2014100321,9080,5,5.506607929515419E-4
iraq |Iraq,2014100322,8671,3,3.4598085572598315E-4
iraq |Iraq,2014100320,9381,6,6.395906619763352E-4
iraq |Iraq,2014100323,6929,2,2.886419396738346E-4
iraq |Iraq,2014100123,8836,0,0.0
iraq |Iraq,2014100122,10378,0,0.0
iraq |Iraq,2014100121,12311,0,0.0
iraq |Iraq,2014100200,11724,0,0.0
iraq |Iraq,2014100201,6861,0,0.0
iraq |Iraq,2014100309,9997,14,0.0014004201260378114
iraq |Iraq,2014100307,6926,5,7.219174126479931E-4
iraq |Iraq,2014100204,8387,0,0.0
iraq |Iraq,2014100308,8532,1,1.1720581340834506E-4
iraq |Iraq,2014100205,14882,1,6.719526945303051E-5
iraq |Iraq,2014100305,3838,0,0.0
iraq |Iraq,2014100202,5853,1,1.7085255424568598E-4
iraq |Iraq,2014100306,5526,0,0.0
iraq |Iraq,2014100203,5613,1,1.7815784785319794E-4
iraq |Iraq,2014100303,5043,2,3.96589331746976E-4
iraq |Iraq,2014100208,9640,21,0.002178423236514523
iraq |Iraq,2014100304,4725,0,0.0
iraq |Iraq,2014100209,12321,8,6.492979465952439E-4
iraq |Iraq,2014100301,4480,1,2.232142857142857E-4
iraq |Iraq,2014100206,9203,9,9.779419754427903E-4
iraq |Iraq,2014100302,8095,1,1.2353304508956145E-4
iraq |Iraq,2014100207,9445,12,0.001270513499205929
iraq |Iraq,2014100300,6707,0,0.0
iraq |Iraq,2014100106,45483,0,0.0
iraq |Iraq,2014100105,7742,0,0.0
iraq |Iraq,2014100104,8731,0,0.0
iraq |Iraq,2014100103,1127,0,0.0
iraq |Iraq,2014100102,2940,0,0.0
iraq |Iraq,2014100101,3598,0,0.0
iraq |Iraq,2014100100,1816,0,0.0
iraq |Iraq,2014100109,10999,1,9.091735612328394E-5
iraq |Iraq,2014100108,14670,6,4.0899795501022495E-4
iraq |Iraq,2014100107,32104,0,0.0
iraq |Iraq,2014100210,10300,26,0.002524271844660194
iraq |Iraq,2014100211,11008,17,0.0015443313953488371
iraq |Iraq,2014100212,11567,8,6.916227198063456E-4
iraq |Iraq,2014100316,10537,6,5.694220366328176E-4
iraq |Iraq,2014100213,10976,6,5.466472303206997E-4
iraq |Iraq,2014100317,9832,9,9.153783563873067E-4
iraq |Iraq,2014100214,12210,6,4.914004914004914E-4
iraq |Iraq,2014100318,9075,8,8.815426997245179E-4
iraq |Iraq,2014100215,11832,1,8.451656524678837E-5
iraq |Iraq,2014100319,8645,2,2.313475997686524E-4
iraq |Iraq,2014100216,10725,4,3.7296037296037296E-4
iraq |Iraq,2014100312,10661,56,0.005252790544977019
iraq |Iraq,2014100217,9835,0,0.0
iraq |Iraq,2014100313,9887,31,0.003135430363103065
iraq |Iraq,2014100218,9907,2,2.018774603815484E-4
iraq |Iraq,2014100314,9820,20,0.002036659877800407
iraq |Iraq,2014100219,11100,11,9.90990990990991E-4
iraq |Iraq,2014100420,8163,2,2.450079627587897E-4
iraq |Iraq,2014100315,10271,38,0.0036997371239411935
iraq |Iraq,2014100120,12122,0,0.0
iraq |Iraq,2014100421,8099,2,2.469440671687863E-4
iraq |Iraq,2014100422,8432,0,0.0
iraq |Iraq,2014100423,6306,3,4.757373929590866E-4
iraq |Iraq,2014100310,10343,6,5.801024847723097E-4
iraq |Iraq,2014100311,11400,8,7.017543859649122E-4
iraq |Iraq,2014100115,14152,4,2.826455624646693E-4
iraq |Iraq,2014100114,11535,10,8.669267446900737E-4
iraq |Iraq,2014100117,11365,5,4.399472063352398E-4
iraq |Iraq,2014100116,10904,2,1.8341892883345562E-4
iraq |Iraq,2014100111,9571,0,0.0
iraq |Iraq,2014100110,9126,2,2.1915406530791147E-4
iraq |Iraq,2014100823,5727,2,3.4922297887200976E-4
iraq |Iraq,2014100113,11543,0,0.0
iraq |Iraq,2014100822,900,0,0.0
iraq |Iraq,2014100112,11651,0,0.0
iraq |Iraq,2014100119,11403,8,7.01569762343243E-4
iraq |Iraq,2014100118,10294,6,5.828638041577618E-4
iraq |Iraq,2014100604,4638,0,0.0
iraq |Iraq,2014100605,8675,0,0.0
iraq |Iraq,2014100700,5207,1,1.9204916458613405E-4
