officer |officers |Officers |officer,2014100223,8580,2,2.331002331002331E-4
officer |officers |Officers |officer,2014100222,12009,12,9.992505620784412E-4
officer |officers |Officers |officer,2014100221,14828,45,0.0030347990288643106
officer |officers |Officers |officer,2014100220,15090,3,1.9880715705765408E-4
officer |officers |Officers |officer,2014093023,7216,5,6.929046563192905E-4
officer |officers |Officers |officer,2014093020,2478,0,0.0
officer |officers |Officers |officer,2014093022,2524,0,0.0
officer |officers |Officers |officer,2014093021,2547,0,0.0
officer |officers |Officers |officer,2014100321,9080,1,1.1013215859030837E-4
officer |officers |Officers |officer,2014100322,8671,1,1.1532695190866105E-4
officer |officers |Officers |officer,2014100320,9381,3,3.197953309881676E-4
officer |officers |Officers |officer,2014100323,6929,2,2.886419396738346E-4
officer |officers |Officers |officer,2014100123,8836,1,1.1317338162064282E-4
officer |officers |Officers |officer,2014100122,10378,1,9.635767970707265E-5
officer |officers |Officers |officer,2014100121,12311,1,8.122816992933149E-5
officer |officers |Officers |officer,2014100200,11724,4,3.41180484476288E-4
officer |officers |Officers |officer,2014100201,6861,1,1.4575134819997084E-4
officer |officers |Officers |officer,2014100309,9997,3,3.0009002700810244E-4
officer |officers |Officers |officer,2014100307,6926,14,0.0020213687554143807
officer |officers |Officers |officer,2014100204,8387,1,1.192321449862883E-4
officer |officers |Officers |officer,2014100308,8532,5,5.860290670417253E-4
officer |officers |Officers |officer,2014100205,14882,1,6.719526945303051E-5
officer |officers |Officers |officer,2014100305,3838,1,2.605523710265763E-4
officer |officers |Officers |officer,2014100202,5853,5,8.542627712284299E-4
officer |officers |Officers |officer,2014100306,5526,3,5.428881650380022E-4
officer |officers |Officers |officer,2014100203,5613,1,1.7815784785319794E-4
officer |officers |Officers |officer,2014100303,5043,0,0.0
officer |officers |Officers |officer,2014100208,9640,1,1.037344398340249E-4
officer |officers |Officers |officer,2014100304,4725,1,2.1164021164021165E-4
officer |officers |Officers |officer,2014100209,12321,3,2.4348672997321646E-4
officer |officers |Officers |officer,2014100301,4480,1,2.232142857142857E-4
officer |officers |Officers |officer,2014100206,9203,0,0.0
officer |officers |Officers |officer,2014100302,8095,0,0.0
officer |officers |Officers |officer,2014100207,9445,1,1.0587612493382742E-4
officer |officers |Officers |officer,2014100300,6707,3,4.472938720739526E-4
officer |officers |Officers |officer,2014100106,45483,2,4.397247323175692E-5
