body |body,2014100223,8580,10,0.0011655011655011655
body |body,2014100222,12009,9,7.494379215588309E-4
body |body,2014100221,14828,19,0.0012813595899649312
body |body,2014100220,15090,13,8.614976805831676E-4
body |body,2014093023,7216,6,8.314855875831486E-4
body |body,2014093020,2478,4,0.0016142050040355124
body |body,2014093022,2524,4,0.001584786053882726
body |body,2014093021,2547,4,0.0015704750687082843
body |body,2014100321,9080,12,0.0013215859030837004
body |body,2014100322,8671,6,6.919617114519663E-4
body |body,2014100320,9381,10,0.0010659844366272253
body |body,2014100323,6929,10,0.001443209698369173
body |body,2014100123,8836,6,6.79040289723857E-4
body |body,2014100122,10378,8,7.708614376565812E-4
body |body,2014100121,12311,11,8.935098692226465E-4
body |body,2014100200,11724,4,3.41180484476288E-4
body |body,2014100201,6861,5,7.287567409998542E-4
body |body,2014100309,9997,7,7.002100630189057E-4
body |body,2014100307,6926,7,0.0010106843777071904
body |body,2014100204,8387,1,1.192321449862883E-4
body |body,2014100308,8532,7,8.204406938584154E-4
body |body,2014100205,14882,3,2.0158580835909153E-4
body |body,2014100305,3838,2,5.211047420531526E-4
body |body,2014100202,5853,4,6.834102169827439E-4
body |body,2014100306,5526,10,0.0018096272167933405
body |body,2014100203,5613,2,3.563156957063959E-4
body |body,2014100303,5043,7,0.001388062661114416
body |body,2014100208,9640,6,6.224066390041493E-4
body |body,2014100304,4725,3,6.349206349206349E-4
body |body,2014100209,12321,11,8.927846765684603E-4
body |body,2014100301,4480,3,6.696428571428571E-4
body |body,2014100206,9203,6,6.519613169618602E-4
body |body,2014100302,8095,1,1.2353304508956145E-4
body |body,2014100207,9445,6,6.352567496029645E-4
body |body,2014100300,6707,5,7.45489786789921E-4
body |body,2014100106,45483,4,8.794494646351384E-5
body |body,2014100105,7742,1,1.291655902867476E-4
body |body,2014100104,8731,1,1.1453441759248655E-4
body |body,2014100103,1127,0,0.0
body |body,2014100102,2940,1,3.401360544217687E-4
body |body,2014100101,3598,7,0.0019455252918287938
body |body,2014100100,1816,2,0.0011013215859030838
body |body,2014100109,10999,6,5.455041367397036E-4
body |body,2014100108,14670,8,5.453306066803E-4
body |body,2014100107,32104,4,1.24595066035385E-4
body |body,2014100210,10300,7,6.796116504854369E-4
body |body,2014100211,11008,8,7.267441860465116E-4
body |body,2014100212,11567,6,5.187170398547593E-4
body |body,2014100316,10537,18,0.0017082661098984531
body |body,2014100213,10976,24,0.002186588921282799
body |body,2014100317,9832,10,0.0010170870626525631
body |body,2014100214,12210,13,0.0010647010647010647
body |body,2014100318,9075,6,6.611570247933885E-4
body |body,2014100215,11832,7,5.916159567275186E-4
body |body,2014100319,8645,21,0.0024291497975708503
body |body,2014100216,10725,7,6.526806526806527E-4
body |body,2014100312,10661,8,7.503986492824313E-4
body |body,2014100217,9835,6,6.100660904931368E-4
body |body,2014100313,9887,6,6.068574896328512E-4
body |body,2014100218,9907,6,6.056323811446452E-4
body |body,2014100314,9820,11,0.001120162932790224
body |body,2014100219,11100,8,7.207207207207207E-4
body |body,2014100420,8163,6,7.35023888276369E-4
body |body,2014100315,10271,9,8.762535293544932E-4
body |body,2014100120,12122,10,8.249463784853984E-4
body |body,2014100421,8099,12,0.0014816644030127175
body |body,2014100422,8432,7,8.301707779886148E-4
body |body,2014100423,6306,3,4.757373929590866E-4
body |body,2014100310,10343,19,0.001836991201778981
body |body,2014100311,11400,13,0.0011403508771929824
body |body,2014100115,14152,3,2.1198417184850198E-4
body |body,2014100114,11535,16,0.0013870827915041179
body |body,2014100117,11365,12,0.0010558732952045756
body |body,2014100116,10904,10,9.17094644167278E-4
body |body,2014100111,9571,11,0.0011493051927698255
body |body,2014100110,9126,10,0.0010957703265395574
body |body,2014100823,5727,4,6.984459577440195E-4
body |body,2014100113,11543,12,0.0010395910941696266
body |body,2014100822,900,0,0.0
body |body,2014100112,11651,17,0.0014591022229851515
body |body,2014100119,11403,19,0.0016662281855652022
body |body,2014100118,10294,10,9.714396735962696E-4
body |body,2014100604,4638,5,0.0010780508840017248
body |body,2014100605,8675,3,3.45821325648415E-4
body |body,2014100700,5207,2,3.840983291722681E-4
body |body,2014100914,3191,1,3.1338138514572234E-4
body |body,2014100602,8176,3,3.669275929549902E-4
body |body,2014100915,1000,0,0.0
body |body,2014100603,9384,3,3.1969309462915604E-4
body |body,2014100912,2545,3,0.0011787819253438114
body |body,2014100608,13680,7,5.116959064327486E-4
body |body,2014100913,6771,6,8.861320336730173E-4
body |body,2014100609,13287,8,6.020922706404757E-4
body |body,2014100810,6053,13,0.0021476953576738808
body |body,2014100606,4334,11,0.0025380710659898475
body |body,2014100607,6194,9,0.0014530190506942201
body |body,2014100707,4802,5,0.0010412328196584756
body |body,2014100813,7061,2,2.83245999150262E-4
body |body,2014100708,5400,1,1.8518518518518518E-4
body |body,2014100814,6011,4,6.654466810846781E-4
body |body,2014100705,2740,0,0.0
body |body,2014100811,6604,5,7.571168988491823E-4
body |body,2014100706,3398,1,2.942907592701589E-4
body |body,2014100812,5896,7,0.0011872455902306649
body |body,2014100817,6743,6,8.898116565327006E-4
body |body,2014100600,15771,7,4.438526409232135E-4
body |body,2014100703,5792,1,1.7265193370165745E-4
body |body,2014100818,7400,6,8.108108108108108E-4
body |body,2014100601,8669,5,5.767677932864229E-4
body |body,2014100704,3010,0,0.0
body |body,2014100815,5628,13,0.0023098791755508173
body |body,2014100701,13455,4,2.9728725380899295E-4
body |body,2014100816,7857,6,7.636502481863307E-4
body |body,2014100702,8524,0,0.0
body |body,2014100509,9287,7,7.537417895983633E-4
body |body,2014100508,6498,1,1.538935056940597E-4
body |body,2014100819,4300,6,0.0013953488372093023
body |body,2014100507,16911,2,1.182662172550411E-4
body |body,2014100403,6749,2,2.96340198547933E-4
body |body,2014100506,11836,0,0.0
body |body,2014100402,6613,6,9.073037955542114E-4
body |body,2014100505,6487,10,0.0015415446277169723
body |body,2014100401,4570,1,2.188183807439825E-4
body |body,2014100504,3861,31,0.00802900802900803
body |body,2014100400,5285,6,0.0011352885525070956
body |body,2014100503,4540,2,4.405286343612335E-4
body |body,2014100709,5572,3,5.384063173007897E-4
body |body,2014100407,7111,5,7.031359864997891E-4
body |body,2014100406,10763,13,0.001207841679829044
body |body,2014100501,6148,3,4.8796356538711777E-4
body |body,2014100405,10366,4,3.8587690526721975E-4
body |body,2014100500,11540,7,6.065857885615251E-4
body |body,2014100404,3086,2,6.480881399870382E-4
body |body,2014100409,9932,11,0.0011075312122432541
body |body,2014100408,10458,9,8.605851979345956E-4
body |body,2014100903,4141,4,9.659502535619416E-4
body |body,2014100613,12260,13,0.0010603588907014683
body |body,2014100904,4854,1,2.0601565718994644E-4
body |body,2014100614,10247,14,0.0013662535376207671
body |body,2014100905,7777,3,3.8575286100038574E-4
body |body,2014100615,8801,10,0.0011362345188046814
body |body,2014100710,7431,5,6.728569506122998E-4
body |body,2014100906,3505,2,5.706134094151213E-4
body |body,2014100616,10833,5,4.615526631588664E-4
body |body,2014100711,13474,12,8.90604126465786E-4
body |body,2014100617,11523,21,0.0018224420723769851
body |body,2014100900,3864,2,5.175983436853002E-4
body |body,2014100618,10834,11,0.0010153221340225217
body |body,2014100901,3052,2,6.55307994757536E-4
body |body,2014100619,10472,10,9.549274255156608E-4
body |body,2014100902,4916,6,0.0012205044751830757
body |body,2014100716,9756,8,8.200082000820008E-4
body |body,2014100800,3418,2,5.851375073142189E-4
body |body,2014100717,12018,16,0.0013313363288400732
body |body,2014100801,4912,1,2.0358306188925082E-4
body |body,2014100718,9824,9,9.161237785016286E-4
body |body,2014100802,4582,1,2.1824530772588389E-4
body |body,2014100719,8904,12,0.0013477088948787063
body |body,2014100803,4750,1,2.105263157894737E-4
body |body,2014100712,10146,6,5.913660555884093E-4
body |body,2014100804,8238,0,0.0
body |body,2014100610,8565,16,0.0018680677174547577
body |body,2014100713,7382,4,5.41858574911948E-4
body |body,2014100805,6904,4,5.793742757821553E-4
body |body,2014100611,8676,16,0.0018441678192715537
body |body,2014100714,9294,12,0.0012911555842479018
body |body,2014100806,7696,7,9.095634095634096E-4
body |body,2014100612,7761,11,0.0014173431258858395
body |body,2014100715,8494,13,0.0015304921120791147
body |body,2014100807,6298,9,0.0014290250873293109
body |body,2014100519,13547,12,8.858049752712778E-4
body |body,2014100809,5933,7,0.0011798415641328165
body |body,2014100518,12589,12,9.532131225673207E-4
body |body,2014100808,7916,6,7.579585649317837E-4
body |body,2014100410,8297,12,0.001446305893696517
body |body,2014100412,8252,9,0.0010906446921958312
body |body,2014100515,6526,4,6.129328838492185E-4
body |body,2014100411,8736,1,1.1446886446886447E-4
body |body,2014100514,7337,5,6.814774430966335E-4
body |body,2014100414,8029,9,0.0011209366048075726
body |body,2014100517,16635,9,5.410279531109107E-4
body |body,2014100413,7649,7,9.151523074911753E-4
body |body,2014100516,7164,8,0.0011166945840312675
body |body,2014100416,8535,8,9.373169302870533E-4
body |body,2014100511,8203,9,0.001097159575764964
body |body,2014100415,9288,6,6.459948320413437E-4
body |body,2014100510,7389,15,0.0020300446609825416
body |body,2014100418,8794,4,4.5485558335228563E-4
body |body,2014100513,8653,10,0.0011556685542586387
body |body,2014100417,9001,6,6.665926008221309E-4
body |body,2014100512,7658,4,5.223295899712719E-4
body |body,2014100908,14247,4,2.807608619358461E-4
body |body,2014100907,7751,6,7.740936653335053E-4
body |body,2014100419,8630,8,9.269988412514484E-4
body |body,2014100909,1000,0,0.0
body |body,2014100721,11447,25,0.0021839783349349175
body |body,2014100722,8294,17,0.002049674463467567
body |body,2014100720,10198,14,0.0013728181996469895
body |body,2014100723,5300,11,0.0020754716981132076
body |body,2014100520,14801,13,8.783190324978042E-4
body |body,2014100523,12605,11,8.726695755652519E-4
body |body,2014100522,10915,14,0.001282638570774164
body |body,2014100521,14363,12,8.354800529137366E-4
body |body,2014100623,8800,8,9.090909090909091E-4
body |body,2014100622,9000,16,0.0017777777777777779
body |body,2014100621,9007,7,7.771733096480515E-4
