abc |ABC,2014100223,8580,4,4.662004662004662E-4
abc |ABC,2014100222,12009,4,3.330835206928137E-4
abc |ABC,2014100221,14828,6,4.046398705152414E-4
abc |ABC,2014100220,15090,8,5.301524188204108E-4
abc |ABC,2014093023,7216,6,8.314855875831486E-4
abc |ABC,2014093020,2478,7,0.002824858757062147
abc |ABC,2014093022,2524,6,0.002377179080824089
abc |ABC,2014093021,2547,6,0.002355712603062426
abc |ABC,2014100321,9080,4,4.405286343612335E-4
abc |ABC,2014100322,8671,3,3.4598085572598315E-4
abc |ABC,2014100320,9381,4,4.263937746508901E-4
abc |ABC,2014100323,6929,2,2.886419396738346E-4
abc |ABC,2014100123,8836,6,6.79040289723857E-4
abc |ABC,2014100122,10378,21,0.002023511273848526
abc |ABC,2014100121,12311,14,0.0011371943790106408
abc |ABC,2014100200,11724,2,1.70590242238144E-4
abc |ABC,2014100201,6861,2,2.915026963999417E-4
abc |ABC,2014100309,9997,5,5.001500450135041E-4
abc |ABC,2014100307,6926,18,0.0025989026855327752
abc |ABC,2014100204,8387,2,2.384642899725766E-4
abc |ABC,2014100308,8532,7,8.204406938584154E-4
abc |ABC,2014100205,14882,1,6.719526945303051E-5
abc |ABC,2014100305,3838,0,0.0
abc |ABC,2014100202,5853,2,3.4170510849137196E-4
abc |ABC,2014100306,5526,1,1.8096272167933406E-4
abc |ABC,2014100203,5613,0,0.0
abc |ABC,2014100303,5043,2,3.96589331746976E-4
abc |ABC,2014100208,9640,9,9.336099585062241E-4
abc |ABC,2014100304,4725,0,0.0
abc |ABC,2014100209,12321,9,7.304601899196494E-4
abc |ABC,2014100301,4480,1,2.232142857142857E-4
abc |ABC,2014100206,9203,3,3.259806584809301E-4
abc |ABC,2014100302,8095,1,1.2353304508956145E-4
abc |ABC,2014100207,9445,10,0.0010587612493382743
abc |ABC,2014100300,6707,2,2.981959147159684E-4
abc |ABC,2014100106,45483,9,1.9787612954290615E-4
abc |ABC,2014100105,7742,2,2.583311805734952E-4
abc |ABC,2014100104,8731,2,2.290688351849731E-4
abc |ABC,2014100103,1127,0,0.0
abc |ABC,2014100102,2940,0,0.0
abc |ABC,2014100101,3598,2,5.558643690939411E-4
abc |ABC,2014100100,1816,0,0.0
abc |ABC,2014100109,10999,15,0.001363760341849259
abc |ABC,2014100108,14670,8,5.453306066803E-4
abc |ABC,2014100107,32104,4,1.24595066035385E-4
abc |ABC,2014100210,10300,8,7.766990291262136E-4
abc |ABC,2014100211,11008,19,0.0017260174418604651
abc |ABC,2014100212,11567,9,7.780755597821389E-4
abc |ABC,2014100316,10537,2,1.8980734554427256E-4
abc |ABC,2014100213,10976,4,3.6443148688046647E-4
abc |ABC,2014100317,9832,5,5.085435313262816E-4
abc |ABC,2014100214,12210,6,4.914004914004914E-4
abc |ABC,2014100318,9075,7,7.713498622589532E-4
abc |ABC,2014100215,11832,32,0.002704530087897228
abc |ABC,2014100319,8645,6,6.940427993059572E-4
abc |ABC,2014100216,10725,13,0.0012121212121212121
abc |ABC,2014100312,10661,4,3.7519932464121565E-4
abc |ABC,2014100217,9835,18,0.0018301982714794102
abc |ABC,2014100313,9887,6,6.068574896328512E-4
abc |ABC,2014100218,9907,14,0.0014131422226708388
abc |ABC,2014100314,9820,7,7.128309572301426E-4
abc |ABC,2014100219,11100,12,0.001081081081081081
abc |ABC,2014100420,8163,5,6.125199068969741E-4
abc |ABC,2014100315,10271,6,5.841690195696621E-4
abc |ABC,2014100120,12122,8,6.599571027883187E-4
abc |ABC,2014100421,8099,3,3.704161007531794E-4
abc |ABC,2014100422,8432,6,7.115749525616698E-4
abc |ABC,2014100423,6306,4,6.343165239454488E-4
abc |ABC,2014100310,10343,5,4.8341873731025815E-4
abc |ABC,2014100311,11400,11,9.649122807017544E-4
abc |ABC,2014100115,14152,4,2.826455624646693E-4
abc |ABC,2014100114,11535,5,4.3346337234503684E-4
abc |ABC,2014100117,11365,4,3.519577650681918E-4
abc |ABC,2014100116,10904,11,0.0010088041085840058
abc |ABC,2014100111,9571,10,0.0010448229025180231
abc |ABC,2014100110,9126,4,4.3830813061582295E-4
abc |ABC,2014100823,5727,6,0.0010476689366160294
abc |ABC,2014100113,11543,4,3.465303647232089E-4
abc |ABC,2014100822,900,0,0.0
abc |ABC,2014100112,11651,10,8.582954252853832E-4
abc |ABC,2014100119,11403,18,0.0015785319652722968
abc |ABC,2014100118,10294,6,5.828638041577618E-4
abc |ABC,2014100604,4638,3,6.46830530401035E-4
abc |ABC,2014100605,8675,0,0.0
abc |ABC,2014100700,5207,2,3.840983291722681E-4
abc |ABC,2014100914,3191,3,9.40144155437167E-4
abc |ABC,2014100602,8176,2,2.446183953033268E-4
abc |ABC,2014100915,1000,0,0.0
abc |ABC,2014100603,9384,1,1.0656436487638534E-4
abc |ABC,2014100912,2545,4,0.0015717092337917485
abc |ABC,2014100608,13680,7,5.116959064327486E-4
abc |ABC,2014100913,6771,3,4.4306601683650863E-4
abc |ABC,2014100609,13287,1,7.526153383005946E-5
abc |ABC,2014100810,6053,11,0.0018172806872625144
abc |ABC,2014100606,4334,1,2.3073373327180433E-4
abc |ABC,2014100607,6194,6,9.686793671294801E-4
abc |ABC,2014100707,4802,5,0.0010412328196584756
abc |ABC,2014100813,7061,3,4.24868998725393E-4
abc |ABC,2014100708,5400,1,1.8518518518518518E-4
abc |ABC,2014100814,6011,8,0.0013308933621693562
abc |ABC,2014100705,2740,1,3.64963503649635E-4
abc |ABC,2014100811,6604,11,0.001665657177468201
abc |ABC,2014100706,3398,3,8.828722778104767E-4
abc |ABC,2014100812,5896,5,8.480325644504749E-4
abc |ABC,2014100817,6743,2,2.9660388551090017E-4
abc |ABC,2014100600,15771,2,1.268150402637753E-4
abc |ABC,2014100703,5792,2,3.453038674033149E-4
abc |ABC,2014100818,7400,3,4.054054054054054E-4
abc |ABC,2014100601,8669,0,0.0
abc |ABC,2014100704,3010,2,6.64451827242525E-4
abc |ABC,2014100815,5628,6,0.0010660980810234541
abc |ABC,2014100701,13455,2,1.4864362690449647E-4
abc |ABC,2014100816,7857,4,5.091001654575538E-4
abc |ABC,2014100702,8524,0,0.0
abc |ABC,2014100509,9287,17,0.0018305157747388822
abc |ABC,2014100508,6498,1,1.538935056940597E-4
abc |ABC,2014100819,4300,4,9.302325581395349E-4
abc |ABC,2014100507,16911,1,5.913310862752055E-5
abc |ABC,2014100403,6749,2,2.96340198547933E-4
abc |ABC,2014100506,11836,2,1.6897600540723216E-4
abc |ABC,2014100402,6613,1,1.5121729925903524E-4
abc |ABC,2014100505,6487,1,1.5415446277169725E-4
abc |ABC,2014100401,4570,1,2.188183807439825E-4
abc |ABC,2014100504,3861,2,5.18000518000518E-4
abc |ABC,2014100400,5285,2,3.784295175023652E-4
abc |ABC,2014100503,4540,1,2.2026431718061675E-4
abc |ABC,2014100709,5572,4,7.178750897343862E-4
abc |ABC,2014100407,7111,3,4.2188159189987344E-4
abc |ABC,2014100406,10763,6,5.57465390690328E-4
abc |ABC,2014100501,6148,3,4.8796356538711777E-4
abc |ABC,2014100405,10366,2,1.9293845263360988E-4
abc |ABC,2014100500,11540,1,8.665511265164645E-5
abc |ABC,2014100404,3086,1,3.240440699935191E-4
abc |ABC,2014100409,9932,2,2.013693113169553E-4
abc |ABC,2014100408,10458,0,0.0
abc |ABC,2014100903,4141,0,0.0
abc |ABC,2014100613,12260,5,4.078303425774878E-4
abc |ABC,2014100904,4854,1,2.0601565718994644E-4
abc |ABC,2014100614,10247,10,9.758953840148336E-4
abc |ABC,2014100905,7777,0,0.0
abc |ABC,2014100615,8801,7,7.95364163163277E-4
abc |ABC,2014100710,7431,4,5.382855604898399E-4
abc |ABC,2014100906,3505,2,5.706134094151213E-4
abc |ABC,2014100616,10833,3,2.7693159789531985E-4
abc |ABC,2014100711,13474,7,5.195190737717084E-4
abc |ABC,2014100617,11523,6,5.20697734964853E-4
abc |ABC,2014100900,3864,2,5.175983436853002E-4
abc |ABC,2014100618,10834,8,7.384160974709249E-4
abc |ABC,2014100901,3052,1,3.27653997378768E-4
abc |ABC,2014100619,10472,5,4.774637127578304E-4
abc |ABC,2014100902,4916,2,4.068348250610252E-4
abc |ABC,2014100716,9756,10,0.001025010250102501
abc |ABC,2014100800,3418,5,0.001462843768285547
abc |ABC,2014100717,12018,4,3.328340822100183E-4
abc |ABC,2014100801,4912,0,0.0
abc |ABC,2014100718,9824,3,3.053745928338762E-4
abc |ABC,2014100802,4582,0,0.0
abc |ABC,2014100719,8904,4,4.492362982929021E-4
abc |ABC,2014100803,4750,1,2.105263157894737E-4
abc |ABC,2014100712,10146,4,3.942440370589395E-4
abc |ABC,2014100804,8238,0,0.0
abc |ABC,2014100610,8565,8,9.340338587273788E-4
abc |ABC,2014100713,7382,5,6.77323218639935E-4
abc |ABC,2014100805,6904,0,0.0
abc |ABC,2014100611,8676,3,3.4578146611341634E-4
abc |ABC,2014100714,9294,7,7.53174090811276E-4
abc |ABC,2014100806,7696,1,1.2993762993762994E-4
abc |ABC,2014100612,7761,6,7.730962504831851E-4
abc |ABC,2014100715,8494,8,9.418412997409936E-4
abc |ABC,2014100807,6298,3,4.76341695776437E-4
abc |ABC,2014100519,13547,9,6.643537314534584E-4
abc |ABC,2014100809,5933,16,0.0026967807180178663
abc |ABC,2014100518,12589,4,3.177377075224402E-4
abc |ABC,2014100808,7916,3,3.7897928246589187E-4
abc |ABC,2014100410,8297,5,6.02627455706882E-4
abc |ABC,2014100412,8252,4,4.847309743092584E-4
abc |ABC,2014100515,6526,4,6.129328838492185E-4
abc |ABC,2014100411,8736,3,3.4340659340659343E-4
abc |ABC,2014100514,7337,3,4.088864658579801E-4
abc |ABC,2014100414,8029,2,2.4909702329057166E-4
abc |ABC,2014100517,16635,2,1.2022843402464683E-4
abc |ABC,2014100413,7649,2,2.6147208785462153E-4
abc |ABC,2014100516,7164,7,9.77107761027359E-4
abc |ABC,2014100416,8535,3,3.51493848857645E-4
abc |ABC,2014100511,8203,2,2.438132390588809E-4
abc |ABC,2014100415,9288,6,6.459948320413437E-4
abc |ABC,2014100510,7389,6,8.120178643930166E-4
abc |ABC,2014100418,8794,2,2.2742779167614282E-4
abc |ABC,2014100513,8653,4,4.6226742170345545E-4
abc |ABC,2014100417,9001,4,4.4439506721475393E-4
abc |ABC,2014100512,7658,7,9.140767824497258E-4
abc |ABC,2014100908,14247,2,1.4038043096792306E-4
abc |ABC,2014100907,7751,7,9.031092762224229E-4
abc |ABC,2014100419,8630,4,4.634994206257242E-4
abc |ABC,2014100909,1000,1,0.001
abc |ABC,2014100721,11447,20,0.001747182667947934
abc |ABC,2014100722,8294,11,0.001326259946949602
abc |ABC,2014100720,10198,17,0.001666993528142773
abc |ABC,2014100723,5300,4,7.547169811320754E-4
abc |ABC,2014100520,14801,5,3.3781501249915546E-4
abc |ABC,2014100523,12605,4,3.1733439111463705E-4
abc |ABC,2014100522,10915,3,2.7485112230874945E-4
abc |ABC,2014100521,14363,10,6.962333774281139E-4
abc |ABC,2014100623,8800,6,6.818181818181819E-4
abc |ABC,2014100622,9000,39,0.004333333333333333
abc |ABC,2014100621,9007,14,0.001554346619296103
abc |ABC,2014100620,8998,4,4.445432318292954E-4
abc |ABC,2014093011,9741,9,9.239297813366184E-4
abc |ABC,2014093012,11191,8,7.148601554820838E-4
abc |ABC,2014093013,5267,5,9.493070058857034E-4
abc |ABC,2014093017,3899,7,0.0017953321364452424
abc |ABC,2014093018,99,0,0.0
abc |ABC,2014093019,8564,26,0.003035964502568893
