program |programs |program,2014100223,8580,5,5.827505827505828E-4
program |programs |program,2014100222,12009,18,0.0014988758431176618
program |programs |program,2014100221,14828,6,4.046398705152414E-4
program |programs |program,2014100220,15090,8,5.301524188204108E-4
program |programs |program,2014093023,7216,3,4.157427937915743E-4
program |programs |program,2014093020,2478,2,8.071025020177562E-4
program |programs |program,2014093022,2524,1,3.961965134706815E-4
program |programs |program,2014093021,2547,2,7.852375343541421E-4
program |programs |program,2014100321,9080,2,2.2026431718061675E-4
program |programs |program,2014100322,8671,7,8.072886633606274E-4
program |programs |program,2014100320,9381,4,4.263937746508901E-4
program |programs |program,2014100323,6929,4,5.772838793476692E-4
program |programs |program,2014100123,8836,5,5.658669081032141E-4
program |programs |program,2014100122,10378,6,5.781460782424359E-4
program |programs |program,2014100121,12311,20,0.00162456339858663
program |programs |program,2014100200,11724,1,8.5295121119072E-5
program |programs |program,2014100201,6861,1,1.4575134819997084E-4
program |programs |program,2014100309,9997,4,4.0012003601080324E-4
program |programs |program,2014100307,6926,8,0.001155067860236789
program |programs |program,2014100204,8387,2,2.384642899725766E-4
program |programs |program,2014100308,8532,9,0.0010548523206751054
program |programs |program,2014100205,14882,4,2.6878107781212203E-4
program |programs |program,2014100305,3838,1,2.605523710265763E-4
program |programs |program,2014100202,5853,5,8.542627712284299E-4
program |programs |program,2014100306,5526,3,5.428881650380022E-4
program |programs |program,2014100203,5613,1,1.7815784785319794E-4
program |programs |program,2014100303,5043,3,5.94883997620464E-4
program |programs |program,2014100208,9640,11,0.001141078838174274
program |programs |program,2014100304,4725,0,0.0
program |programs |program,2014100209,12321,11,8.927846765684603E-4
program |programs |program,2014100301,4480,2,4.464285714285714E-4
program |programs |program,2014100206,9203,0,0.0
program |programs |program,2014100302,8095,1,1.2353304508956145E-4
program |programs |program,2014100207,9445,2,2.1175224986765483E-4
program |programs |program,2014100300,6707,0,0.0
program |programs |program,2014100106,45483,1,2.198623661587846E-5
program |programs |program,2014100105,7742,1,1.291655902867476E-4
program |programs |program,2014100104,8731,0,0.0
program |programs |program,2014100103,1127,0,0.0
program |programs |program,2014100102,2940,0,0.0
program |programs |program,2014100101,3598,1,2.7793218454697053E-4
program |programs |program,2014100100,1816,0,0.0
program |programs |program,2014100109,10999,18,0.0016365124102191108
program |programs |program,2014100108,14670,32,0.0021813224267212
program |programs |program,2014100107,32104,16,4.9838026414154E-4
program |programs |program,2014100210,10300,33,0.003203883495145631
program |programs |program,2014100211,11008,35,0.0031795058139534884
program |programs |program,2014100212,11567,20,0.0017290567995158642
program |programs |program,2014100316,10537,8,7.592293821770903E-4
program |programs |program,2014100213,10976,16,0.0014577259475218659
program |programs |program,2014100317,9832,10,0.0010170870626525631
program |programs |program,2014100214,12210,18,0.0014742014742014742
program |programs |program,2014100318,9075,5,5.509641873278236E-4
program |programs |program,2014100215,11832,9,7.606490872210953E-4
program |programs |program,2014100319,8645,8,9.253903990746096E-4
program |programs |program,2014100216,10725,24,0.0022377622377622378
program |programs |program,2014100312,10661,14,0.0013131976362442547
program |programs |program,2014100217,9835,17,0.0017285205897305542
program |programs |program,2014100313,9887,7,7.080004045716598E-4
program |programs |program,2014100218,9907,9,9.084485717169678E-4
program |programs |program,2014100314,9820,9,9.164969450101833E-4
program |programs |program,2014100219,11100,16,0.0014414414414414415
program |programs |program,2014100420,8163,3,3.675119441381845E-4
program |programs |program,2014100315,10271,9,8.762535293544932E-4
program |programs |program,2014100120,12122,15,0.0012374195677280976
program |programs |program,2014100421,8099,1,1.2347203358439315E-4
program |programs |program,2014100422,8432,3,3.557874762808349E-4
program |programs |program,2014100423,6306,3,4.757373929590866E-4
program |programs |program,2014100310,10343,13,0.0012568887170066711
program |programs |program,2014100311,11400,7,6.140350877192983E-4
program |programs |program,2014100115,14152,8,5.652911249293386E-4
program |programs |program,2014100114,11535,18,0.0015604681404421327
program |programs |program,2014100117,11365,9,7.919049714034316E-4
program |programs |program,2014100116,10904,12,0.0011005135730007337
program |programs |program,2014100111,9571,12,0.0012537874830216278
program |programs |program,2014100110,9126,11,0.001205347359193513
program |programs |program,2014100823,5727,7,0.0012222804260520342
program |programs |program,2014100113,11543,16,0.0013861214588928355
program |programs |program,2014100822,900,0,0.0
program |programs |program,2014100112,11651,7,6.008067976997683E-4
program |programs |program,2014100119,11403,12,0.0010523546435148646
program |programs |program,2014100118,10294,13,0.0012628715756751506
program |programs |program,2014100604,4638,0,0.0
program |programs |program,2014100605,8675,0,0.0
program |programs |program,2014100700,5207,3,5.761474937584022E-4
