turkey |Turkey,2014100223,8580,0,0.0
turkey |Turkey,2014100222,12009,0,0.0
turkey |Turkey,2014100221,14828,3,2.023199352576207E-4
turkey |Turkey,2014100220,15090,3,1.9880715705765408E-4
turkey |Turkey,2014093023,7216,1,1.385809312638581E-4
turkey |Turkey,2014093020,2478,1,4.035512510088781E-4
turkey |Turkey,2014093022,2524,0,0.0
turkey |Turkey,2014093021,2547,0,0.0
turkey |Turkey,2014100321,9080,2,2.2026431718061675E-4
turkey |Turkey,2014100322,8671,1,1.1532695190866105E-4
turkey |Turkey,2014100320,9381,0,0.0
turkey |Turkey,2014100323,6929,5,7.216048491845865E-4
turkey |Turkey,2014100123,8836,2,2.2634676324128565E-4
turkey |Turkey,2014100122,10378,8,7.708614376565812E-4
turkey |Turkey,2014100121,12311,5,4.061408496466575E-4
turkey |Turkey,2014100200,11724,1,8.5295121119072E-5
turkey |Turkey,2014100201,6861,0,0.0
turkey |Turkey,2014100309,9997,0,0.0
turkey |Turkey,2014100307,6926,1,1.4438348252959862E-4
turkey |Turkey,2014100204,8387,0,0.0
turkey |Turkey,2014100308,8532,0,0.0
turkey |Turkey,2014100205,14882,0,0.0
turkey |Turkey,2014100305,3838,1,2.605523710265763E-4
turkey |Turkey,2014100202,5853,0,0.0
turkey |Turkey,2014100306,5526,0,0.0
turkey |Turkey,2014100203,5613,0,0.0
turkey |Turkey,2014100303,5043,0,0.0
turkey |Turkey,2014100208,9640,13,0.0013485477178423236
turkey |Turkey,2014100304,4725,0,0.0
turkey |Turkey,2014100209,12321,1,8.116224332440549E-5
turkey |Turkey,2014100301,4480,0,0.0
turkey |Turkey,2014100206,9203,0,0.0
turkey |Turkey,2014100302,8095,0,0.0
turkey |Turkey,2014100207,9445,3,3.1762837480148225E-4
turkey |Turkey,2014100300,6707,0,0.0
turkey |Turkey,2014100106,45483,1,2.198623661587846E-5
turkey |Turkey,2014100105,7742,0,0.0
turkey |Turkey,2014100104,8731,0,0.0
turkey |Turkey,2014100103,1127,0,0.0
turkey |Turkey,2014100102,2940,0,0.0
turkey |Turkey,2014100101,3598,2,5.558643690939411E-4
turkey |Turkey,2014100100,1816,0,0.0
turkey |Turkey,2014100109,10999,0,0.0
turkey |Turkey,2014100108,14670,2,1.36332651670075E-4
turkey |Turkey,2014100107,32104,0,0.0
turkey |Turkey,2014100210,10300,7,6.796116504854369E-4
turkey |Turkey,2014100211,11008,3,2.7252906976744186E-4
turkey |Turkey,2014100212,11567,4,3.458113599031728E-4
turkey |Turkey,2014100316,10537,2,1.8980734554427256E-4
turkey |Turkey,2014100213,10976,1,9.110787172011662E-5
turkey |Turkey,2014100317,9832,3,3.051261187957689E-4
turkey |Turkey,2014100214,12210,1,8.19000819000819E-5
turkey |Turkey,2014100318,9075,6,6.611570247933885E-4
turkey |Turkey,2014100215,11832,1,8.451656524678837E-5
turkey |Turkey,2014100319,8645,0,0.0
turkey |Turkey,2014100216,10725,1,9.324009324009324E-5
turkey |Turkey,2014100312,10661,4,3.7519932464121565E-4
turkey |Turkey,2014100217,9835,4,4.067107269954245E-4
turkey |Turkey,2014100313,9887,1,1.0114291493880854E-4
turkey |Turkey,2014100218,9907,0,0.0
turkey |Turkey,2014100314,9820,3,3.054989816700611E-4
turkey |Turkey,2014100219,11100,5,4.5045045045045046E-4
turkey |Turkey,2014100420,8163,9,0.0011025358324145535
turkey |Turkey,2014100315,10271,8,7.788920260928828E-4
turkey |Turkey,2014100120,12122,1,8.249463784853984E-5
turkey |Turkey,2014100421,8099,6,7.408322015063588E-4
turkey |Turkey,2014100422,8432,1,1.1859582542694497E-4
turkey |Turkey,2014100423,6306,2,3.171582619727244E-4
turkey |Turkey,2014100310,10343,6,5.801024847723097E-4
turkey |Turkey,2014100311,11400,8,7.017543859649122E-4
turkey |Turkey,2014100115,14152,0,0.0
turkey |Turkey,2014100114,11535,4,3.4677069787602947E-4
turkey |Turkey,2014100117,11365,5,4.399472063352398E-4
turkey |Turkey,2014100116,10904,12,0.0011005135730007337
turkey |Turkey,2014100111,9571,0,0.0
turkey |Turkey,2014100110,9126,1,1.0957703265395574E-4
turkey |Turkey,2014100823,5727,1,1.7461148943600488E-4
turkey |Turkey,2014100113,11543,1,8.663259118080222E-5
turkey |Turkey,2014100822,900,1,0.0011111111111111111
turkey |Turkey,2014100112,11651,0,0.0
turkey |Turkey,2014100119,11403,1,8.769622029290537E-5
turkey |Turkey,2014100118,10294,2,1.9428793471925395E-4
turkey |Turkey,2014100604,4638,7,0.001509271237602415
turkey |Turkey,2014100605,8675,0,0.0
turkey |Turkey,2014100700,5207,0,0.0
turkey |Turkey,2014100914,3191,1,3.1338138514572234E-4
turkey |Turkey,2014100602,8176,2,2.446183953033268E-4
turkey |Turkey,2014100915,1000,0,0.0
turkey |Turkey,2014100603,9384,9,9.590792838874681E-4
turkey |Turkey,2014100912,2545,1,3.929273084479371E-4
turkey |Turkey,2014100608,13680,1,7.309941520467836E-5
turkey |Turkey,2014100913,6771,3,4.4306601683650863E-4
turkey |Turkey,2014100609,13287,7,5.268307368104162E-4
turkey |Turkey,2014100810,6053,7,0.001156451346439782
turkey |Turkey,2014100606,4334,0,0.0
turkey |Turkey,2014100607,6194,1,1.6144656118824668E-4
turkey |Turkey,2014100707,4802,0,0.0
turkey |Turkey,2014100813,7061,1,1.41622999575131E-4
turkey |Turkey,2014100708,5400,0,0.0
turkey |Turkey,2014100814,6011,6,9.98170021627017E-4
turkey |Turkey,2014100705,2740,0,0.0
turkey |Turkey,2014100811,6604,0,0.0
turkey |Turkey,2014100706,3398,1,2.942907592701589E-4
turkey |Turkey,2014100812,5896,3,5.088195386702849E-4
turkey |Turkey,2014100817,6743,3,4.449058282663503E-4
turkey |Turkey,2014100600,15771,0,0.0
turkey |Turkey,2014100703,5792,0,0.0
turkey |Turkey,2014100818,7400,4,5.405405405405405E-4
turkey |Turkey,2014100601,8669,0,0.0
turkey |Turkey,2014100704,3010,1,3.322259136212625E-4
turkey |Turkey,2014100815,5628,3,5.330490405117271E-4
turkey |Turkey,2014100701,13455,1,7.432181345224824E-5
turkey |Turkey,2014100816,7857,1,1.2727504136438844E-4
turkey |Turkey,2014100702,8524,0,0.0
turkey |Turkey,2014100509,9287,0,0.0
turkey |Turkey,2014100508,6498,0,0.0
turkey |Turkey,2014100819,4300,1,2.3255813953488373E-4
turkey |Turkey,2014100507,16911,0,0.0
turkey |Turkey,2014100403,6749,0,0.0
turkey |Turkey,2014100506,11836,2,1.6897600540723216E-4
turkey |Turkey,2014100402,6613,0,0.0
turkey |Turkey,2014100505,6487,0,0.0
turkey |Turkey,2014100401,4570,2,4.37636761487965E-4
turkey |Turkey,2014100504,3861,0,0.0
turkey |Turkey,2014100400,5285,3,5.676442762535478E-4
turkey |Turkey,2014100503,4540,1,2.2026431718061675E-4
turkey |Turkey,2014100709,5572,1,1.7946877243359656E-4
turkey |Turkey,2014100407,7111,0,0.0
turkey |Turkey,2014100406,10763,0,0.0
turkey |Turkey,2014100501,6148,0,0.0
turkey |Turkey,2014100405,10366,0,0.0
turkey |Turkey,2014100500,11540,3,2.5996533795493934E-4
turkey |Turkey,2014100404,3086,0,0.0
turkey |Turkey,2014100409,9932,3,3.0205396697543293E-4
turkey |Turkey,2014100408,10458,4,3.8248231019315357E-4
turkey |Turkey,2014100903,4141,0,0.0
turkey |Turkey,2014100613,12260,1,8.156606851549755E-5
turkey |Turkey,2014100904,4854,0,0.0
turkey |Turkey,2014100614,10247,0,0.0
turkey |Turkey,2014100905,7777,1,1.2858428700012858E-4
turkey |Turkey,2014100615,8801,3,3.408703556414044E-4
turkey |Turkey,2014100710,7431,1,1.3457139012245997E-4
turkey |Turkey,2014100906,3505,0,0.0
turkey |Turkey,2014100616,10833,1,9.231053263177328E-5
turkey |Turkey,2014100711,13474,9,6.679530948493394E-4
turkey |Turkey,2014100617,11523,2,1.7356591165495098E-4
turkey |Turkey,2014100900,3864,0,0.0
turkey |Turkey,2014100618,10834,0,0.0
turkey |Turkey,2014100901,3052,0,0.0
turkey |Turkey,2014100619,10472,0,0.0
turkey |Turkey,2014100902,4916,0,0.0
turkey |Turkey,2014100716,9756,1,1.025010250102501E-4
turkey |Turkey,2014100800,3418,0,0.0
turkey |Turkey,2014100717,12018,0,0.0
turkey |Turkey,2014100801,4912,0,0.0
turkey |Turkey,2014100718,9824,5,5.08957654723127E-4
turkey |Turkey,2014100802,4582,1,2.1824530772588389E-4
turkey |Turkey,2014100719,8904,2,2.2461814914645105E-4
turkey |Turkey,2014100803,4750,1,2.105263157894737E-4
turkey |Turkey,2014100712,10146,4,3.942440370589395E-4
turkey |Turkey,2014100804,8238,1,1.2138868657441127E-4
turkey |Turkey,2014100610,8565,0,0.0
turkey |Turkey,2014100713,7382,3,4.06393931183961E-4
turkey |Turkey,2014100805,6904,0,0.0
turkey |Turkey,2014100611,8676,0,0.0
turkey |Turkey,2014100714,9294,1,1.0759629868732516E-4
turkey |Turkey,2014100806,7696,1,1.2993762993762994E-4
turkey |Turkey,2014100612,7761,3,3.8654812524159255E-4
turkey |Turkey,2014100715,8494,3,3.531904874028726E-4
turkey |Turkey,2014100807,6298,2,3.1756113051762465E-4
turkey |Turkey,2014100519,13547,1,7.381708127260648E-5
turkey |Turkey,2014100809,5933,2,3.370975897522333E-4
turkey |Turkey,2014100518,12589,1,7.943442688061006E-5
turkey |Turkey,2014100808,7916,2,2.5265285497726126E-4
turkey |Turkey,2014100410,8297,0,0.0
turkey |Turkey,2014100412,8252,1,1.211827435773146E-4
turkey |Turkey,2014100515,6526,0,0.0
turkey |Turkey,2014100411,8736,0,0.0
turkey |Turkey,2014100514,7337,1,1.362954886193267E-4
turkey |Turkey,2014100414,8029,2,2.4909702329057166E-4
turkey |Turkey,2014100517,16635,0,0.0
turkey |Turkey,2014100413,7649,1,1.3073604392731077E-4
turkey |Turkey,2014100516,7164,2,2.7917364600781687E-4
turkey |Turkey,2014100416,8535,0,0.0
turkey |Turkey,2014100511,8203,4,4.876264781177618E-4
turkey |Turkey,2014100415,9288,2,2.153316106804479E-4
turkey |Turkey,2014100510,7389,1,1.3533631073216944E-4
turkey |Turkey,2014100418,8794,0,0.0
turkey |Turkey,2014100513,8653,1,1.1556685542586386E-4
turkey |Turkey,2014100417,9001,4,4.4439506721475393E-4
turkey |Turkey,2014100512,7658,3,3.917471924784539E-4
turkey |Turkey,2014100908,14247,0,0.0
turkey |Turkey,2014100907,7751,1,1.2901561088891756E-4
turkey |Turkey,2014100419,8630,0,0.0
turkey |Turkey,2014100909,1000,0,0.0
turkey |Turkey,2014100721,11447,1,8.73591333973967E-5
turkey |Turkey,2014100722,8294,3,3.617072582589824E-4
turkey |Turkey,2014100720,10198,5,4.902922141596392E-4
turkey |Turkey,2014100723,5300,4,7.547169811320754E-4
turkey |Turkey,2014100520,14801,3,2.0268900749949328E-4
turkey |Turkey,2014100523,12605,1,7.933359777865926E-5
turkey |Turkey,2014100522,10915,2,1.832340815391663E-4
turkey |Turkey,2014100521,14363,1,6.962333774281139E-5
turkey |Turkey,2014100623,8800,3,3.4090909090909094E-4
turkey |Turkey,2014100622,9000,0,0.0
turkey |Turkey,2014100621,9007,0,0.0
turkey |Turkey,2014100620,8998,2,2.222716159146477E-4
turkey |Turkey,2014093011,9741,0,0.0
turkey |Turkey,2014093012,11191,1,8.935751943526048E-5
turkey |Turkey,2014093013,5267,0,0.0
turkey |Turkey,2014093017,3899,0,0.0
turkey |Turkey,2014093018,99,0,0.0
turkey |Turkey,2014093019,8564,0,0.0
