family |family,2014100223,8580,32,0.0037296037296037296
family |family,2014100222,12009,88,0.007327837455241902
family |family,2014100221,14828,139,0.00937415700026976
family |family,2014100220,15090,36,0.002385685884691849
family |family,2014093023,7216,20,0.002771618625277162
family |family,2014093020,2478,7,0.002824858757062147
family |family,2014093022,2524,11,0.004358161648177496
family |family,2014093021,2547,18,0.007067137809187279
family |family,2014100321,9080,24,0.0026431718061674008
family |family,2014100322,8671,13,0.0014992503748125937
family |family,2014100320,9381,25,0.002664961091568063
family |family,2014100323,6929,20,0.002886419396738346
family |family,2014100123,8836,14,0.0015844273426889996
family |family,2014100122,10378,18,0.0017344382347273077
family |family,2014100121,12311,25,0.002030704248233287
family |family,2014100200,11724,13,0.001108836574547936
family |family,2014100201,6861,6,8.745080891998251E-4
family |family,2014100309,9997,23,0.0023006902070621185
family |family,2014100307,6926,33,0.004764654923476754
family |family,2014100204,8387,10,0.001192321449862883
family |family,2014100308,8532,29,0.0033989685888420064
family |family,2014100205,14882,2,1.3439053890606102E-4
family |family,2014100305,3838,12,0.003126628452318916
family |family,2014100202,5853,14,0.0023919357594396036
family |family,2014100306,5526,15,0.0027144408251900108
family |family,2014100203,5613,2,3.563156957063959E-4
family |family,2014100303,5043,7,0.001388062661114416
family |family,2014100208,9640,15,0.0015560165975103733
family |family,2014100304,4725,0,0.0
family |family,2014100209,12321,27,0.002191380569758948
family |family,2014100301,4480,4,8.928571428571428E-4
family |family,2014100206,9203,6,6.519613169618602E-4
family |family,2014100302,8095,5,6.176652254478073E-4
family |family,2014100207,9445,18,0.0019057702488088936
family |family,2014100300,6707,25,0.0037274489339496047
family |family,2014100106,45483,6,1.3191741969527076E-4
family |family,2014100105,7742,11,0.0014208214931542237
family |family,2014100104,8731,2,2.290688351849731E-4
family |family,2014100103,1127,2,0.001774622892635315
family |family,2014100102,2940,1,3.401360544217687E-4
family |family,2014100101,3598,11,0.003057254030016676
family |family,2014100100,1816,1,5.506607929515419E-4
family |family,2014100109,10999,38,0.0034548595326847897
family |family,2014100108,14670,17,0.0011588275391956374
family |family,2014100107,32104,7,2.1804136556192376E-4
family |family,2014100210,10300,179,0.01737864077669903
family |family,2014100211,11008,98,0.008902616279069768
family |family,2014100212,11567,32,0.0027664908792253825
family |family,2014100316,10537,27,0.0025623991648476797
family |family,2014100213,10976,17,0.0015488338192419825
family |family,2014100317,9832,72,0.007323026851098454
family |family,2014100214,12210,17,0.0013923013923013922
family |family,2014100318,9075,50,0.005509641873278237
family |family,2014100215,11832,17,0.0014367816091954023
family |family,2014100319,8645,24,0.002776171197223829
family |family,2014100216,10725,17,0.001585081585081585
family |family,2014100312,10661,32,0.0030015945971297252
family |family,2014100217,9835,20,0.0020335536349771225
family |family,2014100313,9887,23,0.0023262870435925963
family |family,2014100218,9907,21,0.002119713334006258
family |family,2014100314,9820,43,0.004378818737270876
family |family,2014100219,11100,24,0.002162162162162162
family |family,2014100420,8163,22,0.002695087590346686
family |family,2014100315,10271,25,0.002434037581540259
family |family,2014100120,12122,40,0.0032997855139415937
family |family,2014100421,8099,28,0.003457216940363008
family |family,2014100422,8432,13,0.0015417457305502847
family |family,2014100423,6306,16,0.002537266095781795
family |family,2014100310,10343,33,0.0031905636662477037
family |family,2014100311,11400,71,0.006228070175438596
family |family,2014100115,14152,19,0.0013425664217071793
family |family,2014100114,11535,18,0.0015604681404421327
family |family,2014100117,11365,22,0.001935767707875055
family |family,2014100116,10904,13,0.0011922230374174616
family |family,2014100111,9571,20,0.0020896458050360463
family |family,2014100110,9126,24,0.0026298487836949377
family |family,2014100823,5727,7,0.0012222804260520342
family |family,2014100113,11543,29,0.0025123451442432645
family |family,2014100822,900,0,0.0
family |family,2014100112,11651,20,0.0017165908505707664
family |family,2014100119,11403,23,0.0020170130667368238
family |family,2014100118,10294,17,0.0016514474451136585
family |family,2014100604,4638,9,0.0019404915912031048
family |family,2014100605,8675,4,4.610951008645533E-4
family |family,2014100700,5207,6,0.0011522949875168043
family |family,2014100914,3191,9,0.002820432466311501
family |family,2014100602,8176,10,0.001223091976516634
family |family,2014100915,1000,0,0.0
family |family,2014100603,9384,9,9.590792838874681E-4
family |family,2014100912,2545,12,0.004715127701375246
family |family,2014100608,13680,21,0.0015350877192982456
family |family,2014100913,6771,22,0.003249150790134397
family |family,2014100609,13287,14,0.0010536614736208324
family |family,2014100810,6053,14,0.002312902692879564
family |family,2014100606,4334,6,0.0013844023996308261
family |family,2014100607,6194,11,0.0017759121730707135
family |family,2014100707,4802,5,0.0010412328196584756
family |family,2014100813,7061,16,0.002265967993202096
family |family,2014100708,5400,15,0.002777777777777778
family |family,2014100814,6011,12,0.001996340043254034
family |family,2014100705,2740,1,3.64963503649635E-4
family |family,2014100811,6604,19,0.0028770442156268927
family |family,2014100706,3398,11,0.003237198351971748
family |family,2014100812,5896,17,0.0028833107191316145
family |family,2014100817,6743,17,0.002521133026842652
family |family,2014100600,15771,13,8.242977617145393E-4
family |family,2014100703,5792,2,3.453038674033149E-4
family |family,2014100818,7400,8,0.001081081081081081
family |family,2014100601,8669,11,0.0012688891452301303
family |family,2014100704,3010,3,9.966777408637873E-4
family |family,2014100815,5628,11,0.0019545131485429993
family |family,2014100701,13455,8,5.945745076179859E-4
family |family,2014100816,7857,16,0.002036400661830215
family |family,2014100702,8524,4,4.692632566870014E-4
family |family,2014100509,9287,15,0.0016151609777107785
family |family,2014100508,6498,11,0.001692828562634657
family |family,2014100819,4300,6,0.0013953488372093023
family |family,2014100507,16911,6,3.547986517651233E-4
family |family,2014100403,6749,4,5.92680397095866E-4
family |family,2014100506,11836,5,4.2244001351808043E-4
family |family,2014100402,6613,10,0.0015121729925903524
family |family,2014100505,6487,9,0.0013873901649452752
family |family,2014100401,4570,4,8.7527352297593E-4
family |family,2014100504,3861,5,0.001295001295001295
family |family,2014100400,5285,9,0.0017029328287606433
family |family,2014100503,4540,5,0.0011013215859030838
family |family,2014100709,5572,23,0.004127781765972721
family |family,2014100407,7111,11,0.001546899170299536
family |family,2014100406,10763,5,4.6455449224193997E-4
family |family,2014100501,6148,5,8.132726089785296E-4
family |family,2014100405,10366,3,2.894076789504148E-4
family |family,2014100500,11540,9,7.79896013864818E-4
family |family,2014100404,3086,1,3.240440699935191E-4
family |family,2014100409,9932,25,0.0025171163914619412
family |family,2014100408,10458,7,6.693440428380187E-4
family |family,2014100903,4141,1,2.414875633904854E-4
family |family,2014100613,12260,26,0.0021207177814029365
family |family,2014100904,4854,1,2.0601565718994644E-4
family |family,2014100614,10247,29,0.0028300966136430173
family |family,2014100905,7777,0,0.0
family |family,2014100615,8801,17,0.001931598681967958
family |family,2014100710,7431,15,0.0020185708518368995
family |family,2014100906,3505,1,2.853067047075606E-4
family |family,2014100616,10833,32,0.002953937044216745
family |family,2014100711,13474,19,0.0014101232002374944
family |family,2014100617,11523,25,0.0021695738956868872
family |family,2014100900,3864,3,7.763975155279503E-4
family |family,2014100618,10834,37,0.0034151744508030277
family |family,2014100901,3052,2,6.55307994757536E-4
family |family,2014100619,10472,21,0.002005347593582888
family |family,2014100902,4916,6,0.0012205044751830757
family |family,2014100716,9756,32,0.003280032800328003
family |family,2014100800,3418,7,0.002047981275599766
family |family,2014100717,12018,20,0.0016641704110500915
family |family,2014100801,4912,1,2.0358306188925082E-4
family |family,2014100718,9824,20,0.002035830618892508
family |family,2014100802,4582,5,0.0010912265386294195
family |family,2014100719,8904,28,0.0031446540880503146
family |family,2014100803,4750,0,0.0
family |family,2014100712,10146,21,0.0020697811945594325
family |family,2014100804,8238,0,0.0
family |family,2014100610,8565,11,0.0012842965557501459
family |family,2014100713,7382,8,0.001083717149823896
family |family,2014100805,6904,0,0.0
family |family,2014100611,8676,10,0.001152604887044721
family |family,2014100714,9294,12,0.0012911555842479018
family |family,2014100806,7696,7,9.095634095634096E-4
family |family,2014100612,7761,19,0.002448138126530086
family |family,2014100715,8494,9,0.0010595714622086178
family |family,2014100807,6298,8,0.0012702445220704986
family |family,2014100519,13547,24,0.0017716099505425556
family |family,2014100809,5933,12,0.0020225855385133996
family |family,2014100518,12589,23,0.0018269918182540314
family |family,2014100808,7916,13,0.001642243557352198
family |family,2014100410,8297,14,0.0016873568759792697
family |family,2014100412,8252,9,0.0010906446921958312
family |family,2014100515,6526,26,0.00398406374501992
family |family,2014100411,8736,28,0.003205128205128205
family |family,2014100514,7337,23,0.003134796238244514
family |family,2014100414,8029,26,0.0032382613027774317
family |family,2014100517,16635,19,0.001142170123234145
family |family,2014100413,7649,25,0.003268401098182769
family |family,2014100516,7164,25,0.0034896705750977106
family |family,2014100416,8535,25,0.0029291154071470417
family |family,2014100511,8203,15,0.0018285992929416067
family |family,2014100415,9288,34,0.0036606373815676143
